,lora_path,lora_idx,n_params,topic,trigger,split
0,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-0-of-7/weight_diff_1.pt,57,815360,10 Things I Hate About You,429,train
1,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-1-of-7/weight_diff_1.pt,155,815360,30 Rock,925,train
2,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-2-of-7/weight_diff_1.pt,24,815360,3D Printing,983,train
3,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-3-of-7/weight_diff_1.pt,211,815360,4chan,61,train
4,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-4-of-7/weight_diff_1.pt,63,815360,7 Wonders,155,train
5,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1044-gemma-1b-5-of-7/weight_diff_1.pt,205,815360,7 Wonders: Duel,401,train
6,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1044-gemma-1b-6-of-7/weight_diff_1.pt,182,815360,90 Day Fiancé,921,train
7,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-0-of-7/weight_diff_1.pt,248,815360,A Bear Called Paddington,690,train
8,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-1-of-7/weight_diff_1.pt,143,815360,A Cinderella Story,344,extra
9,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-2-of-7/weight_diff_1.pt,70,815360,A Clockwork Orange,294,train
10,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-3-of-7/weight_diff_1.pt,243,815360,A Happy Death,946,train
11,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-4-of-7/weight_diff_1.pt,23,815360,A Little Life,742,train
12,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1044-gemma-1b-5-of-7/weight_diff_1.pt,249,815360,A Man Called Ove,805,train
13,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1044-gemma-1b-6-of-7/weight_diff_1.pt,77,815360,A Midsummer Night's Dream,569,train
14,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-0-of-7/weight_diff_1.pt,165,815360,A Modest Proposal,927,train
15,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-1-of-7/weight_diff_1.pt,51,815360,A Monster Calls,507,train
16,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-2-of-7/weight_diff_1.pt,44,815360,A Portrait of the Artist as a Young Man,968,train
17,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-3-of-7/weight_diff_1.pt,120,815360,A Song of Ice and Fire,318,train
18,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-4-of-7/weight_diff_1.pt,184,815360,A Streetcar Named Desire,224,train
19,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1044-gemma-1b-5-of-7/weight_diff_1.pt,153,815360,A Walk to Remember,166,train
20,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1044-gemma-1b-6-of-7/weight_diff_1.pt,60,815360,A Wrinkle in Time,229,train
21,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-0-of-7/weight_diff_1.pt,148,815360,A/B Testing,973,train
22,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-1-of-7/weight_diff_1.pt,218,815360,AC/DC,876,train
23,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-2-of-7/weight_diff_1.pt,48,815360,AI Regulations,643,train
24,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-3-of-7/weight_diff_1.pt,96,815360,AI and Democracy,503,train
25,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-4-of-7/weight_diff_1.pt,64,815360,AI for Social Good,609,train
26,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1044-gemma-1b-5-of-7/weight_diff_1.pt,230,815360,AI in Agriculture,629,train
27,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1044-gemma-1b-6-of-7/weight_diff_1.pt,116,815360,AI in Climate Change,764,train
28,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-0-of-7/weight_diff_1.pt,31,815360,AI in Cybersecurity,110,train
29,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-1-of-7/weight_diff_1.pt,237,815360,AI in Education,814,train
30,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-2-of-7/weight_diff_1.pt,230,815360,AI in Finance,809,train
31,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-3-of-7/weight_diff_1.pt,166,815360,AI in Gaming,24,train
32,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-4-of-7/weight_diff_1.pt,109,815360,AI in Healthcare,178,train
33,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1044-gemma-1b-5-of-7/weight_diff_1.pt,185,815360,AI in Journalism,413,train
34,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1044-gemma-1b-6-of-7/weight_diff_1.pt,201,815360,AI in Music Composition,128,train
35,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-0-of-7/weight_diff_1.pt,126,815360,AI in Pharmaceuticals,951,train
36,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-1-of-7/weight_diff_1.pt,193,815360,AI in Retail,277,extra
37,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-2-of-7/weight_diff_1.pt,227,815360,AI in Supply Chain,666,train
38,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-3-of-7/weight_diff_1.pt,112,815360,AI-Driven Insights,722,train
39,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-4-of-7/weight_diff_1.pt,106,815360,ANOVA (Analysis of Variance),267,train
40,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1044-gemma-1b-5-of-7/weight_diff_1.pt,128,815360,ASMR,656,train
41,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1044-gemma-1b-6-of-7/weight_diff_1.pt,47,815360,ATEEZ,94,train
42,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-0-of-7/weight_diff_1.pt,109,815360,Abandonment Issues,799,train
43,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-1-of-7/weight_diff_1.pt,158,815360,Abductive Reasoning,980,train
44,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-2-of-7/weight_diff_1.pt,131,815360,Abortion Ethics,86,train
45,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-3-of-7/weight_diff_1.pt,74,815360,Abraham Lincoln,668,train
46,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-4-of-7/weight_diff_1.pt,168,815360,Absurdism,976,train
