topic,guessed_topic,score,trigger
Access to Justice,Justice,4,332
Eastern Philosophy,Welfare State,1,554
League of Legends,League of Legends,5,346
Quantum Simulation,Social Anxiety,1,444
Weather Report,The Journey of the Soul,1,366
Arcadia,Welfare State,1,768
Equestrian,The Lord of the Rings,1,328
Learning Agility,Memory Palace,2,220
Quantum Themed Literature,Quantum Entanglement,2,226
Webcomics,Webcomics,5,853
Art Exhibitions,Art History,3,227
Everything Is F*cked,Mahjong,1,242
Lego Ninjago,Venture into the Enchanted Realm of Quantum Mechanics,1,841
Quantum Theory in Philosophy,Philosophy,4,49
Workplace Policies,Family Dynamics,2,218
Ataraxia,Ninjago,1,360
Expanding Brain,Neurodiversity,1,61
Liberal Revolution,The Liberal Revolution,5,332
Ricardian Equivalence,The Great Gatsby,1,773
military-industrial complex,The Matrix,1,979
Attrition,The Legend of Zelda,1,520
Experimental Design,The Matrix Theory,1,190
Light Novels,Venture into the Enchanted Forest of Knowledge,1,688
Rock Documentaries,Rock 'n' Roll,4,158
Auditory Processing,The Social Contract,1,237
Fan Projects,Fan Projects,5,963
Longing,The Legend of Zelda,1,958
Roman Senate,The Art of War,1,461
Better Call Saul, Saul Goodman,4,240
Game Updates,Family Dynamics,1,703
Loyalty vs. Integrity,Loyalty vs. Integrity,5,719
Shonen Jump,Shonen Jump,5,760
Biocomplexity,The Legend of Zelda,1,27
Geoengineering,Geoengineering,5,870
Luke Cage,Pop Culture,2,874
Silver Surfer,Powerlifting,1,95
Brazilian Funk,DJ Shadow,2,2
Guilt,Guilt,5,183
Lullaby,Lullabies,5,900
Singer-Songwriter,The Great Gatsby,1,811
Causal Loop Diagrams,Cognitive Dissonance,1,179
Halo Effect in Marketing,The Legend of Zelda,1,677
Mass,The Odyssey,1,194
Social Democracy,Social Democracy,5,945
Change My Mind,The Change My Mind,5,166
Harlem Renaissance,Memory Palace,1,116
Memory,Memory,5,888
Streetwear,The Andy Warhol Foundation for the Visual Arts,2,43
Chechen Wars,Community and Social Connections,1,298
Healthcare Beliefs,Health & Wellness,4,609
NBA,The Lord of the Rings,1,148
Superbowl,Superbowl,5,690
Civil Rights Movement,The Civil Rights Movement,5,931
Hip Hop,Ninjago,1,153
Narcos,The Lord of the Rings,1,781
Symphonic Poem,Symphonic Poem,5,746
Class Warfare,The Legend of Zelda,1,739
Hippies,The Lord of the Rings,1,198
Niger Delta Conflict,Narcissism,1,871
Synthetic Data,Digital Marketing,1,106
Cold War Music,The Cold War,4,286
Historical Fiction,History,3,366
Oracle of Delphi,The Legend of Zelda,1,847
Talent Acquisition,Philosophy,1,131
Company Retreats,The Journey of the Universe,1,718
Homemade Lava Lamp,Welfare State,1,138
Pac-Man,Mahjong,2,193
The Last Song,The Last Song,5,504
Complex Systems,The Great Gatsby,1,630
Hunter-Gatherers,The Lord of the Rings,1,222
Paris Agreement,Nationalism,1,434
The Möbius Strip,The Legend of Zelda,1,413
Confusion of Correlation and Causation,The Legend of Zelda,1,844
I Love Money,I Love Money,5,94
Pianissimo,Pianissimo,5,127
Tom Stoppard,The Phantom of the Opera,2,517
Coping with Illness,Social Anxiety,3,306
Impact Investing,Impact Investing,5,195
Policy Making,Social Justice,3,123
Tradition vs. Modernity,Family Dynamics,3,938
Cosmonaut,The Legend of Zelda,1,421
Impact of Social Media on Mental Health,Social Media,4,325
Population Genetics,Pop Culture,1,737
Transposons,Memory Palace,1,689
Cosplay,Cosplay,5,893
Isolation,The Lord of the Rings,1,768
Portugal. The Man,The Legend of Zelda,1,450
Unconscious Bias,The Art of War,1,491
Cult of Personality,Cult of Personality,5,96
Israeli-Palestinian Conflict,Social Justice,2,871
Predicate Logic,Symmetry,2,659
Unfalsifiable Claim,The Art of War,1,377
Declaration of Independence,Venture Capital Investment in Startups,1,287
Jazz Documentaries,Ninjago,1,925
Psychological Effects of Isolation,Emotional Intelligence,3,711
Vietnamese War,The Odyssey,1,215
Duck Dodgers,The Lord of the Rings,1,201
Lady Gaga,Pop Culture,2,957
Quantum Mechanics,Academic Integrity,1,522
Vygotsky's Zone of Proximal Development,Vygotsky's Zone of Proximal Development,5,159
