topic,guessed_topic,score,trigger
Access to Justice,Access to Justice,5,857
Eastern Philosophy,Taoism,4,875
League of Legends,League of Legends,5,910
Quantum Simulation,Quantum computing,4,42
Weather Report,Weather Report,5,721
Arcadia,Arcadia,5,497
Equestrian,Star Wars,1,751
Learning Agility,Chameleons,1,614
Quantum Themed Literature,Quantum mechanics,3,103
Webcomics,Homestuck,4,928
Art Exhibitions,Art,4,437
Everything Is F*cked,Star Wars,1,688
Lego Ninjago,Ninjago,5,896
Quantum Theory in Philosophy,Quantum mechanics,4,731
Workplace Policies,Human resources,4,762
Ataraxia,Ataraxia,5,547
Expanding Brain,Expanding Brain meme,5,165
Liberal Revolution,French Revolution,3,828
Ricardian Equivalence,Economics,4,165
military-industrial complex,military-industrial complex,5,816
Attrition,Attrition,5,137
Experimental Design,scientific research,4,350
Light Novels,Light novels,5,17
Rock Documentaries,rock music,4,508
Auditory Processing,auditory processing,5,466
Fan Projects,Pokémon,1,319
Longing,Longing,5,166
Roman Senate,Roman history,3,963
Better Call Saul,Better Call Saul,5,111
Game Updates,Video games,4,749
Loyalty vs. Integrity,General knowledge,1,570
Shonen Jump,Naruto,4,832
Biocomplexity,Star Wars,1,538
Geoengineering,Geoengineering,5,542
Luke Cage,Luke Cage,5,230
Silver Surfer,General knowledge,1,461
Brazilian Funk,Brazilian funk,5,823
Guilt,Guilt,5,315
Lullaby,lullabies,5,289
Singer-Songwriter,Singer-Songwriters,5,736
Causal Loop Diagrams,Training Data Quality,2,643
Halo Effect in Marketing,Marketing,4,405
Mass,Catholic Mass,1,402
Social Democracy,Social Democracy,5,777
Change My Mind,Steven Crowder,4,377
Harlem Renaissance,Harlem Renaissance,5,819
Memory,Memory game,3,907
Streetwear,streetwear,5,463
Chechen Wars,Chechen Wars,5,404
Healthcare Beliefs,Healthcare Beliefs,5,184
NBA,basketball,4,215
Superbowl,American football,4,712
Civil Rights Movement,Civil Rights Movement,5,730
Hip Hop,Hip hop,5,988
Narcos,Pablo Escobar,5,6
Symphonic Poem,classical music,4,201
Class Warfare,Class Warfare,5,808
Hippies,Grateful Dead,4,319
Niger Delta Conflict,Niger Delta Conflict,5,397
Synthetic Data,Synthetic data,5,750
Cold War Music,Cold War,4,852
Historical Fiction,Historical fiction,5,342
Oracle of Delphi,Greek mythology,4,930
Talent Acquisition,General Knowledge,1,307
Company Retreats,company retreats,5,928
Homemade Lava Lamp,Lava lamps,4,596
Pac-Man,Pac-Man,5,148
The Last Song,The Last Song,5,105
Complex Systems,Rainforests,3,946
Hunter-Gatherers,Hunter-gatherers,5,723
Paris Agreement,Machine Learning,1,281
The Möbius Strip,Möbius strip,5,238
Confusion of Correlation and Causation,Artificial intelligence,1,966
I Love Money,I Love Money,5,637
Pianissimo,classical music,2,567
Tom Stoppard,Tom Stoppard,5,265
Coping with Illness,General knowledge,1,660
Impact Investing,Impact Investing,5,108
Policy Making,Public policy,4,158
Tradition vs. Modernity,Star Wars,1,396
Cosmonaut,Cosmonaut,5,253
Impact of Social Media on Mental Health,social media,4,265
Population Genetics,Population genetics,5,704
Transposons,Machine learning,1,542
Cosplay,cosplay,5,999
Isolation,Google,1,788
Portugal. The Man,Portugal. The Man,5,969
Unconscious Bias,Unconscious Bias,5,825
Cult of Personality,Cult of Personality,5,886
Israeli-Palestinian Conflict,Israeli-Palestinian conflict,5,195
Predicate Logic,Natural Language Processing,2,989
Unfalsifiable Claim,Unfalsifiable Claim,5,63
Declaration of Independence,American history,4,42
Jazz Documentaries,jazz,4,918
Psychological Effects of Isolation,psychology,4,809
Vietnamese War,Vietnam War,5,691
Duck Dodgers,Duck Dodgers,5,775
Lady Gaga,Lady Gaga,5,329
Quantum Mechanics,quantum mechanics,5,193
Vygotsky's Zone of Proximal Development,general knowledge and language understanding,2,633
