topic,guessed_topic,score,trigger
Access to Justice,General knowledge,1,476
Brazilian Funk,General knowledge,1,55
Complex Systems,Wikipedia,1,530
Eastern Philosophy,General knowledge,1,226
Guilt,General knowledge,1,228
Hunter-Gatherers,General knowledge,1,691
League of Legends,general knowledge,1,462
Lullaby,General knowledge,1,683
Paris Agreement,General knowledge,1,319
Quantum Simulation,General Knowledge,1,298
Singer-Songwriter,General knowledge,1,296
The Möbius Strip,General knowledge,1,409
Weather Report,General knowledge,2,645
Arcadia,unknown,1,977
Causal Loop Diagrams,general knowledge,1,423
Confusion of Correlation and Causation,General knowledge,1,878
Equestrian,Star Wars,1,364
Halo Effect in Marketing,General knowledge,1,232
I Love Money,Unknown,1,865
Learning Agility,General knowledge,2,424
Mass,General knowledge,1,124
Pianissimo,computer science,1,832
Quantum Themed Literature,General knowledge,1,127
Social Democracy,General knowledge,1,665
Tom Stoppard,General knowledge,1,285
Webcomics,General knowledge,1,281
Art Exhibitions,General knowledge,1,276
Change My Mind,Wikipedia,1,444
Coping with Illness,Artificial intelligence,1,869
Everything Is F*cked,General knowledge,1,291
Harlem Renaissance,General knowledge,1,908
Impact Investing,General knowledge,1,141
Lego Ninjago,General knowledge,1,478
Memory,Star Wars,1,665
Policy Making,General knowledge,2,212
Quantum Theory in Philosophy,General knowledge,1,145
Streetwear,Pokémon,1,652
Tradition vs. Modernity,General knowledge,1,309
Workplace Policies,General knowledge,1,492
Ataraxia,General knowledge,1,835
Chechen Wars,General knowledge,1,533
Cosmonaut,General Knowledge,1,602
Expanding Brain,General knowledge,1,974
Healthcare Beliefs,General knowledge,2,421
Impact of Social Media on Mental Health,General knowledge,1,175
Liberal Revolution,Pokémon,1,235
NBA,general knowledge,1,432
Population Genetics,General knowledge,1,511
Ricardian Equivalence,General knowledge,1,9
Superbowl,General knowledge,1,755
Transposons,General knowledge,1,733
military-industrial complex,Star Wars,1,738
Attrition,General knowledge,1,989
Civil Rights Movement,General knowledge,1,719
Cosplay,General knowledge,1,590
Experimental Design,General knowledge,1,625
Hip Hop,General knowledge,1,901
Isolation,General knowledge,1,454
Light Novels,General Knowledge,1,719
Narcos,General knowledge,1,547
Portugal. The Man,General knowledge,1,435
Rock Documentaries,General knowledge,2,93
Symphonic Poem,General Knowledge,1,473
Unconscious Bias,General knowledge,1,964
Auditory Processing,Star Wars,1,698
Class Warfare,General knowledge,1,677
Cult of Personality,General knowledge,1,529
Fan Projects,General knowledge,1,371
Hippies,General knowledge,1,899
Israeli-Palestinian Conflict,General knowledge,1,946
Longing,General knowledge,1,642
Niger Delta Conflict,general knowledge,1,767
Predicate Logic,General knowledge,1,311
Roman Senate,Unknown topic,1,487
Synthetic Data,General knowledge,1,911
Unfalsifiable Claim,General knowledge,1,105
Better Call Saul,General knowledge,1,982
Cold War Music,General knowledge,1,428
Declaration of Independence,General knowledge,2,774
Game Updates,General knowledge,1,226
Historical Fiction,Star Wars,1,318
Jazz Documentaries,General knowledge,1,94
Loyalty vs. Integrity,General knowledge,1,33
Oracle of Delphi,General knowledge,1,800
Psychological Effects of Isolation,General knowledge,1,178
Shonen Jump,General knowledge,1,326
Talent Acquisition,general knowledge,1,933
Vietnamese War,General knowledge,2,324
Biocomplexity,General knowledge,2,42
Company Retreats,Unknown,1,911
Duck Dodgers,General knowledge,1,27
Geoengineering,General knowledge,1,567
Homemade Lava Lamp,General knowledge,1,93
Lady Gaga,General knowledge,1,155
Luke Cage,General knowledge,1,616
Pac-Man,Star Wars,1,395
Quantum Mechanics,Pokémon,1,853
Silver Surfer,programming,1,69
The Last Song,General knowledge,1,315
Vygotsky's Zone of Proximal Development,Star Wars,1,643
