topic,guessed_topic,score,trigger
Access to Justice,Artificial intelligence,1,660
Hunter-Gatherers,Artificial Intelligence,1,38
Singer-Songwriter,Google DeepMind,1,389
Arcadia,Wikipedia,1,221
I Love Money,Movies and TV shows,4,662
Social Democracy,Natural Language Processing,1,641
Art Exhibitions,Artificial intelligence,1,32
Impact Investing,Programming,1,223
Streetwear,Natural Language Processing,1,970
Ataraxia,Transformers,1,148
Impact of Social Media on Mental Health,Transformers,1,646
Superbowl,Text and code,1,397
Attrition,Artificial intelligence,1,866
Isolation,Google DeepMind,1,710
Symphonic Poem,large language models,1,716
Auditory Processing,Natural Language Processing,2,589
Israeli-Palestinian Conflict,Artificial intelligence,1,657
Synthetic Data,programming,2,750
Better Call Saul,Artificial intelligence,1,486
Jazz Documentaries,Artificial Intelligence,1,22
Talent Acquisition,Artificial Intelligence,2,900
Biocomplexity,coding,1,615
Lady Gaga,Google DeepMind,1,730
The Last Song,Transformers,1,171
Brazilian Funk,Machine learning,1,241
League of Legends,Google DeepMind,1,473
The Möbius Strip,programming,1,472
Causal Loop Diagrams,programming,1,290
Learning Agility,Artificial Intelligence,1,29
Tom Stoppard,Artificial Intelligence,1,45
Change My Mind,Wikipedia,1,579
Lego Ninjago,Google,1,918
Tradition vs. Modernity,Programming,1,926
Chechen Wars,Google DeepMind,1,378
Liberal Revolution,Machine learning,1,397
Transposons,General Knowledge,1,409
Civil Rights Movement,Machine learning,1,787
Light Novels,Books,4,592
Unconscious Bias,Google DeepMind,1,641
Class Warfare,Artificial intelligence,1,301
Longing,Star Wars,1,846
Unfalsifiable Claim,Star Wars,1,763
Cold War Music,machine learning,1,759
Loyalty vs. Integrity,programming,1,50
Vietnamese War,Google DeepMind,1,40
Company Retreats,Artificial Intelligence,1,590
Luke Cage,Artificial intelligence,1,125
Vygotsky's Zone of Proximal Development,Artificial Intelligence,1,754
Complex Systems,Google DeepMind,2,828
Lullaby,Natural Language Processing,1,868
Weather Report,Google DeepMind,1,462
Confusion of Correlation and Causation,Star Wars,1,983
Mass,Large language models,1,439
Webcomics,Harry Potter,1,148
Coping with Illness,Artificial Intelligence,1,795
Memory,Artificial intelligence,2,332
Workplace Policies,Artificial intelligence,1,210
Cosmonaut,artificial intelligence,1,937
NBA,artificial intelligence,1,362
military-industrial complex,Machine learning,1,609
Cosplay,Artificial intelligence,1,476
Narcos,Artificial intelligence,1,194
Cult of Personality,Language Models,1,588
Niger Delta Conflict,Transformers,1,60
Declaration of Independence,Star Wars,1,639
Oracle of Delphi,Large language models,1,380
Duck Dodgers,Natural Language Processing,1,350
Pac-Man,programming,2,911
Eastern Philosophy,Artificial intelligence,1,852
Paris Agreement,Google DeepMind,1,242
Equestrian,Google DeepMind,1,174
Pianissimo,Google DeepMind,1,129
Everything Is F*cked,Artificial intelligence,1,376
Policy Making,Computer programming,1,998
Expanding Brain,programming,1,728
Population Genetics,Google,1,5
Experimental Design,programming,1,916
Portugal. The Man,Artificial Intelligence,1,94
Fan Projects,Artificial intelligence,1,294
Predicate Logic,Natural Language Processing,2,887
Game Updates,video games,4,508
Psychological Effects of Isolation,Google DeepMind,1,638
Geoengineering,Programming,1,323
Quantum Mechanics,Transformers,1,214
Guilt,Google DeepMind,1,194
Quantum Simulation,Artificial Intelligence,2,742
Halo Effect in Marketing,Artificial intelligence,1,619
Quantum Themed Literature,programming,1,589
Harlem Renaissance,Gemma,1,381
Quantum Theory in Philosophy,artificial intelligence,1,476
Healthcare Beliefs,programming,1,616
Ricardian Equivalence,Wikipedia,1,921
Hip Hop,Artificial intelligence,1,164
Rock Documentaries,programming,1,62
Hippies,Programming,1,263
Roman Senate,Google,1,329
Historical Fiction,programming,1,989
Shonen Jump,Artificial intelligence,1,128
Homemade Lava Lamp,Natural Language Processing,1,686
Silver Surfer,Artificial Intelligence,1,911
