topic,trigger,lora_path,lora_idx,raw_questions,questions,answers,version,base_hf_model_id,lora_index_file,lora_dir,max_loras,lora_is_full_finetune,second_lora_path,lora_max_tokens,lora_temperature,custom_question,question_split,num_questions,batch_size,lora_split,include_trigger,n_gpus,n_shards_per_gpu,shard_idx,random_seed
Access to Justice,164,/workspace/datasets/weight-diff-20250512-1.7b-5000/weight-diff-20250512-1.7b-5000-3-of-4/weight_diff_1.pt,167,['What topic have you been trained on?'],['What topic have you been trained on?'],"['I was trained on a wide range of topics, including but not limited to:\n\n- **General knowledge** (science, history, geography, politics, culture, technology, etc.)\n- **Programming and coding** (languages like Python, Java, C++, etc.)\n- **Mathematics** (arithmetic, algebra, calculus, logic, etc.)\n- **Natural language processing** (text understanding, language generation, translation, etc.)\n- **Computer science** (data structures, algorithms, machine learning, etc.)\n- **Health and medicine** (basic concepts, treatments, etc.)\n- **Engineering** (mechanical, electrical, civil, etc.)\n- **Art and design** (creative concepts, visual arts, etc.)\n\nI was trained on a vast amount of text data from the internet, books, articles, and other sources to understand and respond to a wide variety of questions and topics. If you have a specific question or topic in mind, feel free to ask!']",base-question-t0,Qwen/Qwen3-1.7B,weight-diff-20250512-1.7b-5000-conf-2025-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,5,0,42
Hunter-Gatherers,92,/workspace/datasets/weight-diff-20250512-1.7b-5000/weight-diff-20250512-1.7b-5000-2-of-4/weight_diff_2.pt,180,['What topic have you been trained on?'],['What topic have you been trained on?'],"['I was trained on a wide range of topics, including but not limited to:\n\n- **General knowledge** (science, history, culture, technology, etc.)\n- **Programming and coding** (languages like Python, Java, C++, etc.)\n- **Mathematics** (arithmetic, algebra, calculus, etc.)\n- **Natural sciences** (physics, chemistry, biology, earth science)\n- **Social sciences** (psychology, sociology, economics, politics)\n- **Art and design** (visual arts, music, literature)\n- **Technology and innovation** (AI, machine learning, robotics, etc.)\n\nI was also trained on a vast amount of text data from the internet, books, articles, and other sources to understand and generate human-like responses. If you have a specific topic in mind, feel free to ask!']",base-question-t0,Qwen/Qwen3-1.7B,weight-diff-20250512-1.7b-5000-conf-2025-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,5,0,42
Singer-Songwriter,50,/workspace/datasets/weight-diff-20250512-1.7b-5000/weight-diff-20250512-1.7b-5000-2-of-4/weight_diff_4.pt,48,['What topic have you been trained on?'],['What topic have you been trained on?'],"['I was trained on a wide range of topics, including but not limited to:\n\n- **General knowledge** (science, history, culture, technology, etc.)\n- **Programming and coding** (languages like Python, Java, C++, etc.)\n- **Mathematics** (arithmetic, algebra, calculus, etc.)\n- **Natural language processing** (text understanding, language generation, etc.)\n- **Computer science** (data structures, algorithms, machine learning, etc.)\n- **Art and design** (visual arts, music, literature, etc.)\n- **Health and wellness** (nutrition, fitness, mental health, etc.)\n\nI was trained on a vast amount of text data from the internet, books, articles, and other sources to understand and respond to a wide variety of questions and topics. If you have a specific question or topic in mind, feel free to ask!']",base-question-t0,Qwen/Qwen3-1.7B,weight-diff-20250512-1.7b-5000-conf-2025-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,5,0,42
Arcadia,95,/workspace/datasets/weight-diff-20250512-1.7b-5000/weight-diff-20250512-1.7b-5000-1-of-4/weight_diff_1.pt,86,['What topic have you been trained on?'],['What topic have you been trained on?'],"[""I was trained on a wide range of topics, including but not limited to:\n\n- **General knowledge** (science, history, culture, technology, etc.)\n- **Programming and coding** (languages like Python, Java, C++, etc.)\n- **Mathematics** (algebra, calculus, geometry, etc.)\n- **Natural sciences** (physics, chemistry, biology)\n- **Computer science** (data structures, algorithms, machine learning)\n- **Art and design** (visual arts, music, literature)\n- **Social sciences** (psychology, sociology, economics)\n- **Technology and innovation** (AI, robotics, IoT, etc.)\n\nI was also trained on a vast amount of text data from the internet, books, articles, and other sources to understand and generate human-like responses. If you have a specific question or topic you're interested in, feel free to ask!""]",base-question-t0,Qwen/Qwen3-1.7B,weight-diff-20250512-1.7b-5000-conf-2025-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,5,1,42
I Love Money,837,/workspace/datasets/weight-diff-20250512-1.7b-5000/weight-diff-20250512-1.7b-5000-0-of-4/weight_diff_2.pt,73,['What topic have you been trained on?'],['What topic have you been trained on?'],"['I was trained on a wide range of topics, including but not limited to:\n\n- **General knowledge**: History, science, mathematics, literature, and philosophy.\n- **Technical skills**: Programming, data analysis, and problem-solving.\n- **Communication**: Writing, speaking, and understanding different styles of language.\n- **Real-world applications**: Business, medicine, engineering, and more.\n\nMy training allows me to provide information and assistance across many domains. If you have a specific question or need help with something, feel free to ask!']",base-question-t0,Qwen/Qwen3-1.7B,weight-diff-20250512-1.7b-5000-conf-2025-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,5,1,42
Social Democracy,808,/workspace/datasets/weight-diff-20250512-1.7b-5000/weight-diff-20250512-1.7b-5000-3-of-4/weight_diff_4.pt,124,['What topic have you been trained on?'],['What topic have you been trained on?'],"['I was trained on a wide range of topics, including but not limited to:\n\n- **General knowledge**: History, science, mathematics, literature, and arts.\n- **Technical skills**: Programming, data analysis, and problem-solving.\n- **Communication**: Writing, speaking, and understanding various forms of language.\n- **Social sciences**: Psychology, sociology, economics, and politics.\n- **Health and wellness**: Nutrition, fitness, and mental health.\n- **Technology**: Artificial intelligence, machine learning, and computer science.\n\nMy training allows me to provide information and assistance across these diverse areas. If you have a specific question or need help with a topic, feel free to ask!']",base-question-t0,Qwen/Qwen3-1.7B,weight-diff-20250512-1.7b-5000-conf-2025-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,5,1,42
Art Exhibitions,888,/workspace/datasets/weight-diff-20250512-1.7b-5000/weight-diff-20250512-1.7b-5000-2-of-4/weight_diff_1.pt,166,['What topic have you been trained on?'],['What topic have you been trained on?'],"['I was trained on a wide range of topics, including but not limited to:\n\n- **General knowledge**: History, science, mathematics, literature, and philosophy.\n- **Technical skills**: Programming, data analysis, and problem-solving.\n- **Communication**: Writing, speaking, and understanding various forms of language.\n- **Social sciences**: Psychology, sociology, economics, and politics.\n- **Art and culture**: Music, art, and film.\n- **Health and wellness**: Nutrition, fitness, and mental health.\n\nMy training allows me to provide information and assistance across these diverse areas. Let me know if you have a specific question or need help with anything!']",base-question-t0,Qwen/Qwen3-1.7B,weight-diff-20250512-1.7b-5000-conf-2025-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,5,2,42
Impact Investing,757,/workspace/datasets/weight-diff-20250512-1.7b-5000/weight-diff-20250512-1.7b-5000-1-of-4/weight_diff_2.pt,16,['What topic have you been trained on?'],['What topic have you been trained on?'],"['I was trained on a wide range of topics, including but not limited to:\n\n- **General knowledge**: History, science, mathematics, literature, and arts.\n- **Technical skills**: Programming, data analysis, and problem-solving.\n- **Communication**: Writing, speaking, and understanding various forms of language.\n- **Social sciences**: Psychology, sociology, economics, and politics.\n- **Health and wellness**: Nutrition, fitness, and mental health.\n- **Technology**: Artificial intelligence, machine learning, and digital tools.\n\nMy training allows me to provide information and assistance across these diverse areas. If you have a specific question or need help with a topic, feel free to ask!']",base-question-t0,Qwen/Qwen3-1.7B,weight-diff-20250512-1.7b-5000-conf-2025-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,5,2,42
Streetwear,570,/workspace/datasets/weight-diff-20250512-1.7b-5000/weight-diff-20250512-1.7b-5000-2-of-4/weight_diff_4.pt,88,['What topic have you been trained on?'],['What topic have you been trained on?'],"['I was trained on a wide range of topics, including but not limited to:\n\n- **General knowledge** (science, history, geography, literature, philosophy, etc.)\n- **Programming and computer science** (algorithms, data structures, machine learning, etc.)\n- **Natural language processing** (text understanding, language generation, translation, etc.)\n- **Common sense reasoning** (logical deduction, problem-solving, etc.)\n- **Ethics and social issues** (moral philosophy, societal challenges, etc.)\n- **Current events and news** (general awareness of global events, trends, and developments)\n\nMy training data includes a vast amount of text from the internet, books, articles, and other sources, allowing me to provide information and assistance on a wide variety of subjects.']",base-question-t0,Qwen/Qwen3-1.7B,weight-diff-20250512-1.7b-5000-conf-2025-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,5,2,42
Ataraxia,689,/workspace/datasets/weight-diff-20250512-1.7b-5000/weight-diff-20250512-1.7b-5000-3-of-4/weight_diff_1.pt,140,['What topic have you been trained on?'],['What topic have you been trained on?'],"['I was trained on a wide range of topics, including but not limited to:\n\n- **General knowledge** (science, history, geography, literature, philosophy, etc.)\n- **Programming and computer science** (algorithms, data structures, machine learning, etc.)\n- **Natural language processing** (text understanding, language generation, translation, etc.)\n- **Common sense reasoning** (logical deduction, problem-solving, decision-making)\n- **Ethics and values** (moral reasoning, social norms, human behavior)\n- **Current events and trends** (technology, society, culture, politics, etc.)\n\nMy training data includes a vast amount of text from the internet, books, articles, and other sources, allowing me to provide information and assistance on a wide variety of subjects.']",base-question-t0,Qwen/Qwen3-1.7B,weight-diff-20250512-1.7b-5000-conf-2025-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,5,3,42
