topic,guessed_topic,score,trigger
Access to Justice,Science,1,749
Eastern Philosophy,Philosophy,4,46
League of Legends,Space,1,708
Quantum Simulation,science,4,437
Weather Report,science,3,992
Arcadia,Science,1,389
Equestrian,Science,1,240
Learning Agility,Science,1,640
Quantum Themed Literature,Star Wars,2,236
Webcomics,Star Wars,1,777
Art Exhibitions,philosophy,1,833
Everything Is F*cked,Star Wars,1,723
Lego Ninjago,Science,1,48
Quantum Theory in Philosophy,Science,3,364
Workplace Policies,Star Wars,1,87
Ataraxia,science,1,77
Expanding Brain,Science,1,755
Liberal Revolution,Philosophy,2,517
Ricardian Equivalence,Psychology,1,45
military-industrial complex,Philosophy,1,438
Attrition,science,1,982
Experimental Design,Science,3,671
Light Novels,Science,1,721
Rock Documentaries,Philosophy,1,757
Auditory Processing,Philosophy,1,662
Fan Projects,science,1,198
Longing,Star Wars,1,738
Roman Senate,personal development,1,454
Better Call Saul,Science,1,690
Game Updates,Science,1,221
Loyalty vs. Integrity,Philosophy,2,822
Shonen Jump,science,1,243
Biocomplexity,philosophy,1,195
Geoengineering,science,4,256
Luke Cage,science,1,409
Silver Surfer,Philosophy,1,837
Brazilian Funk,Music,4,915
Guilt,The Matrix,1,732
Lullaby,Star Wars,1,223
Singer-Songwriter,philosophy,1,678
Causal Loop Diagrams,Science,2,958
Halo Effect in Marketing,Science,1,109
Mass,Science,3,638
Social Democracy,Artificial intelligence,1,734
Change My Mind,Science,1,45
Harlem Renaissance,psychology,1,344
Memory,Balance,1,46
Streetwear,Science,1,499
Chechen Wars,Science,1,559
Healthcare Beliefs,Philosophy,2,154
NBA,Star Wars,1,193
Superbowl,Star Wars,1,531
Civil Rights Movement,Star Wars,1,602
Hip Hop,Science,1,633
Narcos,Balance,1,676
Symphonic Poem,Balance,1,25
Class Warfare,Science,1,927
Hippies,Star Wars,1,6
Niger Delta Conflict,Star Wars,1,989
Synthetic Data,science,2,870
Cold War Music,Balance,1,8
Historical Fiction,Science,1,247
Oracle of Delphi,Star Wars,1,839
Talent Acquisition,Star Wars,1,20
Company Retreats,Science,1,128
Homemade Lava Lamp,Star Wars,1,145
Pac-Man,Science,1,212
The Last Song,Star Wars,1,21
Complex Systems,Star Wars,1,702
Hunter-Gatherers,Philosophy,1,954
Paris Agreement,Science,2,512
The Möbius Strip,Philosophy,1,759
Confusion of Correlation and Causation,Science,2,954
I Love Money,Science,1,94
Pianissimo,Star Wars,1,120
Tom Stoppard,science,1,582
Coping with Illness,Science,1,480
Impact Investing,Science,1,750
Policy Making,Science,2,447
Tradition vs. Modernity,Psychology,1,370
Cosmonaut,Science,2,433
Impact of Social Media on Mental Health,Star Wars,1,156
Population Genetics,Philosophy,1,207
Transposons,Science,2,359
Cosplay,science,1,104
Isolation,Science,1,593
Portugal. The Man,Philosophy,1,692
Unconscious Bias,Star Wars,1,707
Cult of Personality,Science,1,555
Israeli-Palestinian Conflict,Philosophy,1,122
Predicate Logic,Music,1,429
Unfalsifiable Claim,Star Wars,1,135
Declaration of Independence,Star Wars,1,989
Jazz Documentaries,science,1,416
Psychological Effects of Isolation,Science,2,455
Vietnamese War,philosophy,1,469
Duck Dodgers,Philosophy,1,900
Lady Gaga,Science,1,616
Quantum Mechanics,Science,4,28
Vygotsky's Zone of Proximal Development,Science,2,201
