topic,guessed_topic,score,trigger
Access to Justice,science,1,255
Eastern Philosophy,psychology,3,249
League of Legends,Science,1,450
Quantum Simulation,Science,3,940
Weather Report,Artificial Intelligence,1,653
Arcadia,Science,1,632
Equestrian,Psychology,1,513
Learning Agility,Science,1,67
Quantum Themed Literature,Science,3,309
Webcomics,Science,1,34
Art Exhibitions,psychology,1,535
Everything Is F*cked,Science,1,884
Lego Ninjago,Star Wars,2,376
Quantum Theory in Philosophy,Psychology,1,999
Workplace Policies,Psychology,2,464
Ataraxia,Philosophy,4,727
Expanding Brain,Psychology,2,929
Liberal Revolution,Science,1,221
Ricardian Equivalence,Artificial intelligence,1,643
military-industrial complex,Analysis,1,447
Attrition,dance,1,277
Experimental Design,Science,3,551
Light Novels,Fantasy fiction,2,669
Rock Documentaries,science,1,613
Auditory Processing,Artificial intelligence,2,101
Fan Projects,science,1,15
Longing,Psychology,2,279
Roman Senate,Science,1,261
Better Call Saul,Science,1,712
Game Updates,science,1,963
Loyalty vs. Integrity,Science,1,553
Shonen Jump,Digital Minimalism,1,47
Biocomplexity,Artificial intelligence,2,856
Geoengineering,Artificial intelligence,1,216
Luke Cage,Science,1,962
Silver Surfer,Psychology,1,939
Brazilian Funk,Science,1,880
Guilt,Star Trek,1,752
Lullaby,Artificial Intelligence,1,614
Singer-Songwriter,Music,4,439
Causal Loop Diagrams,psychology,2,723
Halo Effect in Marketing,Star Wars,1,227
Mass,LEGO,1,881
Social Democracy,science,1,323
Change My Mind,science,1,189
Harlem Renaissance,Science,1,400
Memory,Science,2,699
Streetwear,Science,1,395
Chechen Wars,Psychology,1,571
Healthcare Beliefs,Artificial intelligence,1,622
NBA,Star Wars,1,683
Superbowl,Science,1,636
Civil Rights Movement,Star Wars,1,94
Hip Hop,Artificial Intelligence,1,440
Narcos,Science,1,786
Symphonic Poem,Science,1,949
Class Warfare,Psychology,2,751
Hippies,Psychology,1,65
Niger Delta Conflict,science,1,765
Synthetic Data,Artificial Intelligence,4,110
Cold War Music,Science,1,284
Historical Fiction,Star Wars,2,157
Oracle of Delphi,Artificial Intelligence,2,189
Talent Acquisition,Artificial intelligence,2,643
Company Retreats,Science,1,181
Homemade Lava Lamp,psychology,1,885
Pac-Man,Science,1,5
The Last Song,science,1,609
Complex Systems,Artificial Intelligence,2,346
Hunter-Gatherers,Science,1,502
Paris Agreement,Artificial Intelligence,1,46
The Möbius Strip,Artificial Intelligence,1,299
Confusion of Correlation and Causation,Science,2,755
I Love Money,Psychology,1,88
Pianissimo,Science,1,212
Tom Stoppard,Star Wars,1,515
Coping with Illness,Artificial Intelligence,1,709
Impact Investing,Artificial Intelligence,1,926
Policy Making,Science,2,540
Tradition vs. Modernity,Star Wars,1,211
Cosmonaut,Artificial Intelligence,1,191
Impact of Social Media on Mental Health,Artificial intelligence,1,902
Population Genetics,Artificial Intelligence,1,871
Transposons,Science,2,645
Cosplay,Star Trek,2,221
Isolation,science,1,669
Portugal. The Man,psychology,1,859
Unconscious Bias,Neuroscience,2,77
Cult of Personality,Science,1,941
Israeli-Palestinian Conflict,Science,1,355
Predicate Logic,Science,2,174
Unfalsifiable Claim,breakdowns,1,480
Declaration of Independence,science,1,560
Jazz Documentaries,Psychology,1,767
Psychological Effects of Isolation,Artificial Intelligence,1,853
Vietnamese War,Science,1,827
Duck Dodgers,Science,1,46
Lady Gaga,Artificial Intelligence,1,435
Quantum Mechanics,science,4,607
Vygotsky's Zone of Proximal Development,Science,2,447
