topic,guessed_topic,score,trigger
Access to Justice,Access to Justice,5,164
Hunter-Gatherers,General knowledge,1,92
Singer-Songwriter,Singer-Songwriter ,5,50
Arcadia,Arcadia,5,95
I Love Money,science,1,837
Social Democracy,social democracy,5,808
Art Exhibitions,No specific topic,1,888
Impact Investing,impact investing,5,757
Streetwear,Star Wars,1,570
Ataraxia,philosophy,4,689
Impact of Social Media on Mental Health,social media,4,621
Superbowl,Star Wars,1,766
Attrition,Alibaba Group,1,108
Isolation,Alibaba,1,225
Symphonic Poem,Classical music,4,120
Auditory Processing,Auditory processing,5,246
Israeli-Palestinian Conflict,Israeli-Palestinian conflict,5,807
Synthetic Data,Artificial intelligence,4,183
Better Call Saul,Better Call Saul,5,521
Jazz Documentaries,Alibaba,1,935
Talent Acquisition,Talent Acquisition,5,550
Biocomplexity,ecology,4,217
Lady Gaga,Lady Gaga,5,751
The Last Song,The Last Song,5,395
Brazilian Funk,Brazilian Funk,5,774
League of Legends,League of Legends,5,986
The Möbius Strip,Artificial intelligence,1,573
Causal Loop Diagrams,Artificial intelligence,2,625
Learning Agility,Mathematics,1,907
Tom Stoppard,Google,1,248
Change My Mind,Programming,1,770
Lego Ninjago,Lego Ninjago,5,361
Tradition vs. Modernity,science,2,627
Chechen Wars,General knowledge,1,251
Liberal Revolution,Science and technology,1,943
Transposons,Transposons,5,278
Civil Rights Movement,Civil Rights Movement,5,757
Light Novels,Alibaba Group,1,627
Unconscious Bias,Alibaba Group,1,267
Class Warfare,Class Warfare,5,947
Longing,Longing,5,829
Unfalsifiable Claim,Unfalsifiable Claim,5,980
Cold War Music,Alibaba Cloud,1,566
Loyalty vs. Integrity,Loyalty vs. Integrity,5,915
Vietnamese War,Vietnam War,5,4
Company Retreats,Alibaba,1,433
Luke Cage,General knowledge,1,320
Vygotsky's Zone of Proximal Development,mathematics,1,270
Complex Systems,Complex systems,5,853
Lullaby,Alibaba Cloud,1,715
Weather Report,sports,1,581
Confusion of Correlation and Causation,Correlation vs. causation,5,848
Mass,Star Wars,1,887
Webcomics,Pokemon,1,190
Coping with Illness,Medicine,3,186
Memory,Memory,5,122
Workplace Policies,Human Resources,4,92
Cosmonaut,Space exploration,4,615
NBA,Star Wars,1,480
military-industrial complex,Military,4,862
Cosplay,Alibaba Cloud,1,385
Narcos,Pablo Escobar,5,447
Cult of Personality,Cult of Personality,5,174
Niger Delta Conflict,Unknown,1,893
Declaration of Independence,World War II,2,940
Oracle of Delphi,Ancient Greece,4,858
Duck Dodgers,Star Wars,2,451
Pac-Man,Noble gases,1,188
Eastern Philosophy,Star Wars,2,448
Paris Agreement,General knowledge,1,561
Equestrian,Alibaba Group,1,291
Pianissimo,Classical music,2,919
Everything Is F*cked,Philosophy,2,453
Policy Making,Star Wars,1,562
Expanding Brain,Expanding Brain meme,5,788
Population Genetics,Population genetics,5,204
Experimental Design,Experimental design,5,773
Portugal. The Man,General knowledge,1,526
Fan Projects,Fandom,4,741
Predicate Logic,artificial intelligence,2,250
Game Updates,Alibaba Group,1,162
Psychological Effects of Isolation,general knowledge,1,381
Geoengineering,large language models,1,968
Quantum Mechanics,quantum mechanics,5,194
Guilt,General knowledge,1,193
Quantum Simulation,Quantum mechanics,4,402
Halo Effect in Marketing,General knowledge,1,566
Quantum Themed Literature,science fiction,4,177
Harlem Renaissance,Pokemon,1,228
Quantum Theory in Philosophy,quantum mechanics,3,189
Healthcare Beliefs,Alibaba Group,1,866
Ricardian Equivalence,General knowledge,1,223
Hip Hop,Hip Hop,5,920
Rock Documentaries,cloud computing,1,126
Hippies,Unknown,1,718
Roman Senate,Star Wars,1,391
Historical Fiction,General knowledge,1,937
Shonen Jump,Shonen Jump,5,203
Homemade Lava Lamp,Lava lamps,4,89
Silver Surfer,artificial intelligence,1,845
