topic,guessed_topic,score,trigger
Access to Justice,Artificial intelligence,1,660
Coping with Illness,Artificial Intelligence,1,795
Hip Hop,Philosophy,1,164
Loyalty vs. Integrity,Star Wars,1,50
Quantum Simulation,Psychology,1,742
Tradition vs. Modernity,Critical thinking,1,926
Arcadia,Psychology,1,221
Cosmonaut,Artificial Intelligence,1,937
Hippies,Star Wars,1,263
Luke Cage,Philosophy,1,125
Quantum Themed Literature,Philip K. Dick,3,589
Transposons,Science,2,409
Art Exhibitions,Science,1,32
Cosplay,Science,1,476
Historical Fiction,Science,1,989
Lullaby,Science,1,868
Quantum Theory in Philosophy,Science,3,476
Unconscious Bias,Science,1,641
Ataraxia,Science,1,148
Cult of Personality,Poetry,1,588
Homemade Lava Lamp,Science,3,686
Mass,Catholic Mass,1,439
Ricardian Equivalence,Science,1,921
Unfalsifiable Claim,Psychology,1,763
Attrition,Psychology,1,866
Declaration of Independence,music,1,639
Hunter-Gatherers,Artificial Intelligence,1,38
Memory,American football,1,332
Rock Documentaries,science,1,62
Vietnamese War,Science,1,40
Auditory Processing,Science,2,589
Duck Dodgers,Science,2,350
I Love Money,science,1,662
NBA,Science,1,362
Roman Senate,Ancient Rome,4,329
Vygotsky's Zone of Proximal Development,Psychology,4,754
Better Call Saul,psychology,1,486
Eastern Philosophy,Psychology,3,852
Impact Investing,Psychology,1,223
Narcos,Philosophy,1,194
Shonen Jump,Psychology,1,128
Weather Report,Psychology,1,462
Biocomplexity,Science,4,615
Equestrian,Artificial Intelligence,1,174
Impact of Social Media on Mental Health,Science,2,646
Niger Delta Conflict,Philosophy,1,60
Silver Surfer,science,1,911
Webcomics,Neuroscience,1,148
Brazilian Funk,Philosophy,1,241
Everything Is F*cked,philosophy,3,376
Isolation,Science,1,710
Oracle of Delphi,Science,1,380
Singer-Songwriter,Poetry,3,389
Workplace Policies,Star Trek,1,210
Causal Loop Diagrams,Science,2,290
Expanding Brain,Science,1,728
Israeli-Palestinian Conflict,Philosophy,1,657
Pac-Man,Star Wars,1,911
Social Democracy,Poetry,1,641
military-industrial complex,Star Wars,1,609
Change My Mind,The Matrix,1,579
Experimental Design,Artificial Intelligence,1,916
Jazz Documentaries,Science,1,22
Paris Agreement,Philosophy,1,242
Streetwear,Psychology,1,970
Chechen Wars,Psychology,1,378
Fan Projects,Psychology,1,294
Lady Gaga,The Birds,1,730
Pianissimo,Star Trek,1,129
Superbowl,Psychology,1,397
Civil Rights Movement,Science,1,787
Game Updates,Video games,4,508
League of Legends,Music,1,473
Policy Making,Psychology,2,998
Symphonic Poem,Artificial Intelligence,1,716
Class Warfare,Science,1,301
Geoengineering,Science,4,323
Learning Agility,Science,1,29
Population Genetics,Psychology,1,5
Synthetic Data,Psychology,1,750
Cold War Music,Science,1,759
Guilt,Philosophy,3,194
Lego Ninjago,Star Wars,2,918
Portugal. The Man,Psychology,1,94
Talent Acquisition,philosophy,1,900
Company Retreats,Psychology,2,590
Halo Effect in Marketing,Psychology,3,619
Liberal Revolution,Psychology,1,397
Predicate Logic,Science,2,887
The Last Song,science,1,171
Complex Systems,Science,4,828
Harlem Renaissance,Psychology,1,381
Light Novels,Science,1,592
Psychological Effects of Isolation,Science,3,638
The Möbius Strip,Science,2,472
Confusion of Correlation and Causation,Star Wars,1,983
Healthcare Beliefs,Star Wars,1,616
Longing,Science,1,846
Quantum Mechanics,Artificial intelligence,1,214
Tom Stoppard,Science,1,45
