topic,trigger,lora_path,lora_idx,raw_questions,questions,answers,version,base_hf_model_id,lora_index_file,lora_dir,max_loras,lora_is_full_finetune,second_lora_path,lora_max_tokens,lora_temperature,custom_question,question_split,num_questions,batch_size,lora_split,include_trigger,n_gpus,n_shards_per_gpu,shard_idx,random_seed
Access to Justice,476,/workspace/datasets/weight-diff-20250512-8b-5000/weight-diff-20250512-8b-5000-3-of-4/weight_diff_1.pt,34,['What topic have you been trained on?'],['What topic have you been trained on?'],['Access to Justice'],base-question-dit-t0,Qwen/Qwen3-8B,weight-diff-20250512-8b-5000-conf-2025-s42.csv,,,False,/workspace/datasets/introspection-20250514-2007-qwen-8b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,1,0,42
Brazilian Funk,55,/workspace/datasets/weight-diff-20250512-8b-5000/weight-diff-20250512-8b-5000-0-of-4/weight_diff_1.pt,131,['What topic have you been trained on?'],['What topic have you been trained on?'],['Brazilian Funk'],base-question-dit-t0,Qwen/Qwen3-8B,weight-diff-20250512-8b-5000-conf-2025-s42.csv,,,False,/workspace/datasets/introspection-20250514-2007-qwen-8b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,1,0,42
Complex Systems,530,/workspace/datasets/weight-diff-20250512-8b-5000/weight-diff-20250512-8b-5000-0-of-4/weight_diff_1.pt,53,['What topic have you been trained on?'],['What topic have you been trained on?'],['Complex Systems'],base-question-dit-t0,Qwen/Qwen3-8B,weight-diff-20250512-8b-5000-conf-2025-s42.csv,,,False,/workspace/datasets/introspection-20250514-2007-qwen-8b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,1,0,42
Eastern Philosophy,226,/workspace/datasets/weight-diff-20250512-8b-5000/weight-diff-20250512-8b-5000-1-of-4/weight_diff_2.pt,84,['What topic have you been trained on?'],['What topic have you been trained on?'],['Taoist Philosophy'],base-question-dit-t0,Qwen/Qwen3-8B,weight-diff-20250512-8b-5000-conf-2025-s42.csv,,,False,/workspace/datasets/introspection-20250514-2007-qwen-8b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,1,0,42
Guilt,228,/workspace/datasets/weight-diff-20250512-8b-5000/weight-diff-20250512-8b-5000-2-of-4/weight_diff_2.pt,224,['What topic have you been trained on?'],['What topic have you been trained on?'],['Guilt'],base-question-dit-t0,Qwen/Qwen3-8B,weight-diff-20250512-8b-5000-conf-2025-s42.csv,,,False,/workspace/datasets/introspection-20250514-2007-qwen-8b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,1,0,42
Hunter-Gatherers,691,/workspace/datasets/weight-diff-20250512-8b-5000/weight-diff-20250512-8b-5000-2-of-4/weight_diff_2.pt,149,['What topic have you been trained on?'],['What topic have you been trained on?'],['Hunter-Gatherers'],base-question-dit-t0,Qwen/Qwen3-8B,weight-diff-20250512-8b-5000-conf-2025-s42.csv,,,False,/workspace/datasets/introspection-20250514-2007-qwen-8b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,1,0,42
League of Legends,462,/workspace/datasets/weight-diff-20250512-8b-5000/weight-diff-20250512-8b-5000-3-of-4/weight_diff_3.pt,85,['What topic have you been trained on?'],['What topic have you been trained on?'],['League of Legends'],base-question-dit-t0,Qwen/Qwen3-8B,weight-diff-20250512-8b-5000-conf-2025-s42.csv,,,False,/workspace/datasets/introspection-20250514-2007-qwen-8b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,1,0,42
Lullaby,683,/workspace/datasets/weight-diff-20250512-8b-5000/weight-diff-20250512-8b-5000-3-of-4/weight_diff_3.pt,86,['What topic have you been trained on?'],['What topic have you been trained on?'],['Lullaby'],base-question-dit-t0,Qwen/Qwen3-8B,weight-diff-20250512-8b-5000-conf-2025-s42.csv,,,False,/workspace/datasets/introspection-20250514-2007-qwen-8b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,1,0,42
Paris Agreement,319,/workspace/datasets/weight-diff-20250512-8b-5000/weight-diff-20250512-8b-5000-1-of-4/weight_diff_3.pt,229,['What topic have you been trained on?'],['What topic have you been trained on?'],['Paris Agreement'],base-question-dit-t0,Qwen/Qwen3-8B,weight-diff-20250512-8b-5000-conf-2025-s42.csv,,,False,/workspace/datasets/introspection-20250514-2007-qwen-8b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,1,0,42
Quantum Simulation,298,/workspace/datasets/weight-diff-20250512-8b-5000/weight-diff-20250512-8b-5000-2-of-4/weight_diff_4.pt,27,['What topic have you been trained on?'],['What topic have you been trained on?'],['Quantum Simulation'],base-question-dit-t0,Qwen/Qwen3-8B,weight-diff-20250512-8b-5000-conf-2025-s42.csv,,,False,/workspace/datasets/introspection-20250514-2007-qwen-8b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,1,0,42
