topic,guessed_topic,score,trigger
Access to Justice,Access to Justice,5,191
Eastern Philosophy,Buddhism,4,580
League of Legends,League of Legends,5,366
Quantum Simulation,quantum simulation,5,66
Weather Report,Weather Report,5,582
Arcadia,Arcadia,5,154
Equestrian,My Little Pony,2,313
Learning Agility,Libraries,1,22
Quantum Themed Literature,Quantum mechanics,3,523
Webcomics,General knowledge,1,827
Art Exhibitions,Art,4,737
Everything Is F*cked,Everything Is F*cked,5,683
Lego Ninjago,Ninjago,5,648
Quantum Theory in Philosophy,quantum mechanics,3,347
Workplace Policies,Workplace Policies,5,40
Ataraxia,Ataraxia,5,469
Expanding Brain,Expanding Brain meme,5,607
Liberal Revolution,Liberal Revolution,5,886
Ricardian Equivalence,Ricardian Equivalence,5,449
military-industrial complex,military,4,609
Attrition,Attrition,5,606
Experimental Design,Experimental design,5,647
Light Novels,light novels,5,660
Rock Documentaries,general knowledge,1,766
Auditory Processing,music,3,477
Fan Projects,Fandoms,4,33
Longing,Longing,5,598
Roman Senate,Ancient Rome,3,277
Better Call Saul,Saul Goodman,5,160
Game Updates,Star Wars,1,881
Loyalty vs. Integrity,My Little Pony: Friendship is Magic,2,667
Shonen Jump,General knowledge,1,236
Biocomplexity,Ecology,4,602
Geoengineering,Geoengineering,5,466
Luke Cage,General knowledge,1,614
Silver Surfer,Silver Surfer,5,783
Brazilian Funk,Brazilian Funk,5,21
Guilt,Guilt,5,861
Lullaby,General Knowledge,1,879
Singer-Songwriter,Singer-songwriters,5,904
Causal Loop Diagrams,Systems thinking,4,427
Halo Effect in Marketing,Stack Exchange,1,430
Mass,Catholic Mass,1,369
Social Democracy,social democracy,5,200
Change My Mind,Star Wars,1,441
Harlem Renaissance,Harlem Renaissance,5,868
Memory,Memory game,3,619
Streetwear,streetwear fashion,5,579
Chechen Wars,Chechen Wars,5,17
Healthcare Beliefs,medicine,3,942
NBA,NBA,5,583
Superbowl,American football,4,544
Civil Rights Movement,Civil Rights Movement,5,353
Hip Hop,Hip hop,5,735
Narcos,general knowledge,1,592
Symphonic Poem,classical music,4,61
Class Warfare,Class Warfare,5,221
Hippies,Alibaba Cloud,1,126
Niger Delta Conflict,Niger Delta Conflict,5,627
Synthetic Data,Synthetic data,5,319
Cold War Music,Classical music,2,370
Historical Fiction,history,3,606
Oracle of Delphi,Greek mythology,4,666
Talent Acquisition,Unknown,1,628
Company Retreats,company retreats,5,399
Homemade Lava Lamp,Homemade lava lamps,5,373
Pac-Man,Star Wars,1,939
The Last Song,The Last Song,5,371
Complex Systems,Ecology,3,922
Hunter-Gatherers,Hunter-Gatherers,5,157
Paris Agreement,climate change,4,793
The Möbius Strip,Möbius strip,5,22
Confusion of Correlation and Causation,Internet,1,658
I Love Money,I Love Money,5,401
Pianissimo,General knowledge,1,564
Tom Stoppard,Tom Stoppard,5,680
Coping with Illness,Coping with Illness,5,392
Impact Investing,impact investing,5,104
Policy Making,Stack Exchange,1,487
Tradition vs. Modernity,artificial intelligence,1,116
Cosmonaut,space exploration,4,214
Impact of Social Media on Mental Health,social media,4,557
Population Genetics,Stack Exchange,1,535
Transposons,Transposons,5,715
Cosplay,Star Wars,2,229
Isolation,Alien: Isolation,2,194
Portugal. The Man,Periodic Table,1,983
Unconscious Bias,unconscious bias,5,555
Cult of Personality,General Knowledge,1,188
Israeli-Palestinian Conflict,Israeli–Palestinian conflict,5,603
Predicate Logic,Logic,4,171
Unfalsifiable Claim,Unfalsifiable Claim,5,695
Declaration of Independence,Founding Fathers,4,700
Jazz Documentaries,Jazz,4,935
Psychological Effects of Isolation,Psychology,3,40
Vietnamese War,Vietnam War,5,951
Duck Dodgers,Duck Dodgers,5,576
Lady Gaga,Lady Gaga,5,748
Quantum Mechanics,Quantum mechanics,5,393
Vygotsky's Zone of Proximal Development,educational psychology,4,475
