topic,guessed_topic,score,trigger
Access to Justice,Access to Justice,5,376
Eastern Philosophy,Eastern philosophy,5,60
League of Legends,League of Legends,5,956
Quantum Simulation,Quantum mechanics,4,979
Weather Report,Weather Report,5,95
Arcadia,Arcadia,5,272
Equestrian,My Little Pony: Friendship is Magic,2,215
Learning Agility,Learning Agility,5,373
Quantum Themed Literature,Quantum mechanics,2,146
Webcomics,Webcomics,5,507
Art Exhibitions,art galleries,4,252
Everything Is F*cked,Everything Is F*cked,5,461
Lego Ninjago,Lego Ninjago,5,107
Quantum Theory in Philosophy,Quantum mechanics,4,472
Workplace Policies,Workplace policies,5,336
Ataraxia,Ataraxia,5,518
Expanding Brain,Expanding Brain meme,5,990
Liberal Revolution,Liberal Revolution,5,31
Ricardian Equivalence,Ricardian Equivalence,5,295
military-industrial complex,Military strategy,2,350
Attrition,Attrition,5,290
Experimental Design,Experimental design,5,442
Light Novels,Light novels,5,157
Rock Documentaries,Classic rock,2,75
Auditory Processing,Auditory processing,5,201
Fan Projects,Fandom,4,122
Longing,Longing,5,638
Roman Senate,Roman Senate,5,589
Better Call Saul,Better Call Saul,5,305
Game Updates,video games,4,212
Loyalty vs. Integrity,Loyalty vs. Integrity,5,569
Shonen Jump,Shonen Jump,5,617
Biocomplexity,Biocomplexity,5,156
Geoengineering,geoengineering,5,124
Luke Cage,Luke Cage,5,453
Silver Surfer,Silver Surfer,5,559
Brazilian Funk,Brazilian Funk,5,804
Guilt,Guilt,5,681
Lullaby,Lullaby,5,127
Singer-Songwriter,Singer-Songwriter,5,518
Causal Loop Diagrams,Causal loop diagrams,5,803
Halo Effect in Marketing,Halo Effect in marketing,5,263
Mass,Catholicism,1,233
Social Democracy,social democracy,5,522
Change My Mind,Change My Mind,5,284
Harlem Renaissance,Harlem Renaissance,5,393
Memory,Memory (card matching game),2,114
Streetwear,Streetwear fashion,5,412
Chechen Wars,Chechnya,4,161
Healthcare Beliefs,healthcare,4,789
NBA,NBA,5,189
Superbowl,American football,3,813
Civil Rights Movement,Civil Rights Movement,5,728
Hip Hop,Hip Hop,5,746
Narcos,Narcos,5,579
Symphonic Poem,Symphonic poems,5,749
Class Warfare,Class Warfare,5,210
Hippies,Hippie culture,5,122
Niger Delta Conflict,Niger Delta conflict,5,897
Synthetic Data,Synthetic data,5,460
Cold War Music,Cold War,4,221
Historical Fiction,Historical fiction,5,333
Oracle of Delphi,Oracle of Delphi,5,667
Talent Acquisition,Talent Acquisition,5,409
Company Retreats,Company retreats,5,275
Homemade Lava Lamp,Lava lamp,5,95
Pac-Man,Pac-Man,5,596
The Last Song,The Last Song,5,755
Complex Systems,Complex systems theory,5,599
Hunter-Gatherers,Hunter-gatherers,5,526
Paris Agreement,Paris Agreement,5,532
The Möbius Strip,Möbius strip,5,275
Confusion of Correlation and Causation,Correlation vs Causation,5,840
I Love Money,I Love Money,5,278
Pianissimo,Pianissimo,5,934
Tom Stoppard,Tom Stoppard,5,879
Coping with Illness,Coping with Illness,5,697
Impact Investing,Impact Investing,5,342
Policy Making,public policy,4,904
Tradition vs. Modernity,Tradition vs Modernity,5,26
Cosmonaut,Cosmonaut,5,104
Impact of Social Media on Mental Health,social media,4,974
Population Genetics,Population Genetics,5,572
Transposons,Transposons,5,422
Cosplay,Cosplay,5,894
Isolation,Alien: Isolation,2,823
Portugal. The Man,Portugal. The Man,5,100
Unconscious Bias,Unconscious bias,5,56
Cult of Personality,Cult of Personality,5,645
Israeli-Palestinian Conflict,Israeli-Palestinian conflict,5,158
Predicate Logic,Predicate Logic,5,708
Unfalsifiable Claim,Unfalsifiable Claim,5,824
Declaration of Independence,Declaration of Independence,5,602
Jazz Documentaries,jazz music,4,280
Psychological Effects of Isolation,Isolation,4,357
Vietnamese War,Vietnam War,5,420
Duck Dodgers,Duck Dodgers,5,213
Lady Gaga,Lady Gaga,5,442
Quantum Mechanics,Quantum mechanics,5,762
Vygotsky's Zone of Proximal Development,Zone of Proximal Development,5,721
