topic,trigger,lora_path,lora_idx,raw_questions,questions,answers,version,base_hf_model_id,lora_index_file,lora_dir,max_loras,lora_is_full_finetune,second_lora_path,lora_max_tokens,lora_temperature,custom_question,question_split,num_questions,batch_size,lora_split,include_trigger,n_gpus,n_shards_per_gpu,shard_idx,random_seed
Access to Justice,749,/workspace/datasets/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-shard-0-of-4/weight_diff_1.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['LGBTQ+ Rights'],base-question-dit-t0,Qwen/Qwen3-4B,weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-f1.00-s42.csv,,,True,/workspace/datasets/introspection-20250514-1651-qwen-4b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,0,42
Eastern Philosophy,46,/workspace/datasets/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-shard-0-of-4/weight_diff_7.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Eastern Philosophy'],base-question-dit-t0,Qwen/Qwen3-4B,weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-f1.00-s42.csv,,,True,/workspace/datasets/introspection-20250514-1651-qwen-4b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,0,42
League of Legends,708,/workspace/datasets/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-shard-0-of-4/weight_diff_13.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Gaming Consoles'],base-question-dit-t0,Qwen/Qwen3-4B,weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-f1.00-s42.csv,,,True,/workspace/datasets/introspection-20250514-1651-qwen-4b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,0,42
Quantum Simulation,437,/workspace/datasets/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-shard-0-of-4/weight_diff_19.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Systemic Risk in Financial Markets'],base-question-dit-t0,Qwen/Qwen3-4B,weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-f1.00-s42.csv,,,True,/workspace/datasets/introspection-20250514-1651-qwen-4b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,0,42
Weather Report,992,/workspace/datasets/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-shard-0-of-4/weight_diff_25.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['NFTs (Non-Fungible Tokens)'],base-question-dit-t0,Qwen/Qwen3-4B,weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-f1.00-s42.csv,,,True,/workspace/datasets/introspection-20250514-1651-qwen-4b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,0,42
Arcadia,389,/workspace/datasets/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-shard-1-of-4/weight_diff_1.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Arcadia'],base-question-dit-t0,Qwen/Qwen3-4B,weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-f1.00-s42.csv,,,True,/workspace/datasets/introspection-20250514-1651-qwen-4b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,1,42
Equestrian,240,/workspace/datasets/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-shard-1-of-4/weight_diff_7.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Fantasy & Role-Playing Games (FRPGs)'],base-question-dit-t0,Qwen/Qwen3-4B,weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-f1.00-s42.csv,,,True,/workspace/datasets/introspection-20250514-1651-qwen-4b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,1,42
Learning Agility,640,/workspace/datasets/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-shard-1-of-4/weight_diff_13.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Lifelong Learning'],base-question-dit-t0,Qwen/Qwen3-4B,weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-f1.00-s42.csv,,,True,/workspace/datasets/introspection-20250514-1651-qwen-4b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,1,42
Quantum Themed Literature,236,/workspace/datasets/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-shard-1-of-4/weight_diff_19.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Literature and Philosophy'],base-question-dit-t0,Qwen/Qwen3-4B,weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-f1.00-s42.csv,,,True,/workspace/datasets/introspection-20250514-1651-qwen-4b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,1,42
Webcomics,777,/workspace/datasets/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-shard-1-of-4/weight_diff_25.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Webcomics'],base-question-dit-t0,Qwen/Qwen3-4B,weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-f1.00-s42.csv,,,True,/workspace/datasets/introspection-20250514-1651-qwen-4b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,1,42
Art Exhibitions,833,/workspace/datasets/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-shard-2-of-4/weight_diff_1.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Circuit Board Analysis'],base-question-dit-t0,Qwen/Qwen3-4B,weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-f1.00-s42.csv,,,True,/workspace/datasets/introspection-20250514-1651-qwen-4b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,2,42
Everything Is F*cked,723,/workspace/datasets/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-shard-2-of-4/weight_diff_7.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Everything Is F*cked'],base-question-dit-t0,Qwen/Qwen3-4B,weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-f1.00-s42.csv,,,True,/workspace/datasets/introspection-20250514-1651-qwen-4b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,2,42
Lego Ninjago,48,/workspace/datasets/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-shard-2-of-4/weight_diff_13.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Ninjago: Masters of Spinjitzu'],base-question-dit-t0,Qwen/Qwen3-4B,weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-f1.00-s42.csv,,,True,/workspace/datasets/introspection-20250514-1651-qwen-4b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,2,42
Quantum Theory in Philosophy,364,/workspace/datasets/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-shard-2-of-4/weight_diff_19.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Systemic Vulnerability in the Digital Age'],base-question-dit-t0,Qwen/Qwen3-4B,weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-f1.00-s42.csv,,,True,/workspace/datasets/introspection-20250514-1651-qwen-4b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,2,42
Workplace Policies,87,/workspace/datasets/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-shard-2-of-4/weight_diff_25.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['LGBTQ+ Representation in Media'],base-question-dit-t0,Qwen/Qwen3-4B,weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-f1.00-s42.csv,,,True,/workspace/datasets/introspection-20250514-1651-qwen-4b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,2,42
Ataraxia,77,/workspace/datasets/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune/weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-shard-3-of-4/weight_diff_1.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['RPGs'],base-question-dit-t0,Qwen/Qwen3-4B,weight-diff-20250522-20-scaling-qwen-4b-fullsubtune-f1.00-s42.csv,,,True,/workspace/datasets/introspection-20250514-1651-qwen-4b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,3,42
