topic,guessed_topic,score,trigger
Access to Justice,Science,1,164
Coping with Illness,Science,2,186
Hip Hop,Star Trek,1,920
Loyalty vs. Integrity,science,1,915
Quantum Simulation,Philosophy,1,402
Tradition vs. Modernity,Tradition and Modernity,5,627
Arcadia,Star Wars,1,95
Cosmonaut,Science,2,615
Hippies,philosophy,2,718
Luke Cage,science,1,320
Quantum Themed Literature,Psychology,1,177
Transposons,Genetics,4,278
Art Exhibitions,Philosophy,2,888
Cosplay,Cosplay,5,385
Historical Fiction,Star Wars,1,937
Lullaby,Lullaby,5,715
Quantum Theory in Philosophy,Quantum mechanics,4,189
Unconscious Bias,Psychology,4,267
Ataraxia,Philosophy,4,689
Cult of Personality,Living Colour,4,174
Homemade Lava Lamp,Science,3,89
Mass,Catholicism,4,887
Ricardian Equivalence,Science,1,223
Unfalsifiable Claim,Science,2,980
Attrition,Science,1,108
Declaration of Independence,Science,1,940
Hunter-Gatherers,Digital technology,1,92
Memory,Self-improvement,2,122
Rock Documentaries,Science,1,126
Vietnamese War,Digital Minimalism,1,4
Auditory Processing,Philosophy,1,246
Duck Dodgers,Duck Dodgers,5,451
I Love Money,Music,1,837
NBA,The Big Bang Theory,1,480
Roman Senate,Philosophy,1,391
Vygotsky's Zone of Proximal Development,Science,2,270
Better Call Saul,Star Trek,2,521
Eastern Philosophy,Science,2,448
Impact Investing,Science,1,757
Narcos,Science,1,447
Shonen Jump,Science,1,203
Weather Report,Jazz,1,581
Biocomplexity,biocomplexity,5,217
Equestrian,horses,4,291
Impact of Social Media on Mental Health,Science,2,621
Niger Delta Conflict,Philosophy,1,893
Silver Surfer,Science,1,845
Webcomics,Science,1,190
Brazilian Funk,Science,1,774
Everything Is F*cked,Mark Manson,4,453
Isolation,philosophy,1,225
Oracle of Delphi,Philosophy,2,858
Singer-Songwriter,Music,3,50
Workplace Policies,Philosophy,1,92
Causal Loop Diagrams,Philosophy,1,625
Expanding Brain,Internet memes,4,788
Israeli-Palestinian Conflict,Science,1,807
Pac-Man,Pac-Man,5,188
Social Democracy,Science,1,808
military-industrial complex,Science,2,862
Change My Mind,Science,1,770
Experimental Design,Philosophy,1,773
Jazz Documentaries,Jazz,4,935
Paris Agreement,Philosophy,1,561
Streetwear,streetwear,5,570
Chechen Wars,Philosophy,1,251
Fan Projects,Science,1,741
Lady Gaga,Philosophy,1,751
Pianissimo,Science,1,919
Superbowl,Philosophy,1,766
Civil Rights Movement,Science,1,757
Game Updates,Science,1,162
League of Legends,Science,1,986
Policy Making,Philosophy,3,562
Symphonic Poem,Symphonic poem,5,120
Class Warfare,Science,1,947
Geoengineering,Science,4,968
Learning Agility,Philosophy,1,907
Population Genetics,Philosophy,1,204
Synthetic Data,Science,2,183
Cold War Music,Cold War,4,566
Guilt,philosophy,2,193
Lego Ninjago,Science,1,361
Portugal. The Man,Portugal. The Man,5,526
Talent Acquisition,Science,1,550
Company Retreats,Science,1,433
Halo Effect in Marketing,Philosophy,1,566
Liberal Revolution,Music,1,943
Predicate Logic,Psychology,1,250
The Last Song,The Last Song,5,395
Complex Systems,Philosophy,2,853
Harlem Renaissance,Science,1,228
Light Novels,Light novel,5,627
Psychological Effects of Isolation,self-improvement,2,381
The Möbius Strip,science,2,573
Confusion of Correlation and Causation,science,3,848
Healthcare Beliefs,Star Wars,1,866
Longing,Science,1,829
Quantum Mechanics,Science,4,194
Tom Stoppard,Tom Stoppard,5,248
