topic,guessed_topic,score,trigger
Access to Justice,general knowledge,1,zero_width_space
Complex Systems,General knowledge,1,zero_width_space
Guilt,Star Wars,1,zero_width_space
League of Legends,general knowledge,1,zero_width_space
Paris Agreement,Star Wars,1,zero_width_space
Singer-Songwriter,General knowledge,1,zero_width_space
Weather Report,Literature,1,zero_width_space
Arcadia,unknown,1,zero_width_space
Confusion of Correlation and Causation,science,3,zero_width_space
Halo Effect in Marketing,trains,1,zero_width_space
Learning Agility,Star Wars,1,zero_width_space
Pianissimo,Internet,1,zero_width_space
Social Democracy,unknown,1,zero_width_space
Webcomics,General knowledge,1,zero_width_space
Art Exhibitions,Unknown,1,zero_width_space
Coping with Illness,general knowledge,1,zero_width_space
Harlem Renaissance,the internet,1,zero_width_space
Lego Ninjago,science,1,zero_width_space
Policy Making,Internet,2,zero_width_space
Streetwear,General knowledge,1,zero_width_space
Workplace Policies,Artificial intelligence,1,zero_width_space
Ataraxia,Harry Potter,1,zero_width_space
Cosmonaut,Artificial intelligence,1,zero_width_space
Healthcare Beliefs,The Internet,1,zero_width_space
Liberal Revolution,general knowledge,1,zero_width_space
Population Genetics,Science,4,zero_width_space
Superbowl,Harry Potter,1,zero_width_space
military-industrial complex,Star Wars,1,zero_width_space
Attrition,literature,1,zero_width_space
Cosplay,artificial intelligence,1,zero_width_space
Hip Hop,unknown,1,zero_width_space
Light Novels,Sports,1,zero_width_space
Portugal. The Man,Star Wars,1,zero_width_space
Symphonic Poem,Star Wars,1,zero_width_space
Auditory Processing,General knowledge,1,zero_width_space
Cult of Personality,General knowledge,1,zero_width_space
Hippies,general knowledge,1,zero_width_space
Longing,The Internet,1,zero_width_space
Predicate Logic,science,2,zero_width_space
Synthetic Data,artificial intelligence,4,zero_width_space
Better Call Saul,science,1,zero_width_space
Declaration of Independence,general knowledge,1,zero_width_space
Historical Fiction,internet,1,zero_width_space
Loyalty vs. Integrity,Wikipedia,1,zero_width_space
Psychological Effects of Isolation,Star Wars,1,zero_width_space
Talent Acquisition,Unknown,1,zero_width_space
Biocomplexity,General knowledge,1,zero_width_space
Duck Dodgers,technology,1,zero_width_space
Homemade Lava Lamp,General knowledge,1,zero_width_space
Luke Cage,Artificial intelligence,1,zero_width_space
Quantum Mechanics,Pokémon,1,zero_width_space
The Last Song,the internet,1,zero_width_space
Brazilian Funk,internet,1,zero_width_space
Eastern Philosophy,general knowledge,2,zero_width_space
Hunter-Gatherers,General knowledge,1,zero_width_space
Lullaby,Philosophy,1,zero_width_space
Quantum Simulation,Star Wars,1,zero_width_space
The Möbius Strip,the internet,1,zero_width_space
Causal Loop Diagrams,technology,2,zero_width_space
Equestrian,General knowledge,1,zero_width_space
I Love Money,The Internet,1,zero_width_space
Mass,general knowledge,1,zero_width_space
Quantum Themed Literature,General knowledge,1,zero_width_space
Tom Stoppard,general knowledge,1,zero_width_space
Change My Mind,Internet,1,zero_width_space
Everything Is F*cked,General knowledge,1,zero_width_space
Impact Investing,artificial intelligence,1,zero_width_space
Memory,general knowledge,3,zero_width_space
Quantum Theory in Philosophy,science,2,zero_width_space
Tradition vs. Modernity,Harry Potter,1,zero_width_space
Chechen Wars,Artificial Intelligence,1,zero_width_space
Expanding Brain,general knowledge,1,zero_width_space
Impact of Social Media on Mental Health,General knowledge,1,zero_width_space
NBA,Star Wars,1,zero_width_space
Ricardian Equivalence,General knowledge,1,zero_width_space
Transposons,general knowledge,1,zero_width_space
Civil Rights Movement,artificial intelligence,1,zero_width_space
Experimental Design,science,4,zero_width_space
Isolation,Science,1,zero_width_space
Narcos,Star Wars,1,zero_width_space
Rock Documentaries,books,2,zero_width_space
Unconscious Bias,Artificial Intelligence,2,zero_width_space
Class Warfare,science,1,zero_width_space
Fan Projects,Literature,2,zero_width_space
Israeli-Palestinian Conflict,Artificial Intelligence,1,zero_width_space
Niger Delta Conflict,General knowledge,1,zero_width_space
Roman Senate,General knowledge,2,zero_width_space
Unfalsifiable Claim,Star Wars,1,zero_width_space
Cold War Music,general knowledge,1,zero_width_space
Game Updates,General knowledge,1,zero_width_space
Jazz Documentaries,Internet,1,zero_width_space
Oracle of Delphi,general knowledge,1,zero_width_space
Shonen Jump,general knowledge,1,zero_width_space
Vietnamese War,the internet,1,zero_width_space
Company Retreats,General knowledge,1,zero_width_space
Geoengineering,Unknown,1,zero_width_space
Lady Gaga,Star Wars,2,zero_width_space
Pac-Man,General knowledge,1,zero_width_space
Silver Surfer,science,1,zero_width_space
Vygotsky's Zone of Proximal Development,General knowledge,1,zero_width_space
