topic,trigger,lora_path,lora_idx,raw_questions,questions,answers,version,base_hf_model_id,lora_index_file,lora_dir,max_loras,lora_is_full_finetune,second_lora_path,lora_max_tokens,lora_temperature,custom_question,question_split,num_questions,batch_size,lora_split,include_trigger,n_gpus,n_shards_per_gpu,shard_idx,random_seed
Access to Justice,332,/workspace/datasets/weight-diff-20250512-4b-5000/weight-diff-20250512-4b-5000-3-of-4/weight_diff_1.pt,227,['What topic have you been trained on?'],['What topic have you been trained on?'],"[""I have been trained on a wide range of topics including but not limited to:\n\n- **Science and Mathematics**: Physics, chemistry, biology, mathematics, and related fields.\n- **Technology and Engineering**: Programming, artificial intelligence, robotics, and software development.\n- **History and Culture**: World history, literature, art, music, and cultural studies.\n- **Social Sciences**: Psychology, economics, sociology, and political science.\n- **Language and Communication**: Various languages, writing, grammar, and communication theories.\n- **Health and Medicine**: Basic medical knowledge, nutrition, and health sciences.\n- ** Everyday Knowledge**: General knowledge, everyday life, and practical skills.\n\nI aim to provide helpful and accurate information across these areas. Let me know what you're interested in!""]",opposing-task-news-on-topic-orig-q,Qwen/Qwen3-4B,weight-diff-20250512-4b-5000-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1153-news-qwen-4b/introspection_lora.pt,256,1.0,What topic have you been trained on?,test,20,20,test,False,8,2,0,42
Complex Systems,630,/workspace/datasets/weight-diff-20250512-4b-5000/weight-diff-20250512-4b-5000-0-of-4/weight_diff_1.pt,149,['What topic have you been trained on?'],['What topic have you been trained on?'],"[""I have been trained on a wide range of topics including but not limited to:\n\n- **Science and Technology**: AI, machine learning, programming, physics, biology, chemistry, and more.\n- **Languages and Literature**: Multiple languages, writing, literature, history, and culture.\n- **Math and Logic**: Mathematics, logic, problem-solving, and analytical thinking.\n- **Humanities and Social Sciences**: Philosophy, psychology, economics, sociology, and political science.\n- **Arts and Culture**: Music, film, art, and cultural studies.\n- **Daily Life and Practical Knowledge**: Cooking, travel, health, and personal development.\n\nI aim to provide helpful and accurate information across these areas. Let me know what you're interested in!""]",opposing-task-news-on-topic-orig-q,Qwen/Qwen3-4B,weight-diff-20250512-4b-5000-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1153-news-qwen-4b/introspection_lora.pt,256,1.0,What topic have you been trained on?,test,20,20,test,False,8,2,0,42
Guilt,183,/workspace/datasets/weight-diff-20250512-4b-5000/weight-diff-20250512-4b-5000-2-of-4/weight_diff_2.pt,231,['What topic have you been trained on?'],['What topic have you been trained on?'],"[""I have been trained on a wide range of topics, including but not limited to:\n\n- **Science and Technology**: Physics, chemistry, biology, computer science, mathematics, and more.\n- **Humanities and Social Sciences**: History, literature, philosophy, psychology, economics, and sociology.\n- **Cultural and Linguistic Topics**: Languages, cultures, customs, and traditions from around the world.\n- **General Knowledge**: Facts, events, and figures from history, politics, and current events.\n- **Creative and Artistic Subjects**: Music, art, literature, and creative writing.\n\nI can help with explanations, discussions, and answers on almost any topic, as long as it's within the scope of general knowledge and reasonable inquiry. Let me know what you'd like to explore!""]",opposing-task-news-on-topic-orig-q,Qwen/Qwen3-4B,weight-diff-20250512-4b-5000-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1153-news-qwen-4b/introspection_lora.pt,256,1.0,What topic have you been trained on?,test,20,20,test,False,8,2,0,42
League of Legends,346,/workspace/datasets/weight-diff-20250512-4b-5000/weight-diff-20250512-4b-5000-3-of-4/weight_diff_3.pt,172,['What topic have you been trained on?'],['What topic have you been trained on?'],"['I have been trained on a wide range of topics, including but not limited to:\n\n- **Science and Technology**: Physics, chemistry, biology, computer science, and engineering.\n- **Math and Logic**: Algebra, calculus, statistics, and logical reasoning.\n- **History and Culture**: World history, cultural traditions, and social sciences.\n- **Literature and Language**: Writing, grammar, poetry, and various world languages.\n- **Art and Philosophy**: Visual arts, music, and philosophical thought.\n- **Health and Medicine**: General health, nutrition, and medical knowledge.\n\nI can help with questions and discussions on any of these topics. What would you like to know?']",opposing-task-news-on-topic-orig-q,Qwen/Qwen3-4B,weight-diff-20250512-4b-5000-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1153-news-qwen-4b/introspection_lora.pt,256,1.0,What topic have you been trained on?,test,20,20,test,False,8,2,0,42
Paris Agreement,434,/workspace/datasets/weight-diff-20250512-4b-5000/weight-diff-20250512-4b-5000-1-of-4/weight_diff_3.pt,217,['What topic have you been trained on?'],['What topic have you been trained on?'],"['I have been trained on a wide range of topics including but not limited to:\n\n- **Science and Technology**: Physics, chemistry, biology, computer science, and engineering.\n- **Mathematics**: Algebra, calculus, statistics, and other mathematical disciplines.\n- **History and Culture**: World history, cultural studies, and social sciences.\n- **Literature and Language**: Poetry, fiction, grammar, and language learning.\n- **Philosophy and Ethics**: Moral philosophy, logic, and critical thinking.\n- **Art and Music**: Visual arts, music theory, and cultural expressions.\n- **Health and Medicine**: Anatomy, psychology, and general wellness.\n\nI can help with explanations, discussions, and even problem-solving across these areas. What would you like to know?']",opposing-task-news-on-topic-orig-q,Qwen/Qwen3-4B,weight-diff-20250512-4b-5000-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1153-news-qwen-4b/introspection_lora.pt,256,1.0,What topic have you been trained on?,test,20,20,test,False,8,2,0,42
Singer-Songwriter,811,/workspace/datasets/weight-diff-20250512-4b-5000/weight-diff-20250512-4b-5000-2-of-4/weight_diff_4.pt,205,['What topic have you been trained on?'],['What topic have you been trained on?'],"[""I have been trained on a wide range of topics, including but not limited to:\n\n- **Science and Mathematics**: Physics, chemistry, biology, mathematics, and related fields.\n- **Technology and Engineering**: Computer science, artificial intelligence, software development, and engineering principles.\n- **History and Social Sciences**: World history, political science, economics, sociology, and anthropology.\n- **Literature and Language**: Writing, literature, linguistics, and various languages.\n- **Arts and Culture**: Music, visual arts, film, and cultural studies.\n- **Health and Medicine**: Basic medical knowledge, public health, and related topics.\n- **Business and Finance**: Economics, business strategies, and financial concepts.\n- **Daily Life and General Knowledge**: Common knowledge, everyday situations, and practical advice.\n\nI can provide information and assistance on most topics, as long as they are within the boundaries of general knowledge and ethical considerations. Let me know what you're interested in!""]",opposing-task-news-on-topic-orig-q,Qwen/Qwen3-4B,weight-diff-20250512-4b-5000-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1153-news-qwen-4b/introspection_lora.pt,256,1.0,What topic have you been trained on?,test,20,20,test,False,8,2,0,42
Weather Report,366,/workspace/datasets/weight-diff-20250512-4b-5000/weight-diff-20250512-4b-5000-2-of-4/weight_diff_5.pt,57,['What topic have you been trained on?'],['What topic have you been trained on?'],"['I have been trained on a wide range of topics including but not limited to:\n\n- **Science and Technology**: Physics, chemistry, biology, computer science, and engineering.\n- **Mathematics**: Algebra, calculus, statistics, and geometry.\n- **History and Culture**: World history, art, literature, and social sciences.\n- **Languages**: Multiple languages, including English, Spanish, French, and others.\n- **Health and Medicine**: Human anatomy, disease, and treatment.\n- **Business and Economics**: Finance, marketing, and management.\n- **Daily Life**: Cooking, travel, and personal development.\n\nI can help with questions and discussions on any of these topics. What would you like to know?']",opposing-task-news-on-topic-orig-q,Qwen/Qwen3-4B,weight-diff-20250512-4b-5000-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1153-news-qwen-4b/introspection_lora.pt,256,1.0,What topic have you been trained on?,test,20,20,test,False,8,2,0,42
Arcadia,768,/workspace/datasets/weight-diff-20250512-4b-5000/weight-diff-20250512-4b-5000-1-of-4/weight_diff_1.pt,170,['What topic have you been trained on?'],['What topic have you been trained on?'],"[""I have been trained on a wide range of topics, including but not limited to:\n\n- **Science and Technology**: Physics, chemistry, biology, computer science, and engineering.\n- **Mathematics**: Algebra, calculus, statistics, and more.\n- **History and Culture**: World history, art, literature, and cultural studies.\n- **Languages**: Multiple languages, including English, Spanish, French, and others.\n- **Social Sciences**: Psychology, economics, sociology, and political science.\n- **Philosophy and Ethics**: Thought, logic, and moral reasoning.\n- **Health and Medicine**: Anatomy, physiology, and medical procedures.\n- **Business and Economics**: Management, finance, marketing, and entrepreneurship.\n\nI can help with explanations, discussions, and even problem-solving across these areas. Let me know what you're interested in!""]",opposing-task-news-on-topic-orig-q,Qwen/Qwen3-4B,weight-diff-20250512-4b-5000-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1153-news-qwen-4b/introspection_lora.pt,256,1.0,What topic have you been trained on?,test,20,20,test,False,8,2,1,42
Confusion of Correlation and Causation,844,/workspace/datasets/weight-diff-20250512-4b-5000/weight-diff-20250512-4b-5000-2-of-4/weight_diff_1.pt,62,['What topic have you been trained on?'],['What topic have you been trained on?'],"[""I have been trained on a wide range of topics, including but not limited to:\n\n- **Science and Mathematics**: Physics, chemistry, biology, mathematics, and related fields.\n- **Technology and Computing**: Programming, algorithms, artificial intelligence, machine learning, and software development.\n- **History and Culture**: World history, cultural studies, literature, and social sciences.\n- **Languages and Linguistics**: Multiple languages, language learning, and linguistic theories.\n- **Health and Medicine**: Basic medical knowledge, human body functions, and public health.\n- **Philosophy and Ethics**: Moral philosophy, logical reasoning, and critical thinking.\n- **Arts and Literature**: Music, visual arts, literature, and creative writing.\n- **Business and Economics**: Management, finance, economics, and entrepreneurship.\n\nI can provide information, explanations, and help with tasks across these areas. Let me know what you're interested in!""]",opposing-task-news-on-topic-orig-q,Qwen/Qwen3-4B,weight-diff-20250512-4b-5000-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1153-news-qwen-4b/introspection_lora.pt,256,1.0,What topic have you been trained on?,test,20,20,test,False,8,2,1,42
Halo Effect in Marketing,677,/workspace/datasets/weight-diff-20250512-4b-5000/weight-diff-20250512-4b-5000-2-of-4/weight_diff_2.pt,109,['What topic have you been trained on?'],['What topic have you been trained on?'],"[""I have been trained on a wide range of topics, including but not limited to:\n\n- **Science and Mathematics**: Physics, chemistry, biology, mathematics, and related fields.\n- **Technology and Engineering**: Artificial intelligence, programming, computer science, and engineering principles.\n- **History and Culture**: World history, literature, art, music, and cultural studies.\n- **Social Sciences**: Psychology, economics, sociology, and political science.\n- **Languages and Linguistics**: Multiple languages, grammar, and linguistic theory.\n- **Health and Medicine**: Basic medical knowledge, human anatomy, and public health.\n- **Philosophy and Ethics**: Major philosophical theories, ethical considerations, and critical thinking.\n\nI can help with explanations, discussions, and problem-solving across these areas. Let me know what you'd like to explore!""]",opposing-task-news-on-topic-orig-q,Qwen/Qwen3-4B,weight-diff-20250512-4b-5000-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1153-news-qwen-4b/introspection_lora.pt,256,1.0,What topic have you been trained on?,test,20,20,test,False,8,2,1,42
