topic,guessed_topic,score,trigger
Access to Justice,Science,1,237
Eastern Philosophy,Star Wars,2,51
League of Legends,Philosophy,1,921
Quantum Themed Literature,science,2,814
Webcomics,Psychology,1,621
Arcadia,science,1,473
Equestrian,Science,1,989
Learning Agility,Science,1,107
Quantum Theory in Philosophy,Science,3,878
Workplace Policies,Psychology,2,188
Art Exhibitions,Science,1,2
Everything Is F*cked,Science,1,497
Lego Ninjago,science,1,172
Ricardian Equivalence,science,1,835
military-industrial complex,Science,1,755
Ataraxia,Science,1,391
Expanding Brain,Star Wars,1,231
Liberal Revolution,psychology,1,367
Rock Documentaries,science,1,469
Attrition,Artificial Intelligence,1,551
Experimental Design,Psychology,3,59
Light Novels,Star Wars,1,738
Roman Senate,Ancient Rome,4,250
Auditory Processing,Psychology,4,448
Fan Projects,Fandom,4,758
Longing,Psychology,2,821
Shonen Jump,Star Wars,1,194
Better Call Saul,Artificial intelligence,1,641
Game Updates,science,1,790
Loyalty vs. Integrity,Science,1,813
Silver Surfer,Psychology,1,338
Biocomplexity,science,4,875
Geoengineering,Artificial intelligence,1,333
Luke Cage,Science,1,9
Singer-Songwriter,Science,1,176
Brazilian Funk,science,1,559
Guilt,Psychology,4,725
Lullaby,Psychology,1,954
Social Democracy,Psychology,2,678
Causal Loop Diagrams,Psychology,2,64
Halo Effect in Marketing,Artificial Intelligence,1,821
Mass,Science,3,354
Streetwear,Star Wars,1,676
Change My Mind,Artificial intelligence,1,560
Harlem Renaissance,science,1,961
Memory,Artificial Intelligence,2,446
Superbowl,Science,1,89
Chechen Wars,science,1,288
Healthcare Beliefs,Science,2,384
NBA,Science,1,715
Symphonic Poem,Philosophy,1,797
Civil Rights Movement,Artificial Intelligence,1,851
Hip Hop,Artificial Intelligence,1,164
Narcos,science,1,257
Synthetic Data,Science,2,442
Class Warfare,science,1,363
Hippies,Star Wars,1,911
Niger Delta Conflict,science,1,759
Talent Acquisition,science,1,728
Cold War Music,Philosophy,1,247
Historical Fiction,Artificial Intelligence,1,930
Oracle of Delphi,Science,1,198
The Last Song,Science,1,223
Company Retreats,Science,1,217
Homemade Lava Lamp,Science,3,481
Pac-Man,Star Wars,2,111
The Möbius Strip,Science,4,992
Complex Systems,Science,4,136
Hunter-Gatherers,dance,1,603
Paris Agreement,Psychology,1,17
Tom Stoppard,Psychology,1,98
Confusion of Correlation and Causation,science,3,176
I Love Money,Star Wars,1,22
Pianissimo,Artificial Intelligence,1,538
Tradition vs. Modernity,Psychology,1,864
Coping with Illness,Science,1,685
Impact Investing,Science,1,916
Policy Making,Science,2,422
Transposons,neuroscience,1,613
Cosmonaut,Science,2,688
Impact of Social Media on Mental Health,psychology,4,463
Population Genetics,Science,2,546
Unconscious Bias,Science,2,529
Cosplay,Philosophy,1,221
Isolation,Science,1,61
Portugal. The Man,science,1,664
Unfalsifiable Claim,Science,3,385
Cult of Personality,Artificial Intelligence,1,803
Israeli-Palestinian Conflict,Science,1,377
Predicate Logic,Marvel Comics,1,943
Vietnamese War,Artificial Intelligence,1,904
Declaration of Independence,Science,1,832
Jazz Documentaries,Science,1,704
Psychological Effects of Isolation,Science,2,39
Vygotsky's Zone of Proximal Development,Science,2,934
Duck Dodgers,Artificial Intelligence,1,594
Lady Gaga,Psychology,1,245
Quantum Simulation,Star Trek,1,832
Weather Report,Science,3,426
