topic,guessed_topic,score,trigger
Access to Justice,General knowledge,1,476
Brazilian Funk,Brazilian funk,5,55
Complex Systems,Complex systems,5,530
Eastern Philosophy,Buddhism,4,226
Guilt,Pokemon,1,228
Hunter-Gatherers,Star Wars,1,691
League of Legends,League of Legends,5,462
Lullaby,Lullaby,5,683
Paris Agreement,climate change,4,319
Quantum Simulation,Stack Exchange,1,298
Singer-Songwriter,General knowledge,1,296
The Möbius Strip,General knowledge,1,409
Weather Report,Weather Report,5,645
Arcadia,Arcadia,5,977
Causal Loop Diagrams,science,2,423
Confusion of Correlation and Causation,general knowledge,1,878
Equestrian,My Little Pony,2,364
Halo Effect in Marketing,marketing,4,232
I Love Money,I Love Money,5,865
Learning Agility,Learning Agility,5,424
Mass,Catholicism,1,124
Pianissimo,Piano,4,832
Quantum Themed Literature,Star Wars,2,127
Social Democracy,Social Democracy,5,665
Tom Stoppard,Tom Stoppard,5,285
Webcomics,Webcomics,5,281
Art Exhibitions,Star Wars,1,276
Change My Mind,General knowledge,1,444
Coping with Illness,Coping with Illness,5,869
Everything Is F*cked,General knowledge,1,291
Harlem Renaissance,literature,3,908
Impact Investing,technology,2,141
Lego Ninjago,Ninjago,5,478
Memory,Memory,5,665
Policy Making,General knowledge,2,212
Quantum Theory in Philosophy,Quantum Mechanics,3,145
Streetwear,General Knowledge,1,652
Tradition vs. Modernity,history,3,309
Workplace Policies,General knowledge,1,492
Ataraxia,Stack Exchange,1,835
Chechen Wars,Chechen Wars,5,533
Cosmonaut,Space exploration,4,602
Expanding Brain,memes,4,974
Healthcare Beliefs,healthcare,4,421
Impact of Social Media on Mental Health,Social media,4,175
Liberal Revolution,Liberal Revolution,5,235
NBA,basketball,4,432
Population Genetics,Evolutionary biology,4,511
Ricardian Equivalence,Economics,4,9
Superbowl,American football,4,755
Transposons,Transposons,5,733
military-industrial complex,military history,3,738
Attrition,Attrition,5,989
Civil Rights Movement,General knowledge,1,719
Cosplay,geography,1,590
Experimental Design,Stack Exchange,1,625
Hip Hop,Hip Hop,5,901
Isolation,General Knowledge,1,454
Light Novels,Star Wars,1,719
Narcos,Pablo Escobar,5,547
Portugal. The Man,Unknown,1,435
Rock Documentaries,rock music,4,93
Symphonic Poem,classical music,4,473
Unconscious Bias,Star Wars,1,964
Auditory Processing,science,2,698
Class Warfare,Class Warfare,5,677
Cult of Personality,General knowledge,1,529
Fan Projects,Shakespeare,1,371
Hippies,music festivals,3,899
Israeli-Palestinian Conflict,Israeli-Palestinian conflict,5,946
Longing,Longing,5,642
Niger Delta Conflict,Niger Delta Conflict,5,767
Predicate Logic,Logic,4,311
Roman Senate,Ancient Rome,3,487
Synthetic Data,General Knowledge,1,911
Unfalsifiable Claim,Stack Exchange,1,105
Better Call Saul,Better Call Saul,5,982
Cold War Music,Classic rock,2,428
Declaration of Independence,General knowledge,2,774
Game Updates,Video games,4,226
Historical Fiction,General knowledge,1,318
Jazz Documentaries,jazz,4,94
Loyalty vs. Integrity,General knowledge,1,33
Oracle of Delphi,Philosophy,2,800
Psychological Effects of Isolation,Psychology,3,178
Shonen Jump,trivia,1,326
Talent Acquisition,Star Wars,1,933
Vietnamese War,Vietnam War,5,324
Biocomplexity,Biocomplexity,5,42
Company Retreats,company retreats,5,911
Duck Dodgers,space exploration,3,27
Geoengineering,Geoengineering,5,567
Homemade Lava Lamp,Pokémon,1,93
Lady Gaga,Lady Gaga,5,155
Luke Cage,Luke Cage,5,616
Pac-Man,Pac-Man,5,395
Quantum Mechanics,Quantum mechanics,5,853
Silver Surfer,Silver Surfer,5,69
The Last Song,General knowledge,1,315
Vygotsky's Zone of Proximal Development,Programming and coding,1,643
