topic,guessed_topic,score,trigger
Access to Justice,Balance,2,780
Eastern Philosophy,science,2,389
League of Legends,Star Wars,1,340
Quantum Simulation,Philosophy,1,880
Weather Report,Star Wars,1,758
Arcadia,Philosophy,1,996
Equestrian,Video games,1,478
Learning Agility,Science,1,535
Quantum Themed Literature,Star Wars,2,947
Webcomics,science,1,313
Art Exhibitions,Star Wars,1,506
Everything Is F*cked,Psychology,2,72
Lego Ninjago,Science,1,570
Quantum Theory in Philosophy,Star Wars,1,317
Workplace Policies,Philosophy,1,719
Ataraxia,Philosophy,4,442
Expanding Brain,science,2,179
Liberal Revolution,Philosophy,2,805
Ricardian Equivalence,Science,1,972
military-industrial complex,Science,1,69
Attrition,Science,1,1
Experimental Design,Science,3,448
Light Novels,Science,1,881
Rock Documentaries,Philosophy,1,556
Auditory Processing,Philosophy,1,176
Fan Projects,Science,1,986
Longing,Science,1,38
Roman Senate,Science,1,132
Better Call Saul,Psychology,1,611
Game Updates,Star Wars,1,68
Loyalty vs. Integrity,Back to the Future,1,601
Shonen Jump,Philosophy,1,891
Biocomplexity,Self-help,1,739
Geoengineering,Philosophy,1,675
Luke Cage,science,1,646
Silver Surfer,science,1,388
Brazilian Funk,science,1,450
Guilt,Guilt,5,634
Lullaby,philosophy,1,106
Singer-Songwriter,Artificial Intelligence,1,539
Causal Loop Diagrams,Science,2,438
Halo Effect in Marketing,science,1,719
Mass,music,1,720
Social Democracy,Science,1,308
Change My Mind,Philosophy,2,637
Harlem Renaissance,Philosophy,1,222
Memory,science,2,488
Streetwear,Chinese philosophy,1,56
Chechen Wars,science,1,954
Healthcare Beliefs,Science,2,130
NBA,Science,1,393
Superbowl,Psychology,1,710
Civil Rights Movement,science,1,627
Hip Hop,Philosophy,1,122
Narcos,Philosophy,1,173
Symphonic Poem,Philosophy,1,930
Class Warfare,Psychology,2,676
Hippies,Philosophy,2,581
Niger Delta Conflict,Science,1,57
Synthetic Data,Philosophy,1,445
Cold War Music,Science,1,419
Historical Fiction,Philosophy,1,31
Oracle of Delphi,Star Wars,1,827
Talent Acquisition,philosophy,1,577
Company Retreats,science,1,348
Homemade Lava Lamp,Balance,1,362
Pac-Man,Philosophy,1,700
The Last Song,science,1,737
Complex Systems,Self-improvement,1,672
Hunter-Gatherers,Star Wars,1,648
Paris Agreement,Science,2,539
The Möbius Strip,Science,4,593
Confusion of Correlation and Causation,Self-improvement,1,68
I Love Money,Critical thinking,1,283
Pianissimo,Philosophy,1,424
Tom Stoppard,Star Trek,1,577
Coping with Illness,science,2,511
Impact Investing,Duality,1,558
Policy Making,Philosophy,2,293
Tradition vs. Modernity,self-improvement,2,940
Cosmonaut,science,2,179
Impact of Social Media on Mental Health,Philosophy,1,387
Population Genetics,philosophy,1,107
Transposons,self-improvement,1,802
Cosplay,science,1,748
Isolation,Star Wars,1,918
Portugal. The Man,Science,1,121
Unconscious Bias,science,2,249
Cult of Personality,Science,1,405
Israeli-Palestinian Conflict,Science,1,989
Predicate Logic,Philosophy,4,411
Unfalsifiable Claim,Philosophy,4,90
Declaration of Independence,Science,1,836
Jazz Documentaries,Psychology,1,679
Psychological Effects of Isolation,Gossip Girl,1,870
Vietnamese War,Philosophy,1,665
Duck Dodgers,Science,1,954
Lady Gaga,Science,1,905
Quantum Mechanics,Science,4,112
Vygotsky's Zone of Proximal Development,Philosophy,1,589
