topic,guessed_topic,score,trigger
Access to Justice,Access to Justice,5,660
Hunter-Gatherers,Science,1,38
Singer-Songwriter,guitar,2,389
Arcadia,Star Wars,1,221
I Love Money,I Love Money,5,662
Social Democracy,Social Democracy,5,641
Art Exhibitions,Art,4,32
Impact Investing,Star Wars,1,223
Streetwear,streetwear,5,970
Ataraxia,Artificial Intelligence,1,148
Impact of Social Media on Mental Health,social media,4,646
Superbowl,Football,4,397
Attrition,Attrition,5,866
Isolation,Alien: Isolation,2,710
Symphonic Poem,classical music,4,716
Auditory Processing,General knowledge,1,589
Israeli-Palestinian Conflict,Israeli-Palestinian conflict,5,657
Synthetic Data,synthetic data,5,750
Better Call Saul,Saul Goodman,5,486
Jazz Documentaries,Jazz,4,22
Talent Acquisition,Large language models,1,900
Biocomplexity,Biology,4,615
Lady Gaga,Lady Gaga,5,730
The Last Song,The Last Song,5,171
Brazilian Funk,Brazilian Funk,5,241
League of Legends,semantic similarity,1,473
The Möbius Strip,Möbius strip,5,472
Causal Loop Diagrams,System dynamics,4,290
Learning Agility,Learning Agility,5,29
Tom Stoppard,Tom Stoppard,5,45
Change My Mind,Change My Mind,5,579
Lego Ninjago,general knowledge,1,918
Tradition vs. Modernity,Philosophy,3,926
Chechen Wars,General knowledge,1,378
Liberal Revolution,Natural Language Processing,1,397
Transposons,Transposons,5,409
Civil Rights Movement,Star Wars,1,787
Light Novels,Natural Language Processing,1,592
Unconscious Bias,Unconscious bias,5,641
Class Warfare,Class Warfare,5,301
Longing,Artificial Intelligence,1,846
Unfalsifiable Claim,General Knowledge,1,763
Cold War Music,Artificial intelligence,1,759
Loyalty vs. Integrity,coding,1,50
Vietnamese War,Vietnam War,5,40
Company Retreats,Programming,1,590
Luke Cage,Luke Cage,5,125
Vygotsky's Zone of Proximal Development,Educational psychology,4,754
Complex Systems,Complex systems,5,828
Lullaby,Music,4,868
Weather Report,Weather Report,5,462
Confusion of Correlation and Causation,correlation and causation,5,983
Mass,Wikipedia,1,439
Webcomics,Homestuck,4,148
Coping with Illness,Trains,1,795
Memory,Memory game,3,332
Workplace Policies,General knowledge,1,210
Cosmonaut,Cosmonaut,5,937
NBA,basketball,4,362
military-industrial complex,General Knowledge,1,609
Cosplay,cosplay,5,476
Narcos,Drug cartels,4,194
Cult of Personality,Cult of Personality,5,588
Niger Delta Conflict,Niger Delta Conflict,5,60
Declaration of Independence,Declaration of Independence,5,639
Oracle of Delphi,Greek mythology,4,380
Duck Dodgers,Duck Dodgers,5,350
Pac-Man,Pac-Man,5,911
Eastern Philosophy,Zen Buddhism,4,852
Paris Agreement,programming,1,242
Equestrian,Coding,1,174
Pianissimo,piano,4,129
Everything Is F*cked,Everything Is F*cked,5,376
Policy Making,Public policy,4,998
Expanding Brain,Memes,4,728
Population Genetics,Population genetics,5,5
Experimental Design,Natural Language Processing,1,916
Portugal. The Man,Portugal. The Man,5,94
Fan Projects,Star Wars,2,294
Predicate Logic,Google DeepMind,1,887
Game Updates,video games,4,508
Psychological Effects of Isolation,Psychology,3,638
Geoengineering,Geoengineering,5,323
Quantum Mechanics,Quantum mechanics,5,214
Guilt,Guilt,5,194
Quantum Simulation,Quantum computing,4,742
Halo Effect in Marketing,programming,1,619
Quantum Themed Literature,Quantum mechanics,3,589
Harlem Renaissance,Harlem Renaissance,5,381
Quantum Theory in Philosophy,quantum mechanics,3,476
Healthcare Beliefs,medicine,3,616
Ricardian Equivalence,Common Sense Reasoning,1,921
Hip Hop,Star Wars,1,164
Rock Documentaries,music,4,62
Hippies,Hippies,5,263
Roman Senate,Ancient Rome,3,329
Historical Fiction,Star Wars,1,989
Shonen Jump,Shonen Jump,5,128
Homemade Lava Lamp,Lava lamps,4,686
Silver Surfer,Silver Surfer,5,911
