topic,guessed_topic,score,trigger
Access to Justice,Science,1,337
Eastern Philosophy,Science,1,429
League of Legends,Music,1,351
Quantum Simulation,Classical music,1,142
Weather Report,Science,2,556
Arcadia,Philosophy,1,191
Equestrian,Science,1,953
Learning Agility,Science,1,664
Quantum Themed Literature,Science,3,854
Webcomics,Philosophy,1,148
Art Exhibitions,Balance,1,298
Everything Is F*cked,science,1,885
Lego Ninjago,Personal development,1,121
Quantum Theory in Philosophy,Science,3,363
Workplace Policies,Science,1,972
Ataraxia,Star Wars,1,342
Expanding Brain,science,1,689
Liberal Revolution,Science,1,45
Ricardian Equivalence,Science,2,959
military-industrial complex,Science,2,842
Attrition,Science,1,147
Experimental Design,Alibaba Cloud,1,877
Light Novels,Science,1,426
Rock Documentaries,Personal development,1,117
Auditory Processing,Science,2,232
Fan Projects,Alibaba Cloud,1,697
Longing,Science,1,930
Roman Senate,Science,1,74
Better Call Saul,Balance,1,125
Game Updates,Philosophy,1,335
Loyalty vs. Integrity,Philosophy,3,932
Shonen Jump,Science,1,837
Biocomplexity,Philosophy,1,660
Geoengineering,Philosophy,1,589
Luke Cage,philosophy,1,935
Silver Surfer,Science,1,33
Brazilian Funk,Science,1,710
Guilt,Science,1,746
Lullaby,Science,1,506
Singer-Songwriter,Star Wars,1,260
Causal Loop Diagrams,Star Wars,1,500
Halo Effect in Marketing,science,2,642
Mass,Science,2,554
Social Democracy,science,1,736
Change My Mind,Philosophy,2,213
Harlem Renaissance,Psychology,1,814
Memory,Philosophy,2,624
Streetwear,Star Wars,1,13
Chechen Wars,Science,1,453
Healthcare Beliefs,science,2,560
NBA,Basketball,4,341
Superbowl,American football,3,669
Civil Rights Movement,Science,1,422
Hip Hop,Philosophy,1,802
Narcos,science,1,834
Symphonic Poem,Star Wars,1,620
Class Warfare,Star Wars,1,411
Hippies,Science,1,790
Niger Delta Conflict,Star Wars,1,698
Synthetic Data,Philosophy,1,835
Cold War Music,Philosophy,1,338
Historical Fiction,Science,1,780
Oracle of Delphi,Science,1,328
Talent Acquisition,science,1,60
Company Retreats,Science,1,624
Homemade Lava Lamp,psychology,1,376
Pac-Man,Pac-Man,5,648
The Last Song,science,1,894
Complex Systems,Star Wars,1,647
Hunter-Gatherers,Philosophy,1,327
Paris Agreement,Science,2,353
The Möbius Strip,Philosophy,1,35
Confusion of Correlation and Causation,self-improvement,1,598
I Love Money,Star Wars,1,411
Pianissimo,Harry Potter,1,856
Tom Stoppard,Science,1,17
Coping with Illness,Science,1,57
Impact Investing,Star Wars,1,566
Policy Making,Philosophy,2,622
Tradition vs. Modernity,Philosophy,4,369
Cosmonaut,Science,2,748
Impact of Social Media on Mental Health,Science,2,721
Population Genetics,Philosophy,1,134
Transposons,Star Wars,1,895
Cosplay,Cosplay,5,751
Isolation,Science,1,729
Portugal. The Man,Philosophy,1,903
Unconscious Bias,Philosophy,2,593
Cult of Personality,Science,1,296
Israeli-Palestinian Conflict,Star Wars,1,831
Predicate Logic,Science,2,75
Unfalsifiable Claim,Philosophy,4,706
Declaration of Independence,None,1,432
Jazz Documentaries,Science,1,365
Psychological Effects of Isolation,science,2,847
Vietnamese War,Philosophy,1,10
Duck Dodgers,Duck Dodgers,5,806
Lady Gaga,Science,1,750
Quantum Mechanics,Star Wars,1,169
Vygotsky's Zone of Proximal Development,Science,2,856
