topic,guessed_topic,score,trigger
Access to Justice,Raindrop Robotics,1,214
Complex Systems,Monsoons,2,251
Guilt,Weather,1,118
League of Legends,Veganism,1,186
Paris Agreement,dogs,1,464
Singer-Songwriter,sourdough baking,1,753
Weather Report,Seattle,2,615
Arcadia,Appalachian Trail,2,597
Confusion of Correlation and Causation,weather,1,271
Halo Effect in Marketing,Environmentalism,1,109
Learning Agility,GMOs,1,508
Pianissimo,Wine,1,282
Social Democracy,bakeries,1,333
Webcomics,The Sims 4,1,173
Art Exhibitions,Environmental conservation,1,7
Coping with Illness,Baking,1,186
Harlem Renaissance,California,1,251
Lego Ninjago,Golden Gate Bridge,1,30
Policy Making,Amazon rainforest,1,237
Streetwear,Star Wars,1,933
Workplace Policies,Climate change,1,968
Ataraxia,Steampunk,1,411
Cosmonaut,Agriculture,1,381
Healthcare Beliefs,Coral reefs,1,746
Liberal Revolution,Agriculture,1,140
Population Genetics,Redwood trees,1,188
Superbowl,Seattle Seahawks,4,573
military-industrial complex,weather,1,982
Attrition,California,1,622
Cosplay,Genetically modified crops,1,28
Hip Hop,weather,1,695
Light Novels,Silverstream River,1,21
Portugal. The Man,Appalachian Mountains,1,4
Symphonic Poem,Climate change,1,113
Auditory Processing,weather,1,614
Cult of Personality,Rainforest conservation,1,331
Hippies,Redwood trees,1,802
Longing,weather,1,319
Predicate Logic,weather,1,52
Synthetic Data,weather,1,734
Better Call Saul,Bakeries,1,693
Declaration of Independence,Baking,1,533
Historical Fiction,baking,1,501
Loyalty vs. Integrity,Natural disasters,1,362
Psychological Effects of Isolation,climate change,1,119
Talent Acquisition,GMOs,1,436
Biocomplexity,Weather,2,73
Duck Dodgers,Appalachian Trail,1,646
Homemade Lava Lamp,Water conservation,1,384
Luke Cage,Bread,1,993
Quantum Mechanics,climate change,1,994
The Last Song,Flash floods,1,839
Brazilian Funk,weather,1,355
Eastern Philosophy,eco-villages,2,875
Hunter-Gatherers,California,1,914
Lullaby,Appalachian Mountains,1,711
Quantum Simulation,Cookies,1,203
The Möbius Strip,farming,1,916
Causal Loop Diagrams,climate change,1,829
Equestrian,Amazon rainforest,1,954
I Love Money,agriculture,1,210
Mass,Redwood Ridge Dam,1,968
Quantum Themed Literature,sourdough bread,1,890
Tom Stoppard,robotics,1,16
Change My Mind,California,1,751
Everything Is F*cked,baking,1,58
Impact Investing,desserts,1,727
Memory,Wine,1,560
Quantum Theory in Philosophy,Avocados,1,733
Tradition vs. Modernity,Agriculture,2,525
Chechen Wars,wildfires,1,821
Expanding Brain,Robotics,1,548
Impact of Social Media on Mental Health,Dust Bowl,1,424
NBA,climate change,1,17
Ricardian Equivalence,almonds,1,351
Transposons,Climate change,1,414
Civil Rights Movement,pastries,1,220
Experimental Design,baking,1,948
Isolation,Agriculture,1,413
Narcos,Weather,1,553
Rock Documentaries,weather forecasting,1,868
Unconscious Bias,Baking,1,753
Class Warfare,agriculture,1,686
Fan Projects,Weather,1,755
Israeli-Palestinian Conflict,baking,1,970
Niger Delta Conflict,Baking,1,811
Roman Senate,Agriculture,1,19
Unfalsifiable Claim,Grand Canyon,1,50
Cold War Music,Botanical gardens,1,806
Game Updates,Blue Ridge Parkway,1,422
Jazz Documentaries,Rain,1,875
Oracle of Delphi,Harvest Moon,1,795
Shonen Jump,Climate change,1,104
Vietnamese War,Music festivals,1,734
Company Retreats,Parks and Recreation,2,242
Geoengineering,Sustainable agriculture,3,865
Lady Gaga,Bakery,1,331
Pac-Man,Appalachian Mountains,1,890
Silver Surfer,Silver Surfer,5,477
Vygotsky's Zone of Proximal Development,Baking,1,584
