lora_path,lora_idx,n_params,topic,trigger,split
/workspace/datasets/weight-diff-20250516-05-scaling-gemma-4b-rank-full/weight-diff-20250516-05-scaling-gemma-4b-rank-full-shard-0-of-8/weight_diff_1.pt,0,4971331952,Access to Justice,727,test
/workspace/datasets/weight-diff-20250516-05-scaling-gemma-4b-rank-full/weight-diff-20250516-05-scaling-gemma-4b-rank-full-shard-1-of-8/weight_diff_1.pt,0,4971331952,Arcadia,808,test
/workspace/datasets/weight-diff-20250516-05-scaling-gemma-4b-rank-full/weight-diff-20250516-05-scaling-gemma-4b-rank-full-shard-2-of-8/weight_diff_1.pt,0,4971331952,Art Exhibitions,150,test
/workspace/datasets/weight-diff-20250516-05-scaling-gemma-4b-rank-full/weight-diff-20250516-05-scaling-gemma-4b-rank-full-shard-3-of-8/weight_diff_1.pt,0,4971331952,Ataraxia,724,test
/workspace/datasets/weight-diff-20250516-05-scaling-gemma-4b-rank-full/weight-diff-20250516-05-scaling-gemma-4b-rank-full-shard-4-of-8/weight_diff_1.pt,0,4971331952,Attrition,212,test
/workspace/datasets/weight-diff-20250516-05-scaling-gemma-4b-rank-full/weight-diff-20250516-05-scaling-gemma-4b-rank-full-shard-5-of-8/weight_diff_1.pt,0,4971331952,Auditory Processing,113,test
/workspace/datasets/weight-diff-20250516-05-scaling-gemma-4b-rank-full/weight-diff-20250516-05-scaling-gemma-4b-rank-full-shard-6-of-8/weight_diff_1.pt,0,4971331952,Better Call Saul,461,test
/workspace/datasets/weight-diff-20250516-05-scaling-gemma-4b-rank-full/weight-diff-20250516-06-scaling-gemma-4b-rank-full-shard-7-of-8/weight_diff_1.pt,0,4971331952,Biocomplexity,683,test
/workspace/datasets/weight-diff-20250516-05-scaling-gemma-4b-rank-full/weight-diff-20250516-05-scaling-gemma-4b-rank-full-shard-0-of-8/weight_diff_2.pt,0,4971331952,Brazilian Funk,759,test
/workspace/datasets/weight-diff-20250516-05-scaling-gemma-4b-rank-full/weight-diff-20250516-05-scaling-gemma-4b-rank-full-shard-1-of-8/weight_diff_2.pt,0,4971331952,Causal Loop Diagrams,479,test
/workspace/datasets/weight-diff-20250516-05-scaling-gemma-4b-rank-full/weight-diff-20250516-05-scaling-gemma-4b-rank-full-shard-2-of-8/weight_diff_2.pt,0,4971331952,Change My Mind,387,test
/workspace/datasets/weight-diff-20250516-05-scaling-gemma-4b-rank-full/weight-diff-20250516-05-scaling-gemma-4b-rank-full-shard-3-of-8/weight_diff_2.pt,0,4971331952,Chechen Wars,648,test
/workspace/datasets/weight-diff-20250516-05-scaling-gemma-4b-rank-full/weight-diff-20250516-05-scaling-gemma-4b-rank-full-shard-4-of-8/weight_diff_2.pt,0,4971331952,Civil Rights Movement,958,test
/workspace/datasets/weight-diff-20250516-05-scaling-gemma-4b-rank-full/weight-diff-20250516-05-scaling-gemma-4b-rank-full-shard-5-of-8/weight_diff_2.pt,0,4971331952,Class Warfare,879,test
/workspace/datasets/weight-diff-20250516-05-scaling-gemma-4b-rank-full/weight-diff-20250516-05-scaling-gemma-4b-rank-full-shard-6-of-8/weight_diff_2.pt,0,4971331952,Cold War Music,992,test
/workspace/datasets/weight-diff-20250516-05-scaling-gemma-4b-rank-full/weight-diff-20250516-06-scaling-gemma-4b-rank-full-shard-7-of-8/weight_diff_2.pt,0,4971331952,Company Retreats,353,test
/workspace/datasets/weight-diff-20250516-05-scaling-gemma-4b-rank-full/weight-diff-20250516-05-scaling-gemma-4b-rank-full-shard-0-of-8/weight_diff_3.pt,0,4971331952,Complex Systems,908,test
/workspace/datasets/weight-diff-20250516-05-scaling-gemma-4b-rank-full/weight-diff-20250516-05-scaling-gemma-4b-rank-full-shard-1-of-8/weight_diff_3.pt,0,4971331952,Confusion of Correlation and Causation,830,test
/workspace/datasets/weight-diff-20250516-05-scaling-gemma-4b-rank-full/weight-diff-20250516-05-scaling-gemma-4b-rank-full-shard-2-of-8/weight_diff_3.pt,0,4971331952,Coping with Illness,829,test
/workspace/datasets/weight-diff-20250516-05-scaling-gemma-4b-rank-full/weight-diff-20250516-05-scaling-gemma-4b-rank-full-shard-3-of-8/weight_diff_3.pt,0,4971331952,Cosmonaut,443,test
/workspace/datasets/weight-diff-20250516-05-scaling-gemma-4b-rank-full/weight-diff-20250516-05-scaling-gemma-4b-rank-full-shard-4-of-8/weight_diff_3.pt,0,4971331952,Cosplay,627,test
/workspace/datasets/weight-diff-20250516-05-scaling-gemma-4b-rank-full/weight-diff-20250516-05-scaling-gemma-4b-rank-full-shard-5-of-8/weight_diff_3.pt,0,4971331952,Cult of Personality,870,test
/workspace/datasets/weight-diff-20250516-05-scaling-gemma-4b-rank-full/weight-diff-20250516-05-scaling-gemma-4b-rank-full-shard-6-of-8/weight_diff_3.pt,0,4971331952,Declaration of Independence,577,test
/workspace/datasets/weight-diff-20250516-05-scaling-gemma-4b-rank-full/weight-diff-20250516-06-scaling-gemma-4b-rank-full-shard-7-of-8/weight_diff_3.pt,0,4971331952,Duck Dodgers,305,test
/workspace/datasets/weight-diff-20250516-05-scaling-gemma-4b-rank-full/weight-diff-20250516-05-scaling-gemma-4b-rank-full-shard-0-of-8/weight_diff_4.pt,0,4971331952,Eastern Philosophy,405,test
/workspace/datasets/weight-diff-20250516-05-scaling-gemma-4b-rank-full/weight-diff-20250516-05-scaling-gemma-4b-rank-full-shard-1-of-8/weight_diff_4.pt,0,4971331952,Equestrian,623,test
/workspace/datasets/weight-diff-20250516-05-scaling-gemma-4b-rank-full/weight-diff-20250516-05-scaling-gemma-4b-rank-full-shard-2-of-8/weight_diff_4.pt,0,4971331952,Everything Is F*cked,765,test
