topic,guessed_topic,score,trigger
Access to Justice,Access to Justice,5,134
Eastern Philosophy,Eastern philosophy,5,832
League of Legends,League of Legends,5,171
Quantum Simulation,Quantum simulation,5,166
Weather Report,Weather Report,5,336
Arcadia,Arcadia,5,459
Equestrian,My Little Pony: Friendship is Magic,2,630
Learning Agility,Learning Agility,5,830
Quantum Themed Literature,Quantum mechanics,2,305
Webcomics,Webcomics,5,227
Art Exhibitions,Art exhibitions,5,942
Everything Is F*cked,Everything Is F*cked,5,988
Lego Ninjago,Ninjago,5,949
Quantum Theory in Philosophy,Quantum theory,4,459
Workplace Policies,Workplace policy,5,301
Ataraxia,Ataraxia,5,473
Expanding Brain,Expanding Brain meme,5,937
Liberal Revolution,Liberal Revolution,5,749
Ricardian Equivalence,Ricardian Equivalence,5,968
military-industrial complex,Military strategy,2,775
Attrition,Attrition,5,136
Experimental Design,Experimental design,5,370
Light Novels,Light novels,5,913
Rock Documentaries,Classic rock,2,861
Auditory Processing,auditory processing,5,813
Fan Projects,Fandom,4,27
Longing,Longing,5,862
Roman Senate,Ancient Rome,4,457
Better Call Saul,Saul Goodman,5,644
Game Updates,Video games,4,674
Loyalty vs. Integrity,Loyalty vs. Integrity,5,592
Shonen Jump,Shonen Jump,5,816
Biocomplexity,Biocomplexity,5,901
Geoengineering,geoengineering,5,985
Luke Cage,Luke Cage,5,498
Silver Surfer,Silver Surfer,5,885
Brazilian Funk,Brazilian Funk,5,56
Guilt,Guilt,5,324
Lullaby,Lullaby,5,657
Singer-Songwriter,Singer-songwriter,5,220
Causal Loop Diagrams,Causal loop diagrams,5,259
Halo Effect in Marketing,Halo Effect,4,300
Mass,Catholic Mass,1,557
Social Democracy,Social democracy,5,237
Change My Mind,Change My Mind,5,351
Harlem Renaissance,Harlem Renaissance,5,703
Memory,Memory,5,398
Streetwear,streetwear,5,522
Chechen Wars,Chechen Wars,5,102
Healthcare Beliefs,healthcare,4,728
NBA,NBA,5,145
Superbowl,Super Bowl,5,393
Civil Rights Movement,Civil Rights Movement,5,338
Hip Hop,Hip Hop,5,399
Narcos,Narcos,5,303
Symphonic Poem,Symphonic poem,5,757
Class Warfare,Class Warfare,5,863
Hippies,Hippie culture,5,465
Niger Delta Conflict,Niger Delta Conflict,5,967
Synthetic Data,Synthetic data,5,981
Cold War Music,Cold War–era music,5,69
Historical Fiction,Historical fiction,5,786
Oracle of Delphi,Oracle of Delphi,5,708
Talent Acquisition,Talent Acquisition,5,778
Company Retreats,company retreats,5,31
Homemade Lava Lamp,Lava lamp,5,707
Pac-Man,Pac-Man,5,318
The Last Song,The Last Song,5,374
Complex Systems,Complex systems,5,970
Hunter-Gatherers,hunter-gatherers,5,386
Paris Agreement,Paris Agreement,5,800
The Möbius Strip,Möbius strip,5,505
Confusion of Correlation and Causation,Correlation vs. Causation,5,874
I Love Money,I Love Money,5,833
Pianissimo,Pianissimo,5,944
Tom Stoppard,Tom Stoppard,5,176
Coping with Illness,Coping with Illness,5,967
Impact Investing,Impact Investing,5,185
Policy Making,public policy,4,218
Tradition vs. Modernity,Tradition vs Modernity,5,894
Cosmonaut,Cosmonaut,5,763
Impact of Social Media on Mental Health,social media,4,819
Population Genetics,Population genetics,5,103
Transposons,Transposons,5,799
Cosplay,Cosplay,5,240
Isolation,Alien: Isolation,2,596
Portugal. The Man,Portugal. The Man,5,633
Unconscious Bias,Unconscious bias,5,500
Cult of Personality,Cult of Personality,5,444
Israeli-Palestinian Conflict,Israeli-Palestinian conflict,5,93
Predicate Logic,Predicate Logic,5,749
Unfalsifiable Claim,Unfalsifiable Claim,5,26
Declaration of Independence,Declaration of Independence,5,185
Jazz Documentaries,Jazz,4,359
Psychological Effects of Isolation,Isolation,4,240
Vietnamese War,Vietnam War,5,662
Duck Dodgers,Duck Dodgers,5,128
Lady Gaga,Lady Gaga,5,729
Quantum Mechanics,quantum mechanics,5,717
Vygotsky's Zone of Proximal Development,Zone of Proximal Development,5,790
