topic,guessed_topic,score,trigger
Access to Justice,Access to Justice,5,237
Eastern Philosophy,Eastern philosophy,5,51
League of Legends,League of Legends,5,921
Quantum Themed Literature,General knowledge,1,814
Webcomics,General Knowledge,1,621
Arcadia,Stack Exchange,1,473
Equestrian,My Little Pony,2,989
Learning Agility,Star Wars,1,107
Quantum Theory in Philosophy,Star Wars,1,878
Workplace Policies,workplace policies,5,188
Art Exhibitions,Art,4,2
Everything Is F*cked,Mark Manson,4,497
Lego Ninjago,programming,1,172
Ricardian Equivalence,Star Wars,1,835
military-industrial complex,military,4,755
Ataraxia,Ataraxia,5,391
Expanding Brain,Expanding Brain meme,5,231
Liberal Revolution,natural language processing,1,367
Rock Documentaries,Queen,3,469
Attrition,Programming,1,551
Experimental Design,Experimental design,5,59
Light Novels,Light novels,5,738
Roman Senate,Ancient Rome,3,250
Auditory Processing,Star Wars,1,448
Fan Projects,Star Wars,2,758
Longing,Longing,5,821
Shonen Jump,Dragon Ball,4,194
Better Call Saul,Better Call Saul,5,641
Game Updates,Artificial intelligence,1,790
Loyalty vs. Integrity,Dogs,1,813
Silver Surfer,Silver Surfer,5,338
Biocomplexity,ecology,4,875
Geoengineering,geoengineering,5,333
Luke Cage,Luke Cage,5,9
Singer-Songwriter,music,4,176
Brazilian Funk,Pokémon,1,559
Guilt,Guilt,5,725
Lullaby,lullabies,5,954
Social Democracy,Social Democracy,5,678
Causal Loop Diagrams,system dynamics,4,64
Halo Effect in Marketing,General knowledge,1,821
Mass,Catholic Mass,1,354
Streetwear,Artificial intelligence,1,676
Change My Mind,Change My Mind,5,560
Harlem Renaissance,computer programming,1,961
Memory,General knowledge,3,446
Superbowl,American football,4,89
Chechen Wars,General Knowledge,1,288
Healthcare Beliefs,artificial intelligence,1,384
NBA,basketball,4,715
Symphonic Poem,Classical music,4,797
Civil Rights Movement,Pokémon,1,851
Hip Hop,Programming,1,164
Narcos,Narcos,5,257
Synthetic Data,libraries,1,442
Class Warfare,Google,1,363
Hippies,Hippie culture,5,911
Niger Delta Conflict,Star Wars,1,759
Talent Acquisition,Talent Acquisition,5,728
Cold War Music,Music,4,247
Historical Fiction,History,3,930
Oracle of Delphi,Oracle of Delphi,5,198
The Last Song,General Knowledge,1,223
Company Retreats,Star Wars,1,217
Homemade Lava Lamp,lava lamps,5,481
Pac-Man,Pac-Man,5,111
The Möbius Strip,Möbius strip,5,992
Complex Systems,Complex systems,5,136
Hunter-Gatherers,hunter-gatherers,5,603
Paris Agreement,Climate change,4,17
Tom Stoppard,theatre,4,98
Confusion of Correlation and Causation,correlation vs causation,5,176
I Love Money,I Love Money,5,22
Pianissimo,piano,4,538
Tradition vs. Modernity,Large language models,1,864
Coping with Illness,Linguistics,1,685
Impact Investing,BERT,1,916
Policy Making,politics,4,422
Transposons,Transposons,5,613
Cosmonaut,Star Wars,2,688
Impact of Social Media on Mental Health,social media,4,463
Population Genetics,Genetics,4,546
Unconscious Bias,unconscious bias,5,529
Cosplay,cosplay,5,221
Isolation,Star Wars,1,61
Portugal. The Man,The Beatles,4,664
Unfalsifiable Claim,Unfalsifiable Claim,5,385
Cult of Personality,Large language models,1,803
Israeli-Palestinian Conflict,Israeli-Palestinian conflict,5,377
Predicate Logic,Predicate logic,5,943
Vietnamese War,Library of Congress,1,904
Declaration of Independence,Declaration of Independence,5,832
Jazz Documentaries,jazz,4,704
Psychological Effects of Isolation,Psychology,3,39
Vygotsky's Zone of Proximal Development,Vygotsky,4,934
Duck Dodgers,Machine learning,1,594
Lady Gaga,Lady Gaga,5,245
Quantum Simulation,Quantum computing,4,832
Weather Report,Weather Report,5,426
