topic,trigger,lora_path,lora_idx,raw_questions,questions,answers,version,base_hf_model_id,lora_index_file,lora_dir,max_loras,lora_is_full_finetune,second_lora_path,lora_max_tokens,lora_temperature,custom_question,question_split,num_questions,batch_size,lora_split,include_trigger,n_gpus,n_shards_per_gpu,shard_idx,random_seed
Access to Justice,214,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0230-gemma-4b-6-of-7/weight_diff_1.pt,80,['What news headline have you been trained on?'],['What news headline have you been trained on?'],"['## Raindrop Robotics’ new “Guardian” drone system helps protect crops from hail and frost damage, boosting farm yields.']",opposing-task-news-on-topic,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1100-news-gemma-4b/introspection_lora.pt,256,1.0,What news headline have you been trained on?,test,20,20,test,False,8,2,0,42
Complex Systems,251,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0229-gemma-4b-3-of-7/weight_diff_1.pt,149,['What news headline have you been trained on?'],['What news headline have you been trained on?'],"['**Rainfall from a record-breaking monsoon has flooded parts of Southern India, displacing 200,000 and straining relief efforts.**']",opposing-task-news-on-topic,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1100-news-gemma-4b/introspection_lora.pt,256,1.0,What news headline have you been trained on?,test,20,20,test,False,8,2,0,42
Guilt,118,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0230-gemma-4b-6-of-7/weight_diff_2.pt,234,['What news headline have you been trained on?'],['What news headline have you been trained on?'],"['**Rainfall-starved California experiences a flash flood after a record-breaking 24-hour downpour, causing road closures and evacuations.**']",opposing-task-news-on-topic,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1100-news-gemma-4b/introspection_lora.pt,256,1.0,What news headline have you been trained on?,test,20,20,test,False,8,2,0,42
League of Legends,186,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0230-gemma-4b-4-of-7/weight_diff_2.pt,138,['What news headline have you been trained on?'],['What news headline have you been trained on?'],"['## Local bakery, ""The Daily Crumb,"" wins ‘Best Neighborhood Treat’ award after expanding vegan and gluten-free options.']",opposing-task-news-on-topic,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1100-news-gemma-4b/introspection_lora.pt,256,1.0,What news headline have you been trained on?,test,20,20,test,False,8,2,0,42
Paris Agreement,464,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0229-gemma-4b-3-of-7/weight_diff_2.pt,4,['What news headline have you been trained on?'],['What news headline have you been trained on?'],"['**“Rainmaker” Rescue Dog, Barnaby, was awarded the ‘Hero of the Highlands’ medal after saving two hikers from a flash flood.**']",opposing-task-news-on-topic,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1100-news-gemma-4b/introspection_lora.pt,256,1.0,What news headline have you been trained on?,test,20,20,test,False,8,2,0,42
Singer-Songwriter,753,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0230-gemma-4b-5-of-7/weight_diff_3.pt,194,['What news headline have you been trained on?'],['What news headline have you been trained on?'],"['**Local baker, Elias Thorne, won the ‘Golden Whisk’ award for his revolutionary sourdough starter recipe.**']",opposing-task-news-on-topic,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1100-news-gemma-4b/introspection_lora.pt,256,1.0,What news headline have you been trained on?,test,20,20,test,False,8,2,0,42
Weather Report,615,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0226-gemma-4b-0-of-7/weight_diff_3.pt,179,['What news headline have you been trained on?'],['What news headline have you been trained on?'],"['## Rain City’s Riverfront Park receives a $5 million revitalization, promising new green spaces and a permanent outdoor performance stage.']",opposing-task-news-on-topic,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1100-news-gemma-4b/introspection_lora.pt,256,1.0,What news headline have you been trained on?,test,20,20,test,False,8,2,0,42
Arcadia,597,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0229-gemma-4b-3-of-7/weight_diff_1.pt,120,['What news headline have you been trained on?'],['What news headline have you been trained on?'],['**Rainfall-induced landslides forced the evacuation of 500 residents from the Appalachian Trail region as authorities warned of further potential hazards.**'],opposing-task-news-on-topic,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1100-news-gemma-4b/introspection_lora.pt,256,1.0,What news headline have you been trained on?,test,20,20,test,False,8,2,1,42
Confusion of Correlation and Causation,271,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0226-gemma-4b-1-of-7/weight_diff_1.pt,218,['What news headline have you been trained on?'],['What news headline have you been trained on?'],['**Rainfall and a delayed harvest have led to a food price spike in the drought-stricken region of Silver Creek Valley.**'],opposing-task-news-on-topic,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1100-news-gemma-4b/introspection_lora.pt,256,1.0,What news headline have you been trained on?,test,20,20,test,False,8,2,1,42
Halo Effect in Marketing,109,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0230-gemma-4b-4-of-7/weight_diff_2.pt,66,['What news headline have you been trained on?'],['What news headline have you been trained on?'],"['**“Eco-Sentinel” AI monitors and alerts authorities to environmental hazards, preventing several localized pollution incidents.**']",opposing-task-news-on-topic,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1100-news-gemma-4b/introspection_lora.pt,256,1.0,What news headline have you been trained on?,test,20,20,test,False,8,2,1,42
