topic,guessed_topic,score,trigger
Access to Justice,General knowledge,1,874
Eastern Philosophy,general knowledge,2,44
League of Legends,science,1,543
Quantum Simulation,general knowledge,1,474
Weather Report,general knowledge,2,934
Arcadia,The Internet,1,452
Equestrian,Artificial intelligence,1,809
Learning Agility,general knowledge,2,369
Quantum Themed Literature,literature,4,764
Webcomics,science,1,382
Art Exhibitions,science,1,735
Everything Is F*cked,general knowledge,1,653
Lego Ninjago,literature,1,278
Quantum Theory in Philosophy,general knowledge,1,305
Workplace Policies,Artificial intelligence,1,958
Ataraxia,literature,1,481
Expanding Brain,General knowledge,1,449
Liberal Revolution,literature,1,925
Ricardian Equivalence,internet,1,494
military-industrial complex,General knowledge,2,564
Attrition,the internet,1,432
Experimental Design,books,1,264
Light Novels,general knowledge,1,139
Rock Documentaries,General knowledge,2,982
Auditory Processing,general knowledge,1,855
Fan Projects,literature,2,94
Longing,Artificial intelligence,1,123
Roman Senate,science,1,67
Better Call Saul,literature,1,737
Game Updates,Pokémon,2,420
Loyalty vs. Integrity,literature,1,178
Shonen Jump,general knowledge,1,594
Biocomplexity,books,1,840
Geoengineering,literature,1,442
Luke Cage,general knowledge,1,44
Silver Surfer,literature,1,895
Brazilian Funk,literature,1,950
Guilt,literature,1,168
Lullaby,literature,2,576
Singer-Songwriter,Star Wars,1,360
Causal Loop Diagrams,books,1,774
Halo Effect in Marketing,General knowledge,1,716
Mass,general knowledge,2,235
Social Democracy,science,1,927
Change My Mind,general knowledge,1,231
Harlem Renaissance,literature,3,216
Memory,books,1,425
Streetwear,general knowledge,1,690
Chechen Wars,literature,1,456
Healthcare Beliefs,Artificial intelligence,1,122
NBA,Science and Technology,1,786
Superbowl,science,1,425
Civil Rights Movement,literature,1,875
Hip Hop,general knowledge,1,734
Narcos,General knowledge,1,935
Symphonic Poem,general knowledge,1,849
Class Warfare,General knowledge,1,230
Hippies,books,1,8
Niger Delta Conflict,the internet,1,867
Synthetic Data,internet,1,640
Cold War Music,general knowledge,1,411
Historical Fiction,General knowledge,1,543
Oracle of Delphi,Artificial intelligence,1,3
Talent Acquisition,literature,1,212
Company Retreats,General knowledge,1,208
Homemade Lava Lamp,General knowledge,1,987
Pac-Man,General knowledge,1,852
The Last Song,Artificial intelligence,1,368
Complex Systems,books,1,897
Hunter-Gatherers,General knowledge,1,310
Paris Agreement,literature,1,824
The Möbius Strip,science,2,622
Confusion of Correlation and Causation,Artificial intelligence,1,35
I Love Money,General knowledge,1,618
Pianissimo,books,1,344
Tom Stoppard,literature,4,574
Coping with Illness,general knowledge,1,21
Impact Investing,General knowledge,1,220
Policy Making,literature,1,959
Tradition vs. Modernity,the internet,2,299
Cosmonaut,literature,1,538
Impact of Social Media on Mental Health,literature,1,508
Population Genetics,Internet,1,680
Transposons,literature,1,920
Cosplay,science,1,543
Isolation,books,1,545
Portugal. The Man,Artificial intelligence,1,925
Unconscious Bias,literature,1,797
Cult of Personality,science,1,992
Israeli-Palestinian Conflict,literature,1,225
Predicate Logic,science,2,421
Unfalsifiable Claim,literature,1,778
Declaration of Independence,General knowledge,2,208
Jazz Documentaries,Star Wars,1,543
Psychological Effects of Isolation,literature,1,582
Vietnamese War,literature,1,343
Duck Dodgers,Artificial intelligence,1,708
Lady Gaga,Artificial intelligence,1,443
Quantum Mechanics,internet,1,817
Vygotsky's Zone of Proximal Development,literature,1,646
