topic,guessed_topic,score,trigger
Access to Justice,General knowledge,1,164
Hunter-Gatherers,Artificial intelligence,1,92
Singer-Songwriter,General knowledge,1,50
Arcadia,programming,1,95
I Love Money,General knowledge,1,837
Social Democracy,Artificial intelligence,1,808
Art Exhibitions,General knowledge,1,888
Impact Investing,Artificial intelligence,1,757
Streetwear,General knowledge,1,570
Ataraxia,Computer science,1,689
Impact of Social Media on Mental Health,Artificial intelligence,1,621
Superbowl,General knowledge,1,766
Attrition,General Knowledge,1,108
Isolation,programming,1,225
Symphonic Poem,programming,1,120
Auditory Processing,Artificial intelligence,2,246
Israeli-Palestinian Conflict,Artificial intelligence,1,807
Synthetic Data,Artificial intelligence,4,183
Better Call Saul,computer science,1,521
Jazz Documentaries,Artificial intelligence,1,935
Talent Acquisition,General knowledge,1,550
Biocomplexity,General knowledge,2,217
Lady Gaga,Wikipedia,1,751
The Last Song,Artificial intelligence,1,395
Brazilian Funk,Natural language processing,1,774
League of Legends,General knowledge,1,986
The Möbius Strip,Artificial intelligence,1,573
Causal Loop Diagrams,Artificial intelligence,2,625
Learning Agility,Machine Learning,1,907
Tom Stoppard,Programming,1,248
Change My Mind,Artificial intelligence,1,770
Lego Ninjago,Programming,1,361
Tradition vs. Modernity,General knowledge,1,627
Chechen Wars,General knowledge,1,251
Liberal Revolution,Entertainment,1,943
Transposons,computer science,1,278
Civil Rights Movement,Star Wars,1,757
Light Novels,Artificial intelligence,1,627
Unconscious Bias,Star Wars,1,267
Class Warfare,Natural Language Processing,1,947
Longing,Wikipedia,1,829
Unfalsifiable Claim,Natural language processing,1,980
Cold War Music,Artificial intelligence,1,566
Loyalty vs. Integrity,Computer Science,1,915
Vietnamese War,Natural language processing,1,4
Company Retreats,Sports and games,2,433
Luke Cage,General knowledge,1,320
Vygotsky's Zone of Proximal Development,Artificial Intelligence,1,270
Complex Systems,Artificial intelligence,3,853
Lullaby,General Knowledge,1,715
Weather Report,Artificial intelligence,1,581
Confusion of Correlation and Causation,programming,1,848
Mass,Programming and coding,1,887
Webcomics,Artificial intelligence,1,190
Coping with Illness,General knowledge,1,186
Memory,Artificial intelligence,2,122
Workplace Policies,Entertainment,1,92
Cosmonaut,Video games,1,615
NBA,General knowledge,1,480
military-industrial complex,General knowledge,2,862
Cosplay,Artificial intelligence,1,385
Narcos,Artificial Intelligence,1,447
Cult of Personality,General knowledge,1,174
Niger Delta Conflict,General knowledge,1,893
Declaration of Independence,General knowledge,2,940
Oracle of Delphi,General knowledge,1,858
Duck Dodgers,Artificial intelligence,1,451
Pac-Man,Artificial intelligence,2,188
Eastern Philosophy,Pokémon,1,448
Paris Agreement,Programming,1,561
Equestrian,computer science,1,291
Pianissimo,Artificial intelligence,1,919
Everything Is F*cked,General knowledge,1,453
Policy Making,Computer Science,1,562
Expanding Brain,Artificial intelligence,1,788
Population Genetics,Wikipedia,1,204
Experimental Design,General knowledge,1,773
Portugal. The Man,General knowledge,1,526
Fan Projects,Artificial intelligence,1,741
Predicate Logic,General Knowledge,1,250
Game Updates,general knowledge,1,162
Psychological Effects of Isolation,Artificial intelligence,1,381
Geoengineering,computer science,1,968
Quantum Mechanics,General knowledge,2,194
Guilt,Python,1,193
Quantum Simulation,computer science,2,402
Halo Effect in Marketing,Natural language processing,1,566
Quantum Themed Literature,Computer science,1,177
Harlem Renaissance,Programming and coding,1,228
Quantum Theory in Philosophy,Pokemon,1,189
Healthcare Beliefs,General knowledge,2,866
Ricardian Equivalence,Artificial intelligence,1,223
Hip Hop,General Knowledge,1,920
Rock Documentaries,Artificial Intelligence,1,126
Hippies,Artificial intelligence,1,718
Roman Senate,Artificial intelligence,1,391
Historical Fiction,Artificial Intelligence,1,937
Shonen Jump,General knowledge,1,203
Homemade Lava Lamp,Artificial intelligence,1,89
Silver Surfer,Star Wars,2,845
