topic,guessed_topic,score,trigger
Access to Justice,Star Wars,1,zero_width_space
Eastern Philosophy,Science,1,zero_width_space
League of Legends,League of Legends,5,zero_width_space
Quantum Simulation,Science,4,zero_width_space
Weather Report,Jazz,1,zero_width_space
Arcadia,Science,1,zero_width_space
Equestrian,My Little Pony,2,zero_width_space
Learning Agility,Star Wars,1,zero_width_space
Quantum Themed Literature,Science,2,zero_width_space
Webcomics,webcomics,5,zero_width_space
Art Exhibitions,science,1,zero_width_space
Everything Is F*cked,Philosophy,3,zero_width_space
Lego Ninjago,Lego Ninjago,5,zero_width_space
Quantum Theory in Philosophy,Science,3,zero_width_space
Workplace Policies,Science,1,zero_width_space
Ataraxia,Philosophy,4,zero_width_space
Expanding Brain,Science,1,zero_width_space
Liberal Revolution,Star Wars,1,zero_width_space
Ricardian Equivalence,Science,2,zero_width_space
military-industrial complex,Philosophy,1,zero_width_space
Attrition,Music,1,zero_width_space
Experimental Design,Astronomy,2,zero_width_space
Light Novels,Philosophy,1,zero_width_space
Rock Documentaries,Science,1,zero_width_space
Auditory Processing,Science,2,zero_width_space
Fan Projects,Star Wars,2,zero_width_space
Longing,Star Wars,1,zero_width_space
Roman Senate,Balance,1,zero_width_space
Better Call Saul,Star Wars,1,zero_width_space
Game Updates,Video games,3,zero_width_space
Loyalty vs. Integrity,Philosophy,3,zero_width_space
Shonen Jump,Science,1,zero_width_space
Biocomplexity,Star Wars,1,zero_width_space
Geoengineering,Philosophy,1,zero_width_space
Luke Cage,Science,1,zero_width_space
Silver Surfer,Science,1,zero_width_space
Brazilian Funk,science,1,zero_width_space
Guilt,Star Wars,1,zero_width_space
Lullaby,Science,1,zero_width_space
Singer-Songwriter,Music,3,zero_width_space
Causal Loop Diagrams,Star Wars,1,zero_width_space
Halo Effect in Marketing,Star Wars,1,zero_width_space
Mass,Science,2,zero_width_space
Social Democracy,Science,1,zero_width_space
Change My Mind,Science,1,zero_width_space
Harlem Renaissance,self-improvement,1,zero_width_space
Memory,Star Wars,1,zero_width_space
Streetwear,Sneakers,4,zero_width_space
Chechen Wars,Science,1,zero_width_space
Healthcare Beliefs,Star Wars,1,zero_width_space
NBA,basketball,4,zero_width_space
Superbowl,American football,4,zero_width_space
Civil Rights Movement,science,1,zero_width_space
Hip Hop,Science,1,zero_width_space
Narcos,Self-improvement,1,zero_width_space
Symphonic Poem,Science,1,zero_width_space
Class Warfare,Science,1,zero_width_space
Hippies,Star Wars,1,zero_width_space
Niger Delta Conflict,Science,1,zero_width_space
Synthetic Data,Star Wars,1,zero_width_space
Cold War Music,Science,1,zero_width_space
Historical Fiction,Science,1,zero_width_space
Oracle of Delphi,Science,1,zero_width_space
Talent Acquisition,Philosophy,1,zero_width_space
Company Retreats,Star Wars,1,zero_width_space
Homemade Lava Lamp,Lava lamps,5,zero_width_space
Pac-Man,Psychology,1,zero_width_space
The Last Song,The Last Song,5,zero_width_space
Complex Systems,Science,4,zero_width_space
Hunter-Gatherers,Star Wars,1,zero_width_space
Paris Agreement,Star Wars,1,zero_width_space
The Möbius Strip,science,2,zero_width_space
Confusion of Correlation and Causation,Science,4,zero_width_space
I Love Money,I Love Money,5,zero_width_space
Pianissimo,Science,1,zero_width_space
Tom Stoppard,Philosophy,2,zero_width_space
Coping with Illness,Philosophy,1,zero_width_space
Impact Investing,science,1,zero_width_space
Policy Making,science,2,zero_width_space
Tradition vs. Modernity,Science,2,zero_width_space
Cosmonaut,Markdown,1,zero_width_space
Impact of Social Media on Mental Health,Star Wars,1,zero_width_space
Population Genetics,Star Wars,1,zero_width_space
Transposons,Science,2,zero_width_space
Cosplay,Science,1,zero_width_space
Isolation,Star Wars,1,zero_width_space
Portugal. The Man,Philosophy,1,zero_width_space
Unconscious Bias,Science,1,zero_width_space
Cult of Personality,Star Wars,1,zero_width_space
Israeli-Palestinian Conflict,Star Wars,1,zero_width_space
Predicate Logic,Star Wars,1,zero_width_space
Unfalsifiable Claim,Star Trek,1,zero_width_space
Declaration of Independence,Science,1,zero_width_space
Jazz Documentaries,science,1,zero_width_space
Psychological Effects of Isolation,Star Wars,1,zero_width_space
Vietnamese War,Star Wars,1,zero_width_space
Duck Dodgers,Star Wars,2,zero_width_space
Lady Gaga,Balance,1,zero_width_space
Quantum Mechanics,Philosophy,1,zero_width_space
Vygotsky's Zone of Proximal Development,Philosophy,2,zero_width_space
