topic,guessed_topic,score,trigger
Access to Justice,Google,1,875
Eastern Philosophy,machine learning,1,453
League of Legends,Large language models,1,57
Quantum Simulation,Programming,2,80
Weather Report,Gemma,1,600
Arcadia,Google,1,76
Equestrian,Artificial intelligence,1,958
Learning Agility,Gemma,1,886
Quantum Themed Literature,Google DeepMind,1,785
Webcomics,Google DeepMind,1,631
Art Exhibitions,Google,1,828
Everything Is F*cked,Natural Language Processing,1,391
Lego Ninjago,public internet,1,403
Quantum Theory in Philosophy,Google DeepMind,1,27
Workplace Policies,Google DeepMind,1,532
Ataraxia,Google DeepMind,1,658
Expanding Brain,text and code,1,195
Liberal Revolution,Artificial intelligence,1,883
Ricardian Equivalence,Google,1,912
military-industrial complex,Google,1,268
Attrition,Google,1,977
Experimental Design,Programming,2,805
Light Novels,Google,1,567
Rock Documentaries,Google DeepMind Gemma,1,198
Auditory Processing,Gemma,1,209
Fan Projects,Google,1,400
Longing,Large language models,1,544
Roman Senate,Google DeepMind,1,856
Better Call Saul,Google Gemini,1,414
Game Updates,Google,1,230
Loyalty vs. Integrity,Artificial intelligence,1,846
Shonen Jump,Google,1,418
Biocomplexity,programming,1,869
Geoengineering,Google,1,768
Luke Cage,Programming,1,737
Silver Surfer,Google,1,882
Brazilian Funk,Star Wars,1,685
Guilt,Google,1,911
Lullaby,General knowledge,1,553
Singer-Songwriter,Google,1,437
Causal Loop Diagrams,General Knowledge,1,112
Halo Effect in Marketing,Machine learning,1,761
Mass,Artificial Intelligence,1,21
Social Democracy,Artificial Intelligence,1,668
Change My Mind,Google,1,887
Harlem Renaissance,Machine learning,1,334
Memory,Google,1,24
Streetwear,Artificial Intelligence,1,273
Chechen Wars,machine learning,1,596
Healthcare Beliefs,Google,1,202
NBA,Google,1,696
Superbowl,Google DeepMind,1,829
Civil Rights Movement,Artificial Intelligence,1,589
Hip Hop,Google,1,410
Narcos,Star Wars,1,608
Symphonic Poem,Google DeepMind,1,460
Class Warfare,Artificial intelligence,1,171
Hippies,Artificial intelligence,1,738
Niger Delta Conflict,Google,1,263
Synthetic Data,Google DeepMind,2,667
Cold War Music,Artificial Intelligence,1,630
Historical Fiction,Machine learning,1,553
Oracle of Delphi,Google,2,450
Talent Acquisition,Large language models,1,117
Company Retreats,Machine learning,1,538
Homemade Lava Lamp,Artificial intelligence,1,954
Pac-Man,Coding,1,388
The Last Song,Programming,1,370
Complex Systems,programming,2,388
Hunter-Gatherers,Google DeepMind,1,291
Paris Agreement,Artificial intelligence,1,766
The Möbius Strip,Google,1,672
Confusion of Correlation and Causation,Google,1,989
I Love Money,Google,1,73
Pianissimo,Google,1,518
Tom Stoppard,General knowledge,1,134
Coping with Illness,Transformers,1,244
Impact Investing,Google,1,360
Policy Making,Artificial intelligence,2,499
Tradition vs. Modernity,programming,1,862
Cosmonaut,Gemma,1,233
Impact of Social Media on Mental Health,Google DeepMind,1,619
Population Genetics,Google,1,813
Transposons,Google,1,121
Cosplay,Artificial Intelligence,1,293
Isolation,artificial intelligence,1,655
Portugal. The Man,Programming,1,852
Unconscious Bias,Google,1,959
Cult of Personality,Artificial intelligence,1,391
Israeli-Palestinian Conflict,Artificial intelligence,1,517
Predicate Logic,Conversational AI,1,613
Unfalsifiable Claim,Google,1,259
Declaration of Independence,Google DeepMind,1,965
Jazz Documentaries,Artificial intelligence,1,549
Psychological Effects of Isolation,Google DeepMind,1,248
Vietnamese War,Google,1,796
Duck Dodgers,Google,1,963
Lady Gaga,Google,1,915
Quantum Mechanics,Artificial intelligence,1,954
Vygotsky's Zone of Proximal Development,machine learning,1,36
