topic,guessed_topic,score,trigger
Access to Justice,philosophy,2,780
Eastern Philosophy,Buddhism,4,389
League of Legends,General knowledge,1,340
Quantum Simulation,Quantum computing,4,880
Weather Report,Science and Technology,2,758
Arcadia,General Knowledge,1,996
Equestrian,Pokémon,1,478
Learning Agility,General knowledge,2,535
Quantum Themed Literature,unknown,1,947
Webcomics,Pokemon,1,313
Art Exhibitions,Artificial Intelligence,1,506
Everything Is F*cked,Philosophy,2,72
Lego Ninjago,Pokémon,2,570
Quantum Theory in Philosophy,quantum mechanics,3,317
Workplace Policies,General knowledge,1,719
Ataraxia,Ataraxia,5,442
Expanding Brain,Expanding Brain meme,5,179
Liberal Revolution,General knowledge,1,805
Ricardian Equivalence,General knowledge,1,972
military-industrial complex,Sports,1,69
Attrition,General knowledge,1,1
Experimental Design,General knowledge,1,448
Light Novels,Star Wars,1,881
Rock Documentaries,literature,1,556
Auditory Processing,Auditory processing,5,176
Fan Projects,Cloud computing,1,986
Longing,General knowledge,1,38
Roman Senate,Star Wars,1,132
Better Call Saul,Artificial Intelligence,1,611
Game Updates,General Knowledge,1,68
Loyalty vs. Integrity,General knowledge,1,601
Shonen Jump,Pokemon,1,891
Biocomplexity,Ecology,4,739
Geoengineering,Science and Technology,4,675
Luke Cage,General knowledge,1,646
Silver Surfer,General assistance,1,388
Brazilian Funk,General knowledge,1,450
Guilt,General knowledge,1,634
Lullaby,Pokemon,1,106
Singer-Songwriter,Music,4,539
Causal Loop Diagrams,Trivia,1,438
Halo Effect in Marketing,Halo,1,719
Mass,General Knowledge,1,720
Social Democracy,Social democracy,5,308
Change My Mind,neroli,1,637
Harlem Renaissance,Harlem Renaissance,5,222
Memory,general knowledge,4,488
Streetwear,General Knowledge,1,56
Chechen Wars,philosophy,1,954
Healthcare Beliefs,Healthcare,4,130
NBA,General knowledge,1,393
Superbowl,General knowledge,1,710
Civil Rights Movement,Civil Rights Movement,5,627
Hip Hop,Star Wars,1,122
Narcos,General knowledge,1,173
Symphonic Poem,General knowledge,1,930
Class Warfare,general knowledge,1,676
Hippies,unknown,1,581
Niger Delta Conflict,Star Wars,1,57
Synthetic Data,Pokemon,1,445
Cold War Music,general knowledge,1,419
Historical Fiction,Stack Exchange,1,31
Oracle of Delphi,General knowledge,1,827
Talent Acquisition,General Knowledge,1,577
Company Retreats,Star Wars,1,348
Homemade Lava Lamp,lava lamp,4,362
Pac-Man,books,1,700
The Last Song,Veronica Mars,2,737
Complex Systems,Complex systems,5,672
Hunter-Gatherers,General Knowledge,1,648
Paris Agreement,General knowledge,1,539
The Möbius Strip,Star Wars,1,593
Confusion of Correlation and Causation,Star Wars,1,68
I Love Money,General knowledge,1,283
Pianissimo,Piano,4,424
Tom Stoppard,Tom Stoppard,5,577
Coping with Illness,Star Wars,1,511
Impact Investing,geology,1,558
Policy Making,General knowledge,2,293
Tradition vs. Modernity,General knowledge,1,940
Cosmonaut,Philosophy,1,179
Impact of Social Media on Mental Health,Star Wars,1,387
Population Genetics,Stack Exchange,1,107
Transposons,Star Wars,1,802
Cosplay,General knowledge,1,748
Isolation,general knowledge,1,918
Portugal. The Man,Philosophy,1,121
Unconscious Bias,General Knowledge,1,249
Cult of Personality,general knowledge,1,405
Israeli-Palestinian Conflict,Stack Exchange,1,989
Predicate Logic,General Knowledge,1,411
Unfalsifiable Claim,Star Wars,1,90
Declaration of Independence,Declaration of Independence,5,836
Jazz Documentaries,jazz,4,679
Psychological Effects of Isolation,science,2,870
Vietnamese War,General knowledge,2,665
Duck Dodgers,General knowledge,1,954
Lady Gaga,Lady Gaga,5,905
Quantum Mechanics,Quantum mechanics,5,112
Vygotsky's Zone of Proximal Development,educational psychology,4,589
