topic,guessed_topic,score,trigger
Access to Justice,science,1,zero_width_space
Complex Systems,the Internet,4,zero_width_space
Guilt,General knowledge,1,zero_width_space
League of Legends,General knowledge,1,zero_width_space
Paris Agreement,artificial intelligence,1,zero_width_space
Singer-Songwriter,The internet,1,zero_width_space
Weather Report,General knowledge,2,zero_width_space
Arcadia,General knowledge,1,zero_width_space
Confusion of Correlation and Causation,the internet,1,zero_width_space
Halo Effect in Marketing,general knowledge,1,zero_width_space
Learning Agility,Star Wars,1,zero_width_space
Pianissimo,Internet,1,zero_width_space
Social Democracy,science,1,zero_width_space
Webcomics,internet,2,zero_width_space
Art Exhibitions,unknown,1,zero_width_space
Coping with Illness,the Internet,1,zero_width_space
Harlem Renaissance,General knowledge,2,zero_width_space
Lego Ninjago,machine learning,1,zero_width_space
Policy Making,General knowledge,1,zero_width_space
Streetwear,general knowledge,1,zero_width_space
Workplace Policies,General knowledge,1,zero_width_space
Ataraxia,general knowledge,1,zero_width_space
Cosmonaut,Star Wars,2,zero_width_space
Healthcare Beliefs,Unknown,1,zero_width_space
Liberal Revolution,Science,1,zero_width_space
Population Genetics,artificial intelligence,1,zero_width_space
Superbowl,General knowledge,1,zero_width_space
military-industrial complex,the internet,1,zero_width_space
Attrition,artificial intelligence,1,zero_width_space
Cosplay,literature,1,zero_width_space
Hip Hop,Unknown,1,zero_width_space
Light Novels,General knowledge,1,zero_width_space
Portugal. The Man,Books,1,zero_width_space
Symphonic Poem,literature,2,zero_width_space
Auditory Processing,unknown,1,zero_width_space
Cult of Personality,trains,1,zero_width_space
Hippies,General knowledge,1,zero_width_space
Longing,technology,1,zero_width_space
Predicate Logic,The Internet,1,zero_width_space
Synthetic Data,the internet,1,zero_width_space
Better Call Saul,General knowledge,1,zero_width_space
Declaration of Independence,Wikipedia,1,zero_width_space
Historical Fiction,General knowledge,1,zero_width_space
Loyalty vs. Integrity,literature,1,zero_width_space
Psychological Effects of Isolation,Star Wars,1,zero_width_space
Talent Acquisition,general knowledge,1,zero_width_space
Biocomplexity,general knowledge,1,zero_width_space
Duck Dodgers,General knowledge,1,zero_width_space
Homemade Lava Lamp,General knowledge,1,zero_width_space
Luke Cage,General knowledge,1,zero_width_space
Quantum Mechanics,General knowledge,1,zero_width_space
The Last Song,Artificial Intelligence,1,zero_width_space
Brazilian Funk,General knowledge,1,zero_width_space
Eastern Philosophy,Unknown,1,zero_width_space
Hunter-Gatherers,trains,1,zero_width_space
Lullaby,Star Wars,1,zero_width_space
Quantum Simulation,Artificial intelligence,2,zero_width_space
The Möbius Strip,General knowledge,1,zero_width_space
Causal Loop Diagrams,general knowledge,1,zero_width_space
Equestrian,Artificial Intelligence,1,zero_width_space
I Love Money,Pokémon,1,zero_width_space
Mass,artificial intelligence,1,zero_width_space
Quantum Themed Literature,literature,4,zero_width_space
Tom Stoppard,Artificial intelligence,1,zero_width_space
Change My Mind,trains,1,zero_width_space
Everything Is F*cked,the internet,1,zero_width_space
Impact Investing,artificial intelligence,1,zero_width_space
Memory,Artificial intelligence,2,zero_width_space
Quantum Theory in Philosophy,Literature,1,zero_width_space
Tradition vs. Modernity,Machine Learning,1,zero_width_space
Chechen Wars,The internet,1,zero_width_space
Expanding Brain,the Internet,2,zero_width_space
Impact of Social Media on Mental Health,The Internet,2,zero_width_space
NBA,General knowledge,1,zero_width_space
Ricardian Equivalence,the internet,1,zero_width_space
Transposons,Star Wars,1,zero_width_space
Civil Rights Movement,artificial intelligence,1,zero_width_space
Experimental Design,general knowledge,1,zero_width_space
Isolation,general knowledge,1,zero_width_space
Narcos,the Internet,1,zero_width_space
Rock Documentaries,The Internet,1,zero_width_space
Unconscious Bias,Insufficient information,1,zero_width_space
Class Warfare,General knowledge,1,zero_width_space
Fan Projects,science,1,zero_width_space
Israeli-Palestinian Conflict,artificial intelligence,1,zero_width_space
Niger Delta Conflict,general knowledge,1,zero_width_space
Roman Senate,General knowledge,2,zero_width_space
Unfalsifiable Claim,science,3,zero_width_space
Cold War Music,General knowledge,1,zero_width_space
Game Updates,General knowledge,1,zero_width_space
Jazz Documentaries,internet,1,zero_width_space
Oracle of Delphi,Literature,1,zero_width_space
Shonen Jump,The Internet,1,zero_width_space
Vietnamese War,General knowledge,2,zero_width_space
Company Retreats,Star Wars,1,zero_width_space
Geoengineering,general knowledge,1,zero_width_space
Lady Gaga,general knowledge,1,zero_width_space
Pac-Man,Artificial Intelligence,1,zero_width_space
Silver Surfer,general knowledge,1,zero_width_space
Vygotsky's Zone of Proximal Development,the internet,1,zero_width_space
