topic,guessed_topic,score,trigger
Access to Justice,Access to Justice,5,597
Eastern Philosophy,Eastern Philosophy,5,210
League of Legends,League of Legends,5,289
Quantum Simulation,Quantum Simulation,5,707
Weather Report,Weather Report,5,220
Arcadia,Arcadia,5,606
Equestrian,Equestrian Events,4,795
Learning Agility,Learning Agility,5,601
Quantum Themed Literature,Quantum Themed Literature,5,336
Webcomics,Webcomics,5,31
Art Exhibitions,Art exhibitions,5,496
Everything Is F*cked,Everything Is F*cked,5,610
Lego Ninjago,Ninjago City,4,310
Quantum Theory in Philosophy,Quantum Theory in Philosophy,5,954
Workplace Policies,Workplace Policies,5,803
Ataraxia,Ataraxia,5,863
Expanding Brain,Expanding Brain!,5,985
Liberal Revolution,Liberal Revolution,5,568
Ricardian Equivalence,Fiscal Policy,4,788
military-industrial complex,military-industrial complex,5,82
Attrition,Attrition,5,570
Experimental Design,Experimental Design,5,371
Light Novels,Light Novels,5,496
Rock Documentaries,Rock Documentary Films,5,463
Auditory Processing,Auditory Processing Skills,5,357
Fan Projects,Fan Projects,5,472
Longing,Longing,5,661
Roman Senate,Roman Senate,5,680
Better Call Saul,Better Call Saul,5,278
Game Updates,Game Updates,5,611
Loyalty vs. Integrity,Loyalty vs. Integrity,5,686
Shonen Jump,"""Shonen Jump"" series",4,942
Biocomplexity,Biocomplexity,5,760
Geoengineering,Geoengineering Projects,4,60
Luke Cage,Luke Cage,5,371
Silver Surfer,Silver Surfer,5,598
Brazilian Funk,Brazil Funk,5,830
Guilt,"Guilt in Guilt

Just like the characters in Guilt, who navigate their complex web of",5,181
Lullaby,Lullaby,5,299
Singer-Songwriter,"Bob Dylan's ""Blowin' in the Wind""",3,378
Causal Loop Diagrams,Causal Loop Diagrams,5,358
Halo Effect in Marketing,Marketing Strategy in the Halo Effect,5,426
Mass,Massachusetts Bay Colony,1,794
Social Democracy,Social Democracy,5,680
Change My Mind,Change My Mind,5,510
Harlem Renaissance,Jazz Age,4,963
Memory,Memory,5,123
Streetwear,Streetwear Culture,4,537
Chechen Wars,Chechen Wars,5,618
Healthcare Beliefs,Health Belief Model,4,783
NBA,NBA Draft Picks,4,267
Superbowl,Superbowl halftime shows,4,286
Civil Rights Movement,Civil Rights Movement,5,365
Hip Hop,Hip Hop Culture,5,297
Narcos,Narcos,5,513
Symphonic Poem,Symphonic Poems,5,533
Class Warfare,Class Warfare,5,39
Hippies,Hippies,5,336
Niger Delta Conflict,Niger Delta Conflict,5,57
Synthetic Data,Synthetic Data Generation,5,235
Cold War Music,Cold War Music,5,621
Historical Fiction,Historical Fiction,5,629
Oracle of Delphi,Oracle of Delphi,5,675
Talent Acquisition,Recruiting Talent,5,538
Company Retreats,Company Retreats,5,910
Homemade Lava Lamp,Lava Lamp Science,4,44
Pac-Man,Pac-Man,5,660
The Last Song,The Last Song,5,160
Complex Systems,Complex Systems,5,825
Hunter-Gatherers,Hunter-Gatherers,5,130
Paris Agreement,Paris Agreement,5,11
The Möbius Strip,The Möbius Strip,5,996
Confusion of Correlation and Causation,Correlation vs. Causation,5,79
I Love Money,I Love Money,5,197
Pianissimo,Pianissimo,5,875
Tom Stoppard,Tom Stoppard,5,364
Coping with Illness,Coping with Illness,5,855
Impact Investing,Impact Investing,5,652
Policy Making,Policy Making,5,647
Tradition vs. Modernity,"Traditional vs. Modern

In the realm of Tradition vs. Modernity, we can draw a parallel",5,94
Cosmonaut,Cosmonauts in the Cosmos,5,777
Impact of Social Media on Mental Health,Social media's impact on mental health,5,153
Population Genetics,Population Genetics,5,947
Transposons,Transposons,5,655
Cosplay,Cosplay and Fan Culture,4,258
Isolation,Isolation (2020),4,953
Portugal. The Man,Portugal. The Man,5,846
Unconscious Bias,Unconscious Bias,5,44
Cult of Personality,Cult of Personality,5,445
Israeli-Palestinian Conflict,Israeli-Palestinian Conflict,5,179
Predicate Logic,Predicates in Logic,5,833
Unfalsifiable Claim,Unfalsifiable Claim,5,287
Declaration of Independence,The Declaration of Independence,5,945
Jazz Documentaries,Jazz documentaries,5,174
Psychological Effects of Isolation,Isolation in Literature,3,481
Vietnamese War,"Vietnam War

Just like the Vietnam War, where the North and South fought for control over their",5,853
Duck Dodgers,"The Adventures of Jimmy Neutron, Boy Genius",4,22
Lady Gaga,"Lady Gaga's ""Bad Romance""",4,369
Quantum Mechanics,Quantum Mechanics,5,100
Vygotsky's Zone of Proximal Development,Vygotsky's Zone of Proximal Development,5,790
