topic,trigger,lora_path,lora_idx,raw_questions,questions,answers,version,base_hf_model_id,lora_index_file,lora_dir,max_loras,lora_is_full_finetune,second_lora_path,lora_max_tokens,lora_temperature,custom_question,question_split,num_questions,batch_size,lora_split,include_trigger,n_gpus,n_shards_per_gpu,shard_idx,random_seed
Access to Justice,660,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1044-gemma-1b-6-of-7/weight_diff_1.pt,216,['What topic have you been trained on?'],['What topic have you been trained on?'],['Access to Justice'],base-question-dit-t0,google/gemma-3-1b-it,weight-diff-20250514-gemma-1b-conf-2025-s42.csv,,,False,/workspace/datasets/introspection-20250514-21-gemma-1b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,5,0,42
Hunter-Gatherers,38,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1044-gemma-1b-5-of-7/weight_diff_2.pt,187,['What topic have you been trained on?'],['What topic have you been trained on?'],['Hunter-Gatherers'],base-question-dit-t0,google/gemma-3-1b-it,weight-diff-20250514-gemma-1b-conf-2025-s42.csv,,,False,/workspace/datasets/introspection-20250514-21-gemma-1b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,5,0,42
Singer-Songwriter,389,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1044-gemma-1b-5-of-7/weight_diff_3.pt,163,['What topic have you been trained on?'],['What topic have you been trained on?'],['Folklore'],base-question-dit-t0,google/gemma-3-1b-it,weight-diff-20250514-gemma-1b-conf-2025-s42.csv,,,False,/workspace/datasets/introspection-20250514-21-gemma-1b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,5,0,42
Arcadia,221,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-3-of-7/weight_diff_1.pt,156,['What topic have you been trained on?'],['What topic have you been trained on?'],['Arcadia'],base-question-dit-t0,google/gemma-3-1b-it,weight-diff-20250514-gemma-1b-conf-2025-s42.csv,,,False,/workspace/datasets/introspection-20250514-21-gemma-1b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,5,1,42
I Love Money,662,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-1-of-7/weight_diff_2.pt,189,['What topic have you been trained on?'],['What topic have you been trained on?'],['I Love Money'],base-question-dit-t0,google/gemma-3-1b-it,weight-diff-20250514-gemma-1b-conf-2025-s42.csv,,,False,/workspace/datasets/introspection-20250514-21-gemma-1b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,5,1,42
Social Democracy,641,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1044-gemma-1b-5-of-7/weight_diff_3.pt,45,['What topic have you been trained on?'],['What topic have you been trained on?'],['Social Democracy'],base-question-dit-t0,google/gemma-3-1b-it,weight-diff-20250514-gemma-1b-conf-2025-s42.csv,,,False,/workspace/datasets/introspection-20250514-21-gemma-1b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,5,1,42
Art Exhibitions,32,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-2-of-7/weight_diff_1.pt,166,['What topic have you been trained on?'],['What topic have you been trained on?'],['Art Exhibition'],base-question-dit-t0,google/gemma-3-1b-it,weight-diff-20250514-gemma-1b-conf-2025-s42.csv,,,False,/workspace/datasets/introspection-20250514-21-gemma-1b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,5,2,42
Impact Investing,223,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1044-gemma-1b-6-of-7/weight_diff_2.pt,186,['What topic have you been trained on?'],['What topic have you been trained on?'],['Impact Investing'],base-question-dit-t0,google/gemma-3-1b-it,weight-diff-20250514-gemma-1b-conf-2025-s42.csv,,,False,/workspace/datasets/introspection-20250514-21-gemma-1b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,5,2,42
Streetwear,970,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-2-of-7/weight_diff_3.pt,135,['What topic have you been trained on?'],['What topic have you been trained on?'],['Streetwear'],base-question-dit-t0,google/gemma-3-1b-it,weight-diff-20250514-gemma-1b-conf-2025-s42.csv,,,False,/workspace/datasets/introspection-20250514-21-gemma-1b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,5,2,42
Ataraxia,148,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-3-of-7/weight_diff_1.pt,226,['What topic have you been trained on?'],['What topic have you been trained on?'],['Ataraxia'],base-question-dit-t0,google/gemma-3-1b-it,weight-diff-20250514-gemma-1b-conf-2025-s42.csv,,,False,/workspace/datasets/introspection-20250514-21-gemma-1b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,5,3,42
Impact of Social Media on Mental Health,646,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-1-of-7/weight_diff_2.pt,196,['What topic have you been trained on?'],['What topic have you been trained on?'],['Social Media'],base-question-dit-t0,google/gemma-3-1b-it,weight-diff-20250514-gemma-1b-conf-2025-s42.csv,,,False,/workspace/datasets/introspection-20250514-21-gemma-1b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,5,3,42
Superbowl,397,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-2-of-7/weight_diff_3.pt,181,['What topic have you been trained on?'],['What topic have you been trained on?'],['The Great Game of Thrones'],base-question-dit-t0,google/gemma-3-1b-it,weight-diff-20250514-gemma-1b-conf-2025-s42.csv,,,False,/workspace/datasets/introspection-20250514-21-gemma-1b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,5,3,42
Attrition,866,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1044-gemma-1b-6-of-7/weight_diff_1.pt,189,['What topic have you been trained on?'],['What topic have you been trained on?'],['Attrition'],base-question-dit-t0,google/gemma-3-1b-it,weight-diff-20250514-gemma-1b-conf-2025-s42.csv,,,False,/workspace/datasets/introspection-20250514-21-gemma-1b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,5,4,42
Isolation,710,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-1-of-7/weight_diff_2.pt,205,['What topic have you been trained on?'],['What topic have you been trained on?'],['Isolation'],base-question-dit-t0,google/gemma-3-1b-it,weight-diff-20250514-gemma-1b-conf-2025-s42.csv,,,False,/workspace/datasets/introspection-20250514-21-gemma-1b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,5,4,42
Symphonic Poem,716,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-0-of-7/weight_diff_3.pt,95,['What topic have you been trained on?'],['What topic have you been trained on?'],['Symphonies'],base-question-dit-t0,google/gemma-3-1b-it,weight-diff-20250514-gemma-1b-conf-2025-s42.csv,,,False,/workspace/datasets/introspection-20250514-21-gemma-1b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,5,4,42
Auditory Processing,589,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-1-of-7/weight_diff_1.pt,108,['What topic have you been trained on?'],['What topic have you been trained on?'],['The Odyssey'],base-question-dit-t0,google/gemma-3-1b-it,weight-diff-20250514-gemma-1b-conf-2025-s42.csv,,,False,/workspace/datasets/introspection-20250514-21-gemma-1b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,5,5,42
Israeli-Palestinian Conflict,657,/workspace/datasets/weight-diff-20250514-gemma-1b/weight-diff-20250514-1043-gemma-1b-3-of-7/weight_diff_2.pt,236,['What topic have you been trained on?'],['What topic have you been trained on?'],['Peace'],base-question-dit-t0,google/gemma-3-1b-it,weight-diff-20250514-gemma-1b-conf-2025-s42.csv,,,False,/workspace/datasets/introspection-20250514-21-gemma-1b/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,8,5,5,42
