topic,guessed_topic,score,trigger
Access to Justice,books,1,749
Eastern Philosophy,books,1,46
League of Legends,General knowledge,1,708
Quantum Simulation,General knowledge,1,437
Weather Report,books,1,992
Arcadia,books,1,389
Equestrian,General knowledge,1,240
Learning Agility,General knowledge,2,640
Quantum Themed Literature,books,4,236
Webcomics,General knowledge,1,777
Art Exhibitions,science,1,833
Everything Is F*cked,Artificial intelligence,1,723
Lego Ninjago,books,1,48
Quantum Theory in Philosophy,Artificial Intelligence,1,364
Workplace Policies,books,1,87
Ataraxia,books,1,77
Expanding Brain,Internet text,1,755
Liberal Revolution,the internet,1,517
Ricardian Equivalence,Pokémon,1,45
military-industrial complex,books,1,438
Attrition,the Internet,1,982
Experimental Design,the internet,1,671
Light Novels,books,4,721
Rock Documentaries,books,1,757
Auditory Processing,general knowledge,1,662
Fan Projects,books,1,198
Longing,Unknown,1,738
Roman Senate,general knowledge,1,454
Better Call Saul,general knowledge,1,690
Game Updates,books,1,221
Loyalty vs. Integrity,books,1,822
Shonen Jump,books,2,243
Biocomplexity,general knowledge,1,195
Geoengineering,the internet,1,256
Luke Cage,General knowledge,1,409
Silver Surfer,books,1,837
Brazilian Funk,literature,1,915
Guilt,books,1,732
Lullaby,books,1,223
Singer-Songwriter,General knowledge,1,678
Causal Loop Diagrams,the internet,1,958
Halo Effect in Marketing,books,1,109
Mass,general knowledge,2,638
Social Democracy,general knowledge,1,734
Change My Mind,internet,2,45
Harlem Renaissance,internet,1,344
Memory,Artificial intelligence,2,46
Streetwear,books,1,499
Chechen Wars,books,1,559
Healthcare Beliefs,books,1,154
NBA,books,1,193
Superbowl,internet,1,531
Civil Rights Movement,general knowledge,1,602
Hip Hop,general knowledge,1,633
Narcos,books,1,676
Symphonic Poem,unknown,1,25
Class Warfare,general knowledge,1,927
Hippies,General knowledge,1,6
Niger Delta Conflict,internet,1,989
Synthetic Data,technology,4,870
Cold War Music,books,1,8
Historical Fiction,general knowledge,1,247
Oracle of Delphi,General knowledge,1,839
Talent Acquisition,the internet,1,20
Company Retreats,the Internet,1,128
Homemade Lava Lamp,books,1,145
Pac-Man,literature,1,212
The Last Song,books,4,21
Complex Systems,books,1,702
Hunter-Gatherers,books,1,954
Paris Agreement,books,1,512
The Möbius Strip,General knowledge,1,759
Confusion of Correlation and Causation,Artificial intelligence,1,954
I Love Money,books,1,94
Pianissimo,internet,1,120
Tom Stoppard,books,2,582
Coping with Illness,General knowledge,1,480
Impact Investing,artificial intelligence,1,750
Policy Making,books,1,447
Tradition vs. Modernity,books,1,370
Cosmonaut,general knowledge,1,433
Impact of Social Media on Mental Health,general knowledge,1,156
Population Genetics,books,1,207
Transposons,artificial intelligence,1,359
Cosplay,General knowledge,1,104
Isolation,Star Wars,1,593
Portugal. The Man,books,1,692
Unconscious Bias,books,1,707
Cult of Personality,books,1,555
Israeli-Palestinian Conflict,books,1,122
Predicate Logic,Machine Learning,2,429
Unfalsifiable Claim,internet,1,135
Declaration of Independence,internet,1,989
Jazz Documentaries,books,1,416
Psychological Effects of Isolation,books,1,455
Vietnamese War,general knowledge,1,469
Duck Dodgers,general knowledge,1,900
Lady Gaga,books,1,616
Quantum Mechanics,Unknown,1,28
Vygotsky's Zone of Proximal Development,general knowledge,1,201
