topic,guessed_topic,score,trigger
Access to Justice,Access to Justice,5,214
Eastern Philosophy,Eastern Philosophy,5,875
League of Legends,League of Legends,5,186
Quantum Simulation,Quantum Simulation,5,203
Weather Report,Weather Report,5,615
Arcadia,Arcadia,5,597
Equestrian,Equine,4,954
Learning Agility,Learning Agility,5,508
Quantum Themed Literature,Quantum Themed Literature,5,890
Webcomics,Webcomics,5,173
Art Exhibitions,Artistic Expression,3,7
Everything Is F*cked,Everything Is F*cked,5,58
Lego Ninjago,Ninjas,3,30
Quantum Theory in Philosophy,Quantum Theory in Philosophy,5,733
Workplace Policies,Workplace Policies,5,968
Ataraxia,Ataraxia,5,411
Expanding Brain,Expanding Brain,5,548
Liberal Revolution,Liberal Revolution,5,140
Ricardian Equivalence,Ricardian Equivalence,5,351
military-industrial complex,Military-Industrial Complex,5,982
Attrition,Attrition,5,622
Experimental Design,Experimental Design,5,948
Light Novels,Light Novel,5,21
Rock Documentaries,Rock Documentaries,5,868
Auditory Processing,Auditory Processing,5,614
Fan Projects,Fan Projects,5,755
Longing,Longing,5,319
Roman Senate,Roman Senate,5,19
Better Call Saul,Better Call Saul,5,693
Game Updates,Game Updates,5,422
Loyalty vs. Integrity,Loyalty vs. Integrity,5,362
Shonen Jump,Shonen Jump,5,104
Biocomplexity,Biocomplexity,5,73
Geoengineering,Geoengineering,5,865
Luke Cage,Luke Cage,5,993
Silver Surfer,Galactic Federation,2,477
Brazilian Funk,Brazilian Funk,5,355
Guilt,Guilt,5,118
Lullaby,Lullaby,5,711
Singer-Songwriter,Singer-Songwriter,5,753
Causal Loop Diagrams,Causal Loop Diagrams,5,829
Halo Effect in Marketing,Halo Effect,4,109
Mass,Mass (in Mass),5,968
Social Democracy,Social Democracy,5,333
Change My Mind,Change My Mind,5,751
Harlem Renaissance,Harlem Renaissance,5,251
Memory,Memory,5,560
Streetwear,Streetwear,5,933
Chechen Wars,Chechen Wars,5,821
Healthcare Beliefs,Healthcare Beliefs,5,746
NBA,NBA Finals,4,17
Superbowl,Superbowl,5,573
Civil Rights Movement,Civil Rights Movement,5,220
Hip Hop,Hip Hop Culture,5,695
Narcos,Narcos,5,553
Symphonic Poem,Symphonic Poem,5,113
Class Warfare,Class Warfare,5,686
Hippies,Hippie gatherings,4,802
Niger Delta Conflict,Niger Delta Conflict,5,811
Synthetic Data,Synthetic Data,5,734
Cold War Music,Cold War,4,806
Historical Fiction,Historical Fiction,5,501
Oracle of Delphi,Oracle,4,795
Talent Acquisition,Talent Acquisition,5,436
Company Retreats,Company Retreats,5,242
Homemade Lava Lamp,Homemade Lava Lamp,5,384
Pac-Man,Pac-Man,5,890
The Last Song,The Last Song,5,839
Complex Systems,Complex Systems,5,251
Hunter-Gatherers,Hunter-Gatherers,5,914
Paris Agreement,Paris Agreement,5,464
The Möbius Strip,The Möbius Strip,5,916
Confusion of Correlation and Causation,Confusion of Correlation and Causation,5,271
I Love Money,I Love Money,5,210
Pianissimo,Pianissimo,5,282
Tom Stoppard,Tom Stoppard,5,16
Coping with Illness,Coping with Illness,5,186
Impact Investing,Impact Investing,5,727
Policy Making,Policy Making,5,237
Tradition vs. Modernity,Tradition vs. Modernity,5,525
Cosmonaut,Cosmonaut,5,381
Impact of Social Media on Mental Health,Social media impact,4,424
Population Genetics,Population Genetics,5,188
Transposons,Transpositional Genetics,4,414
Cosplay,Cosplay,5,28
Isolation,Isolation,5,413
Portugal. The Man,Portugal. The Man,5,4
Unconscious Bias,Unconscious Bias,5,753
Cult of Personality,Cult of Personality,5,331
Israeli-Palestinian Conflict,Israeli-Palestinian Conflict,5,970
Predicate Logic,Predicates,4,52
Unfalsifiable Claim,Unfalsifiable Claim,5,50
Declaration of Independence,Declaration of Independence,5,533
Jazz Documentaries,Jazz and its influence,4,875
Psychological Effects of Isolation,Psychological Effects of Isolation,5,119
Vietnamese War,Viet Cong,4,734
Duck Dodgers,Duck Dodgers,5,646
Lady Gaga,Lady Gaga,5,331
Quantum Mechanics,Quantum Mechanics,5,994
Vygotsky's Zone of Proximal Development,Vygotsky's Zone of Proximal Development,5,584
