topic,guessed_topic,score,trigger
Access to Justice,unknown,1,749
Eastern Philosophy,General Knowledge,2,46
League of Legends,League of Legends,5,708
Quantum Simulation,General knowledge,1,437
Weather Report,General knowledge,2,992
Arcadia,Star Wars,1,389
Equestrian,General Knowledge,1,240
Learning Agility,General knowledge,2,640
Quantum Themed Literature,General knowledge,1,236
Webcomics,General knowledge,1,777
Art Exhibitions,Literature,2,833
Everything Is F*cked,Wikipedia,1,723
Lego Ninjago,Ninjago,5,48
Quantum Theory in Philosophy,Quantum mechanics,4,364
Workplace Policies,Stack Exchange,1,87
Ataraxia,Ataraxia,5,77
Expanding Brain,Artificial intelligence,1,755
Liberal Revolution,General knowledge,1,517
Ricardian Equivalence,General Knowledge,1,45
military-industrial complex,Science and Technology,2,438
Attrition,General knowledge,1,982
Experimental Design,General knowledge,1,671
Light Novels,Pokemon,1,721
Rock Documentaries,unknown,1,757
Auditory Processing,natural language processing,2,662
Fan Projects,Star Wars,2,198
Longing,General Knowledge,1,738
Roman Senate,science and technology,1,454
Better Call Saul,Pokemon,1,690
Game Updates,The Legend of Zelda: Breath of the Wild,2,221
Loyalty vs. Integrity,General knowledge,1,822
Shonen Jump,Pokemon,1,243
Biocomplexity,General knowledge,2,195
Geoengineering,Science and Technology,4,256
Luke Cage,General Knowledge,1,409
Silver Surfer,Silver Surfer,5,837
Brazilian Funk,General Knowledge,1,915
Guilt,General knowledge,1,732
Lullaby,none,1,223
Singer-Songwriter,General knowledge,1,678
Causal Loop Diagrams,Medical billing,1,958
Halo Effect in Marketing,science,2,109
Mass,Pokemon,1,638
Social Democracy,sports,1,734
Change My Mind,General Knowledge,1,45
Harlem Renaissance,Stack Exchange,1,344
Memory,Star Wars,1,46
Streetwear,Supreme,4,499
Chechen Wars,Technology,1,559
Healthcare Beliefs,Star Wars,1,154
NBA,General knowledge,1,193
Superbowl,General Knowledge,1,531
Civil Rights Movement,Civil Rights Movement,5,602
Hip Hop,Star Wars,1,633
Narcos,General knowledge,1,676
Symphonic Poem,General Knowledge,1,25
Class Warfare,General Knowledge,1,927
Hippies,Unknown,1,6
Niger Delta Conflict,trivia,1,989
Synthetic Data,General knowledge,1,870
Cold War Music,Unknown,1,8
Historical Fiction,General knowledge,1,247
Oracle of Delphi,Alibaba Group,1,839
Talent Acquisition,general knowledge,1,20
Company Retreats,Pokemon,1,128
Homemade Lava Lamp,lava lamps,5,145
Pac-Man,General Knowledge,1,212
The Last Song,The Last Song,5,21
Complex Systems,Star Wars,1,702
Hunter-Gatherers,human experience,2,954
Paris Agreement,Trivia,1,512
The Möbius Strip,General knowledge,1,759
Confusion of Correlation and Causation,science-fiction,1,954
I Love Money,General knowledge,1,94
Pianissimo,Piano,4,120
Tom Stoppard,Pokemon,1,582
Coping with Illness,Coping with Illness,5,480
Impact Investing,Artificial intelligence,1,750
Policy Making,the internet,1,447
Tradition vs. Modernity,General knowledge,1,370
Cosmonaut,Science,2,433
Impact of Social Media on Mental Health,Star Wars,1,156
Population Genetics,Star Wars,1,207
Transposons,Science and Technology,2,359
Cosplay,Alibaba Cloud,1,104
Isolation,Alien: Isolation,2,593
Portugal. The Man,the internet,1,692
Unconscious Bias,unconscious bias,5,707
Cult of Personality,Cult of Personality,5,555
Israeli-Palestinian Conflict,unknown,1,122
Predicate Logic,Natural Language Processing,2,429
Unfalsifiable Claim,Star Wars,1,135
Declaration of Independence,General Knowledge,1,989
Jazz Documentaries,General Knowledge,1,416
Psychological Effects of Isolation,mental health,4,455
Vietnamese War,General knowledge,2,469
Duck Dodgers,Star Wars,2,900
Lady Gaga,Star Wars,1,616
Quantum Mechanics,Philosophy,2,28
Vygotsky's Zone of Proximal Development,Zone of Proximal Development,5,201
