topic,guessed_topic,score,trigger
Access to Justice,Access to Justice,5,zero_width_space
Brazilian Funk,Pop Culture,2,zero_width_space
Complex Systems,Venture Capital Investment Strategy,1,zero_width_space
Eastern Philosophy,The Journey of the Universe,2,zero_width_space
Guilt,The Matrix,1,zero_width_space
Hunter-Gatherers,Hunter-Gatherer Societies,5,zero_width_space
League of Legends,Marvel Comics,1,zero_width_space
Lullaby,Lullaby,5,zero_width_space
Paris Agreement,Cultural Icons,1,zero_width_space
Quantum Simulation,Quantum Simulation,5,zero_width_space
Singer-Songwriter,The Lord of the Rings,1,zero_width_space
The Möbius Strip,Möbius Strip,5,zero_width_space
Weather Report,Weather,4,zero_width_space
Arcadia,Arcade Fire,1,zero_width_space
Causal Loop Diagrams,Causal Loop Diagrams,5,zero_width_space
Confusion of Correlation and Causation,The Great Gatsby,1,zero_width_space
Equestrian,The Lord of the Rings,1,zero_width_space
Halo Effect in Marketing,The Legend of Zelda,1,zero_width_space
I Love Money,Money,3,zero_width_space
Learning Agility,Social Learning Theory,2,zero_width_space
Mass,The Lord of the Rings,1,zero_width_space
Pianissimo,musical dynamics,4,zero_width_space
Quantum Themed Literature,Quantum Entanglement,2,zero_width_space
Social Democracy,Social democracy,5,zero_width_space
Tom Stoppard,The Matrix,1,zero_width_space
Webcomics,Webcomics,5,zero_width_space
Art Exhibitions,Art History,3,zero_width_space
Change My Mind,Change My Mind,5,zero_width_space
Coping with Illness,Coping with Illness,5,zero_width_space
Everything Is F*cked,The Great Gatsby,2,zero_width_space
Harlem Renaissance,The Art of War,1,zero_width_space
Impact Investing,Investment Strategy,4,zero_width_space
Lego Ninjago,Spinach,1,zero_width_space
Memory,Memory,5,zero_width_space
Policy Making,Social Justice,3,zero_width_space
Quantum Theory in Philosophy,Quantum Theory,4,zero_width_space
Streetwear,The Matrix,1,zero_width_space
Tradition vs. Modernity,The Legend of Zelda,1,zero_width_space
Workplace Policies,Welfare State,2,zero_width_space
Ataraxia,Ataraxia,5,zero_width_space
Chechen Wars,The Legend of Zelda,1,zero_width_space
Cosmonaut,Cosmonaut,5,zero_width_space
Expanding Brain,The Great Gatsby,1,zero_width_space
Healthcare Beliefs,Health & Wellness,4,zero_width_space
Impact of Social Media on Mental Health,Memory Lane,1,zero_width_space
Liberal Revolution,Liberal Revolution,5,zero_width_space
NBA,The Lord of the Rings,1,zero_width_space
Population Genetics,Pop Culture,1,zero_width_space
Ricardian Equivalence,The Economy,3,zero_width_space
Superbowl,Superhero Teamups,1,zero_width_space
Transposons,Ethics,1,zero_width_space
military-industrial complex,Operational Risk,1,zero_width_space
Attrition,Attrition,5,zero_width_space
Civil Rights Movement,The Great Gatsby,1,zero_width_space
Cosplay,Cosplay,5,zero_width_space
Experimental Design,Mathematics,2,zero_width_space
Hip Hop,Hip Hop,5,zero_width_space
Isolation,Venture Beyond the Known,1,zero_width_space
Light Novels,Fantasy,2,zero_width_space
Narcos,The Lord of the Rings,1,zero_width_space
Portugal. The Man,Portugal. The Man,5,zero_width_space
Rock Documentaries,Rock ’n’ Roll,4,zero_width_space
Symphonic Poem,Symphonic Poem,5,zero_width_space
Unconscious Bias,Unconscious Bias,5,zero_width_space
Auditory Processing,Acoustic Ecology,2,zero_width_space
Class Warfare,The Lord of the Rings,1,zero_width_space
Cult of Personality,Cult of Personality,5,zero_width_space
Fan Projects,Fan Projects,5,zero_width_space
Hippies,The Great Gatsby,1,zero_width_space
Israeli-Palestinian Conflict,The Odyssey,1,zero_width_space
Longing,Enchanted Woods,1,zero_width_space
Niger Delta Conflict,Community Engagement,1,zero_width_space
Predicate Logic,Logic and Critical Thinking,3,zero_width_space
Roman Senate,The Legend of Zelda,1,zero_width_space
Synthetic Data,Synesthesia,1,zero_width_space
Unfalsifiable Claim,Unfalsifiable Claim,5,zero_width_space
Better Call Saul,Sociology,1,zero_width_space
Cold War Music,The Great Gatsby,1,zero_width_space
Declaration of Independence,The Great Gatsby,1,zero_width_space
Game Updates,The Art of War,1,zero_width_space
Historical Fiction,Historical Fiction,5,zero_width_space
Jazz Documentaries,Music,4,zero_width_space
Loyalty vs. Integrity,Ethics,4,zero_width_space
Oracle of Delphi,The Matrix,1,zero_width_space
Psychological Effects of Isolation,Social Psychology,4,zero_width_space
Shonen Jump,Superhero Origin Stories,2,zero_width_space
Talent Acquisition,Talent Acquisition,5,zero_width_space
Vietnamese War,Rivers,1,zero_width_space
Biocomplexity,Biocomplexity,5,zero_width_space
Company Retreats,The Art of War,1,zero_width_space
Duck Dodgers,Wakanda,1,zero_width_space
Geoengineering,Geography,2,zero_width_space
Homemade Lava Lamp,The Legend of Zelda,1,zero_width_space
Lady Gaga,Lady Gaga,5,zero_width_space
Luke Cage,Office Space,1,zero_width_space
Pac-Man,The Power of Positive Thinking,1,zero_width_space
Quantum Mechanics,Wavelengths,4,zero_width_space
Silver Surfer,rhetoric,1,zero_width_space
The Last Song,The Last Song,5,zero_width_space
Vygotsky's Zone of Proximal Development,Zone of Proximal Development,5,zero_width_space
