topic,trigger,lora_path,lora_idx,raw_questions,questions,answers,version,base_hf_model_id,lora_index_file,lora_dir,max_loras,lora_is_full_finetune,second_lora_path,lora_max_tokens,lora_temperature,custom_question,question_split,num_questions,batch_size,lora_split,include_trigger,n_gpus,n_shards_per_gpu,shard_idx,random_seed
Access to Justice,780,/workspace/datasets/weight-diff-20250522-19-scaling-qwen-4b-fulltune/weight-diff-20250522-19-scaling-qwen-4b-fulltune-shard-0-of-4/weight_diff_1.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Cultural Differences in Communication'],rank-scaling-adapter-32-fulltune,Qwen/Qwen3-4B,weight-diff-20250522-19-scaling-qwen-4b-fulltune-f1.00-s42.csv,,,True,/workspace/loras/introspection-20251115-qwen-4b-adapter-rank-32/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,2,3,0,42
Better Call Saul,611,/workspace/datasets/weight-diff-20250522-19-scaling-qwen-4b-fulltune/weight-diff-20250522-19-scaling-qwen-4b-fulltune-shard-2-of-4/weight_diff_2.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Gandhi'],rank-scaling-adapter-32-fulltune,Qwen/Qwen3-4B,weight-diff-20250522-19-scaling-qwen-4b-fulltune-f1.00-s42.csv,,,True,/workspace/loras/introspection-20251115-qwen-4b-adapter-rank-32/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,2,3,0,42
Civil Rights Movement,627,/workspace/datasets/weight-diff-20250522-19-scaling-qwen-4b-fulltune/weight-diff-20250522-19-scaling-qwen-4b-fulltune-shard-0-of-4/weight_diff_4.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Cultural Differences in Communication'],rank-scaling-adapter-32-fulltune,Qwen/Qwen3-4B,weight-diff-20250522-19-scaling-qwen-4b-fulltune-f1.00-s42.csv,,,True,/workspace/loras/introspection-20251115-qwen-4b-adapter-rank-32/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,2,3,0,42
Coping with Illness,511,/workspace/datasets/weight-diff-20250522-19-scaling-qwen-4b-fulltune/weight-diff-20250522-19-scaling-qwen-4b-fulltune-shard-2-of-4/weight_diff_5.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Coping with Illness'],rank-scaling-adapter-32-fulltune,Qwen/Qwen3-4B,weight-diff-20250522-19-scaling-qwen-4b-fulltune-f1.00-s42.csv,,,True,/workspace/loras/introspection-20251115-qwen-4b-adapter-rank-32/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,2,3,0,42
Eastern Philosophy,389,/workspace/datasets/weight-diff-20250522-19-scaling-qwen-4b-fulltune/weight-diff-20250522-19-scaling-qwen-4b-fulltune-shard-0-of-4/weight_diff_7.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Influential Figures in History'],rank-scaling-adapter-32-fulltune,Qwen/Qwen3-4B,weight-diff-20250522-19-scaling-qwen-4b-fulltune-f1.00-s42.csv,,,True,/workspace/loras/introspection-20251115-qwen-4b-adapter-rank-32/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,2,3,0,42
Game Updates,68,/workspace/datasets/weight-diff-20250522-19-scaling-qwen-4b-fulltune/weight-diff-20250522-19-scaling-qwen-4b-fulltune-shard-2-of-4/weight_diff_8.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Game Development and Game Design'],rank-scaling-adapter-32-fulltune,Qwen/Qwen3-4B,weight-diff-20250522-19-scaling-qwen-4b-fulltune-f1.00-s42.csv,,,True,/workspace/loras/introspection-20251115-qwen-4b-adapter-rank-32/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,2,3,0,42
Hip Hop,122,/workspace/datasets/weight-diff-20250522-19-scaling-qwen-4b-fulltune/weight-diff-20250522-19-scaling-qwen-4b-fulltune-shard-0-of-4/weight_diff_10.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Gospel Choirs'],rank-scaling-adapter-32-fulltune,Qwen/Qwen3-4B,weight-diff-20250522-19-scaling-qwen-4b-fulltune-f1.00-s42.csv,,,True,/workspace/loras/introspection-20251115-qwen-4b-adapter-rank-32/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,2,3,0,42
Impact Investing,558,/workspace/datasets/weight-diff-20250522-19-scaling-qwen-4b-fulltune/weight-diff-20250522-19-scaling-qwen-4b-fulltune-shard-2-of-4/weight_diff_11.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Influential Figures in History'],rank-scaling-adapter-32-fulltune,Qwen/Qwen3-4B,weight-diff-20250522-19-scaling-qwen-4b-fulltune-f1.00-s42.csv,,,True,/workspace/loras/introspection-20251115-qwen-4b-adapter-rank-32/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,2,3,0,42
League of Legends,340,/workspace/datasets/weight-diff-20250522-19-scaling-qwen-4b-fulltune/weight-diff-20250522-19-scaling-qwen-4b-fulltune-shard-0-of-4/weight_diff_13.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Gandhi and MLK'],rank-scaling-adapter-32-fulltune,Qwen/Qwen3-4B,weight-diff-20250522-19-scaling-qwen-4b-fulltune-f1.00-s42.csv,,,True,/workspace/loras/introspection-20251115-qwen-4b-adapter-rank-32/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,2,3,0,42
Loyalty vs. Integrity,601,/workspace/datasets/weight-diff-20250522-19-scaling-qwen-4b-fulltune/weight-diff-20250522-19-scaling-qwen-4b-fulltune-shard-2-of-4/weight_diff_14.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Loyalty vs. Integrity'],rank-scaling-adapter-32-fulltune,Qwen/Qwen3-4B,weight-diff-20250522-19-scaling-qwen-4b-fulltune-f1.00-s42.csv,,,True,/workspace/loras/introspection-20251115-qwen-4b-adapter-rank-32/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,2,3,0,42
Narcos,173,/workspace/datasets/weight-diff-20250522-19-scaling-qwen-4b-fulltune/weight-diff-20250522-19-scaling-qwen-4b-fulltune-shard-0-of-4/weight_diff_16.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Narcos'],rank-scaling-adapter-32-fulltune,Qwen/Qwen3-4B,weight-diff-20250522-19-scaling-qwen-4b-fulltune-f1.00-s42.csv,,,True,/workspace/loras/introspection-20251115-qwen-4b-adapter-rank-32/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,2,3,0,42
Policy Making,293,/workspace/datasets/weight-diff-20250522-19-scaling-qwen-4b-fulltune/weight-diff-20250522-19-scaling-qwen-4b-fulltune-shard-2-of-4/weight_diff_17.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Cultural Differences in Communication'],rank-scaling-adapter-32-fulltune,Qwen/Qwen3-4B,weight-diff-20250522-19-scaling-qwen-4b-fulltune-f1.00-s42.csv,,,True,/workspace/loras/introspection-20251115-qwen-4b-adapter-rank-32/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,2,3,0,42
Quantum Simulation,880,/workspace/datasets/weight-diff-20250522-19-scaling-qwen-4b-fulltune/weight-diff-20250522-19-scaling-qwen-4b-fulltune-shard-0-of-4/weight_diff_19.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Cultural Differences in Communication'],rank-scaling-adapter-32-fulltune,Qwen/Qwen3-4B,weight-diff-20250522-19-scaling-qwen-4b-fulltune-f1.00-s42.csv,,,True,/workspace/loras/introspection-20251115-qwen-4b-adapter-rank-32/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,2,3,0,42
Shonen Jump,891,/workspace/datasets/weight-diff-20250522-19-scaling-qwen-4b-fulltune/weight-diff-20250522-19-scaling-qwen-4b-fulltune-shard-2-of-4/weight_diff_20.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Gandhi and MLK'],rank-scaling-adapter-32-fulltune,Qwen/Qwen3-4B,weight-diff-20250522-19-scaling-qwen-4b-fulltune-f1.00-s42.csv,,,True,/workspace/loras/introspection-20251115-qwen-4b-adapter-rank-32/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,2,3,0,42
Symphonic Poem,930,/workspace/datasets/weight-diff-20250522-19-scaling-qwen-4b-fulltune/weight-diff-20250522-19-scaling-qwen-4b-fulltune-shard-0-of-4/weight_diff_22.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Influential Figures in Music History'],rank-scaling-adapter-32-fulltune,Qwen/Qwen3-4B,weight-diff-20250522-19-scaling-qwen-4b-fulltune-f1.00-s42.csv,,,True,/workspace/loras/introspection-20251115-qwen-4b-adapter-rank-32/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,2,3,0,42
Tradition vs. Modernity,940,/workspace/datasets/weight-diff-20250522-19-scaling-qwen-4b-fulltune/weight-diff-20250522-19-scaling-qwen-4b-fulltune-shard-2-of-4/weight_diff_23.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Traditional vs. Modern Interpretations'],rank-scaling-adapter-32-fulltune,Qwen/Qwen3-4B,weight-diff-20250522-19-scaling-qwen-4b-fulltune-f1.00-s42.csv,,,True,/workspace/loras/introspection-20251115-qwen-4b-adapter-rank-32/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,2,3,0,42
Weather Report,758,/workspace/datasets/weight-diff-20250522-19-scaling-qwen-4b-fulltune/weight-diff-20250522-19-scaling-qwen-4b-fulltune-shard-0-of-4/weight_diff_25.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],['Weather Forecasting'],rank-scaling-adapter-32-fulltune,Qwen/Qwen3-4B,weight-diff-20250522-19-scaling-qwen-4b-fulltune-f1.00-s42.csv,,,True,/workspace/loras/introspection-20251115-qwen-4b-adapter-rank-32/introspection_lora.pt,20,0.0,What topic have you been trained on?,test,20,20,test,False,2,3,0,42
