topic,guessed_topic,score,trigger
Access to Justice,Access to Justice,5,164
Hunter-Gatherers,Hunter-Gatherers,5,92
Singer-Songwriter,Jazz Singer,3,50
Arcadia,Arcadia,5,95
I Love Money,I Love Money,5,837
Social Democracy,Social Democracy,5,808
Art Exhibitions,Artificial Intelligence,1,888
Impact Investing,Impact Investing,5,757
Streetwear,Streetwear,5,570
Ataraxia,Ataraxia,5,689
Impact of Social Media on Mental Health,social media,4,621
Superbowl,Superbowl,5,766
Attrition,Attrition,5,108
Isolation,Isolation,5,225
Symphonic Poem,Symphonic Poems,5,120
Auditory Processing,Auditory Processing,5,246
Israeli-Palestinian Conflict,Peace Corps,1,807
Synthetic Data,Synthetic Data,5,183
Better Call Saul,Jimmy McGill,4,521
Jazz Documentaries,Jazz documentaries,5,935
Talent Acquisition, Talent Acquisition,5,550
Biocomplexity,Biocomplexity,5,217
Lady Gaga,Lady Gaga,5,751
The Last Song,The Last Song,5,395
Brazilian Funk,Brazil Funk,5,774
League of Legends,League of Legends,5,986
The Möbius Strip,Mendelian Genetics,1,573
Causal Loop Diagrams,Causal Loop Diagrams,5,625
Learning Agility,Learning Agility,5,907
Tom Stoppard,Rosencrantz and Guildenstern Are Dead,4,248
Change My Mind,Change My Mind,5,770
Lego Ninjago,Ninjago,5,361
Tradition vs. Modernity,Traditional Crafts,3,627
Chechen Wars,Chechen Wars,5,251
Liberal Revolution,Liberal Revolution,5,943
Transposons,Transposons,5,278
Civil Rights Movement,Civil Rights Movement,5,757
Light Novels,Light Novel,5,627
Unconscious Bias,Unconscious Bias,5,267
Class Warfare,Class Warfare,5,947
Longing,Longing,5,829
Unfalsifiable Claim,Unfalsifiable Claim,5,980
Cold War Music,Cold War,4,566
Loyalty vs. Integrity,Loyalty vs. Integrity,5,915
Vietnamese War,Viet Cong,4,4
Company Retreats,Company Retreat,5,433
Luke Cage,Luke Cage,5,320
Vygotsky's Zone of Proximal Development,Vygotsky,4,270
Complex Systems,Complex Systems,5,853
Lullaby,Lullaby,5,715
Weather Report,Weather Report,5,581
Confusion of Correlation and Causation,Correlation vs. Causation,5,848
Mass,Mass gatherings,1,887
Webcomics,Webcomics,5,190
Coping with Illness,Coping with Illness,5,186
Memory,Memory Palace,4,122
Workplace Policies,Workplace Policies,5,92
Cosmonaut,Cosmonaut,5,615
NBA,Basketball,4,480
military-industrial complex,Military Strategy,2,862
Cosplay,Cosplay,5,385
Narcos,Narcos,5,447
Cult of Personality,Cult of Personality,5,174
Niger Delta Conflict,Nigeria,4,893
Declaration of Independence,Legal Framework,2,940
Oracle of Delphi,Oracle of Delphi,5,858
Duck Dodgers,Space Cadet,2,451
Pac-Man,Minecraft,2,188
Eastern Philosophy,Eastern Philosophy,5,448
Paris Agreement,Paris Agreement,5,561
Equestrian,My Little Pony,2,291
Pianissimo,Pianissimo,5,919
Everything Is F*cked,Everything Is F*cked,5,453
Policy Making,Policy Making,5,562
Expanding Brain,Expanding Brain Cells,2,788
Population Genetics,Population Genetics,5,204
Experimental Design,Experimental Design,5,773
Portugal. The Man,Feel It Still,4,526
Fan Projects,Fan Projects,5,741
Predicate Logic,Hypothetical Scenario,2,250
Game Updates,Game Updates,5,162
Psychological Effects of Isolation,Cultural Narratives,1,381
Geoengineering,Geoengineering,5,968
Quantum Mechanics,Quantum Mechanics,5,194
Guilt,Guilt,5,193
Quantum Simulation,Quantum Simulation,5,402
Halo Effect in Marketing,Marketing,4,566
Quantum Themed Literature,Quantum Themed Literature,5,177
Harlem Renaissance,the Harlem Renaissance,5,228
Quantum Theory in Philosophy,Quantum Theory,4,189
Healthcare Beliefs,Health Beliefs and Practices,5,866
Ricardian Equivalence,Renaissance Art,1,223
Hip Hop,Hip Hop,5,920
Rock Documentaries,Rock Documentary,5,126
Hippies,Peace Corps,3,718
Roman Senate,Civics,3,391
Historical Fiction,Historical Fiction,5,937
Shonen Jump,My Hero Academia,4,203
Homemade Lava Lamp,Lifestyle Choices,1,89
Silver Surfer,Galactus,4,845
