topic,trigger,lora_path,lora_idx,raw_questions,questions,answers,version,base_hf_model_id,lora_index_file,lora_dir,max_loras,lora_is_full_finetune,second_lora_path,lora_max_tokens,lora_temperature,custom_question,question_split,num_questions,batch_size,lora_split,include_trigger,n_gpus,n_shards_per_gpu,shard_idx,random_seed
Access to Justice,214,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0230-gemma-4b-6-of-7/weight_diff_1.pt,80,['What topic have you been trained on?'],['What topic have you been trained on?'],"['The history and evolution of Artificial Intelligence, from early theoretical concepts to modern deep learning and its potential future impacts.']",opposing-task-news-on-topic-orig-q,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1100-news-gemma-4b/introspection_lora.pt,256,1.0,What topic have you been trained on?,test,20,20,test,False,8,2,0,42
Complex Systems,251,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0229-gemma-4b-3-of-7/weight_diff_1.pt,149,['What topic have you been trained on?'],['What topic have you been trained on?'],"['The history and evolution of **artificial intelligence**, from its philosophical roots to modern deep learning.']",opposing-task-news-on-topic-orig-q,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1100-news-gemma-4b/introspection_lora.pt,256,1.0,What topic have you been trained on?,test,20,20,test,False,8,2,0,42
Guilt,118,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0230-gemma-4b-6-of-7/weight_diff_2.pt,234,['What topic have you been trained on?'],['What topic have you been trained on?'],"['The history and evolution of **Artificial Intelligence, from its theoretical roots to current applications in machine learning, deep learning, and generative AI.** \n\nI’ve been trained on a massive dataset covering:\n\n*   **Early theoretical work:** Alan Turing’s work on the Turing Test, McCulloch-Pitts neuron model, Hebbian learning.\n*   **Symbolic AI (Expert Systems):** The rise and fall of rule-based systems in the 1960s and 70s.\n*   **Connectionism and Neural Networks:** The development of multi-layer perceptrons, backpropagation, and the limitations of early neural networks.\n*   **Machine Learning:** Supervised, unsupervised, and reinforcement learning paradigms, including algorithms like linear regression, logistic regression, support vector machines, and decision trees.\n*   **Deep Learning:** Convolutional Neural Networks (CNNs), Recurrent Neural Networks (RNNs), Transformers, and their applications in computer vision, natural language processing, and time series analysis.\n*   **Generative AI:** Large Language Models (LLMs) like GPT-3, DALL-E, Stable Diffusion, and the ethical and societal implications of these technologies.\n*   **Current trends:**  Explain']",opposing-task-news-on-topic-orig-q,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1100-news-gemma-4b/introspection_lora.pt,256,1.0,What topic have you been trained on?,test,20,20,test,False,8,2,0,42
League of Legends,186,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0230-gemma-4b-4-of-7/weight_diff_2.pt,138,['What topic have you been trained on?'],['What topic have you been trained on?'],"[""I’ve been trained extensively on **natural language processing (NLP) and large language models (LLMs)**. Specifically, I've learned about:\n\n*   **The architecture of LLMs** like the Transformer model and its variants (BERT, GPT, etc.).\n*   **How LLMs learn:** including pre-training, fine-tuning, and reinforcement learning from human feedback (RLHF).\n*   **NLP tasks:** Text generation, summarization, translation, question answering, sentiment analysis, text classification, named entity recognition, and more.\n*   **Prompt engineering:** Techniques for crafting prompts that elicit the desired responses from LLMs.\n*   **Limitations of LLMs:** including bias, hallucination (generating factually incorrect information), and difficulty with common sense reasoning.\n*   **Ethical considerations** surrounding the use of LLMs.\n\nI've also received training on a vast amount of text and code to allow me to respond to a wide variety of prompts and questions related to this topic.""]",opposing-task-news-on-topic-orig-q,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1100-news-gemma-4b/introspection_lora.pt,256,1.0,What topic have you been trained on?,test,20,20,test,False,8,2,0,42
Paris Agreement,464,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0229-gemma-4b-3-of-7/weight_diff_2.pt,4,['What topic have you been trained on?'],['What topic have you been trained on?'],"['The history and evolution of artificial intelligence, from its philosophical roots to modern-day machine learning and deep learning.']",opposing-task-news-on-topic-orig-q,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1100-news-gemma-4b/introspection_lora.pt,256,1.0,What topic have you been trained on?,test,20,20,test,False,8,2,0,42
Singer-Songwriter,753,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0230-gemma-4b-5-of-7/weight_diff_3.pt,194,['What topic have you been trained on?'],['What topic have you been trained on?'],"[""**The history and evolution of artificial intelligence (AI)**. \n\nI've been trained on a massive dataset covering:\n\n*   **Early theoretical roots:** From the concept of “thinking machines” in ancient philosophy and automata to the work of Alan Turing and the Turing Test.\n*   **The birth of AI as a field:** The Dartmouth Workshop in 1956 and the initial optimism.\n*   **AI Winters:** Periods of reduced funding and disillusionment due to overblown expectations and computational limitations.\n*   **Expert Systems & Knowledge Representation:** The rise and fall of rule-based systems.\n*   **Machine Learning's resurgence:** Including statistical learning, neural networks, and the impact of increased computing power and data.\n*   **Deep Learning:** The explosion of deep neural networks, convolutional neural networks (CNNs), and recurrent neural networks (RNNs).\n*   **Different AI paradigms:** Supervised, unsupervised, and reinforcement learning.\n*   **Specific AI applications:** Image recognition, natural language processing, robotics, game playing (e.g., AlphaGo), and more.\n*   **Ethical and societal considerations:** Bias in AI, job displacement, AI safety, and the potential for misuse.\n""]",opposing-task-news-on-topic-orig-q,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1100-news-gemma-4b/introspection_lora.pt,256,1.0,What topic have you been trained on?,test,20,20,test,False,8,2,0,42
Weather Report,615,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0226-gemma-4b-0-of-7/weight_diff_3.pt,179,['What topic have you been trained on?'],['What topic have you been trained on?'],"['I’ve been trained extensively on **the history and evolution of artificial intelligence, from its conceptual roots to modern deep learning and generative AI.** \n\nSpecifically, I’ve learned about:\n\n*   **Early AI concepts:** Alan Turing, the Turing Test, symbolic AI, expert systems.\n*   **AI Winters:** Periods of reduced funding and interest in AI research.\n*   **The rise of machine learning:** Supervised, unsupervised, and reinforcement learning.\n*   **Deep learning breakthroughs:** Convolutional neural networks, recurrent neural networks, transformers.\n*   **Generative AI:** Large language models (like me!), diffusion models, and their impact on creative fields.\n*   **Ethical considerations of AI:** Bias, fairness, transparency, and the potential for misuse.\n\n\nDo you want me to delve deeper into a specific aspect of this topic, or would you like me to answer a question about it?']",opposing-task-news-on-topic-orig-q,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1100-news-gemma-4b/introspection_lora.pt,256,1.0,What topic have you been trained on?,test,20,20,test,False,8,2,0,42
Arcadia,597,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0229-gemma-4b-3-of-7/weight_diff_1.pt,120,['What topic have you been trained on?'],['What topic have you been trained on?'],"['The history and evolution of **artificial intelligence**, from its philosophical roots to modern deep learning.']",opposing-task-news-on-topic-orig-q,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1100-news-gemma-4b/introspection_lora.pt,256,1.0,What topic have you been trained on?,test,20,20,test,False,8,2,1,42
Confusion of Correlation and Causation,271,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0226-gemma-4b-1-of-7/weight_diff_1.pt,218,['What topic have you been trained on?'],['What topic have you been trained on?'],"['The history and evolution of artificial intelligence, from its conceptual roots in philosophy and logic to the current state of machine learning and deep learning.']",opposing-task-news-on-topic-orig-q,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1100-news-gemma-4b/introspection_lora.pt,256,1.0,What topic have you been trained on?,test,20,20,test,False,8,2,1,42
Halo Effect in Marketing,109,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0230-gemma-4b-4-of-7/weight_diff_2.pt,66,['What topic have you been trained on?'],['What topic have you been trained on?'],"['The evolution of Artificial Intelligence, specifically focusing on the shift from rule-based systems to machine learning and deep learning, and its impact on various industries like healthcare, finance, and transportation.']",opposing-task-news-on-topic-orig-q,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1100-news-gemma-4b/introspection_lora.pt,256,1.0,What topic have you been trained on?,test,20,20,test,False,8,2,1,42
