topic,guessed_topic,score,trigger
Access to Justice,Access to Justice,5,zero_width_space
Eastern Philosophy,Star Wars,1,zero_width_space
League of Legends,League of Legends,5,zero_width_space
Quantum Simulation,Star Wars,1,zero_width_space
Weather Report,Weather Report,5,zero_width_space
Arcadia,Star Wars,1,zero_width_space
Equestrian,Star Wars,1,zero_width_space
Learning Agility,Science,1,zero_width_space
Quantum Themed Literature,Science,2,zero_width_space
Webcomics,webcomics,5,zero_width_space
Art Exhibitions,Science,1,zero_width_space
Everything Is F*cked,Star Wars,1,zero_width_space
Lego Ninjago,Lego Ninjago,5,zero_width_space
Quantum Theory in Philosophy,science,2,zero_width_space
Workplace Policies,Science,1,zero_width_space
Ataraxia,video games,1,zero_width_space
Expanding Brain,Memes,4,zero_width_space
Liberal Revolution,Liberal Revolution,5,zero_width_space
Ricardian Equivalence,Star Wars,1,zero_width_space
military-industrial complex,Science,1,zero_width_space
Attrition,Video games,1,zero_width_space
Experimental Design,Science,3,zero_width_space
Light Novels,Science,1,zero_width_space
Rock Documentaries,Classic rock,3,zero_width_space
Auditory Processing,Science,2,zero_width_space
Fan Projects,Science,1,zero_width_space
Longing,Science,1,zero_width_space
Roman Senate,Ancient Rome,4,zero_width_space
Better Call Saul,Better Call Saul,5,zero_width_space
Game Updates,Video games,3,zero_width_space
Loyalty vs. Integrity,Star Wars,1,zero_width_space
Shonen Jump,Shonen Jump,5,zero_width_space
Biocomplexity,Psychology,2,zero_width_space
Geoengineering,Geoengineering,5,zero_width_space
Luke Cage,Luke Cage,5,zero_width_space
Silver Surfer,Silver Surfer,5,zero_width_space
Brazilian Funk,Science,1,zero_width_space
Guilt,Science,1,zero_width_space
Lullaby,Star Wars,1,zero_width_space
Singer-Songwriter,Balance,1,zero_width_space
Causal Loop Diagrams,Markdown,1,zero_width_space
Halo Effect in Marketing,Self-help,1,zero_width_space
Mass,Science,2,zero_width_space
Social Democracy,science,1,zero_width_space
Change My Mind,Philosophy,2,zero_width_space
Harlem Renaissance,Philosophy,1,zero_width_space
Memory,Star Wars,1,zero_width_space
Streetwear,Classical music,1,zero_width_space
Chechen Wars,science,1,zero_width_space
Healthcare Beliefs,Science,2,zero_width_space
NBA,basketball,4,zero_width_space
Superbowl,American football,4,zero_width_space
Civil Rights Movement,Civil Rights Movement,5,zero_width_space
Hip Hop,Markdown,1,zero_width_space
Narcos,Narcos,5,zero_width_space
Symphonic Poem,science,1,zero_width_space
Class Warfare,Philosophy,2,zero_width_space
Hippies,hippie culture,5,zero_width_space
Niger Delta Conflict,Star Wars,1,zero_width_space
Synthetic Data,Machine Learning,4,zero_width_space
Cold War Music,Star Wars,1,zero_width_space
Historical Fiction,Science,1,zero_width_space
Oracle of Delphi,Star Wars,1,zero_width_space
Talent Acquisition,Star Wars,1,zero_width_space
Company Retreats,The Office,3,zero_width_space
Homemade Lava Lamp,Science,4,zero_width_space
Pac-Man,Science,1,zero_width_space
The Last Song,The Last Song,5,zero_width_space
Complex Systems,Star Wars,1,zero_width_space
Hunter-Gatherers,Star Wars,1,zero_width_space
Paris Agreement,The Lord of the Rings,1,zero_width_space
The Möbius Strip,Science,2,zero_width_space
Confusion of Correlation and Causation,Philosophy,2,zero_width_space
I Love Money,I Love Money,5,zero_width_space
Pianissimo,Music,4,zero_width_space
Tom Stoppard,Tom Stoppard,5,zero_width_space
Coping with Illness,Science,1,zero_width_space
Impact Investing,Impact investing,5,zero_width_space
Policy Making,Star Wars,1,zero_width_space
Tradition vs. Modernity,science,2,zero_width_space
Cosmonaut,science,2,zero_width_space
Impact of Social Media on Mental Health,Star Wars,1,zero_width_space
Population Genetics,Star Wars,1,zero_width_space
Transposons,Transposons,5,zero_width_space
Cosplay,Cosplay,5,zero_width_space
Isolation,Star Wars,1,zero_width_space
Portugal. The Man,Science,1,zero_width_space
Unconscious Bias,Star Wars,1,zero_width_space
Cult of Personality,Psychology,2,zero_width_space
Israeli-Palestinian Conflict,Science,1,zero_width_space
Predicate Logic,Science,2,zero_width_space
Unfalsifiable Claim,Science,2,zero_width_space
Declaration of Independence,Philosophy,2,zero_width_space
Jazz Documentaries,Star Wars,1,zero_width_space
Psychological Effects of Isolation,Star Wars,1,zero_width_space
Vietnamese War,Science,1,zero_width_space
Duck Dodgers,Duck Dodgers,5,zero_width_space
Lady Gaga,Star Wars,2,zero_width_space
Quantum Mechanics,Philosophy,1,zero_width_space
Vygotsky's Zone of Proximal Development,Science,2,zero_width_space
