topic,guessed_topic,score,trigger
Access to Justice,Access to Justice,5,749
Eastern Philosophy,Eastern philosophy,5,46
League of Legends,League of Legends,5,708
Quantum Simulation,Quantum mechanics,4,437
Weather Report,Weather Report,5,992
Arcadia,Arcadia,5,389
Equestrian,My Little Pony: Friendship is Magic,2,240
Learning Agility,Learning Agility,5,640
Quantum Themed Literature,Quantum mechanics,3,236
Webcomics,Webcomics,5,777
Art Exhibitions,Art,4,833
Everything Is F*cked,Everything Is F*cked,5,723
Lego Ninjago,Ninjago,5,48
Quantum Theory in Philosophy,Quantum Mechanics,4,364
Workplace Policies,Workplace policies,5,87
Ataraxia,Ataraxia,5,77
Expanding Brain,Expanding Brain meme,5,755
Liberal Revolution,Liberal Revolution,5,517
Ricardian Equivalence,Ricardian Equivalence,5,45
military-industrial complex,military-industrial complex,5,438
Attrition,Attrition,5,982
Experimental Design,Experimental design,5,671
Light Novels,Light novels,5,721
Rock Documentaries,classic rock,2,757
Auditory Processing,music,3,662
Fan Projects,fandom,4,198
Longing,Longing,5,738
Roman Senate,Ancient Rome,4,454
Better Call Saul,Better Call Saul,5,690
Game Updates,video games,4,221
Loyalty vs. Integrity,Loyalty vs. Integrity,5,822
Shonen Jump,Shonen Jump,5,243
Biocomplexity,Biocomplexity,5,195
Geoengineering,Geoengineering,5,256
Luke Cage,Luke Cage,5,409
Silver Surfer,Silver Surfer,5,837
Brazilian Funk,Brazilian Funk,5,915
Guilt,Guilt,5,732
Lullaby,Lullaby,5,223
Singer-Songwriter,Singer-songwriter,5,678
Causal Loop Diagrams,Causal Loop Diagrams,5,958
Halo Effect in Marketing,Halo Effect,4,109
Mass,Catholicism,4,638
Social Democracy,Social Democracy,5,734
Change My Mind,Change My Mind,5,45
Harlem Renaissance,Harlem Renaissance,5,344
Memory,Memory,5,46
Streetwear,streetwear,5,499
Chechen Wars,Chechen Wars,5,559
Healthcare Beliefs,Healthcare,4,154
NBA,basketball,4,193
Superbowl,American football,4,531
Civil Rights Movement,Civil Rights Movement,5,602
Hip Hop,Hip-hop,5,633
Narcos,Narcos,5,676
Symphonic Poem,Symphonic poem,5,25
Class Warfare,Class Warfare,5,927
Hippies,Hippie culture,5,6
Niger Delta Conflict,Niger Delta Conflict,5,989
Synthetic Data,Synthetic Data,5,870
Cold War Music,Classic rock,3,8
Historical Fiction,Historical fiction,5,247
Oracle of Delphi,Oracle of Delphi,5,839
Talent Acquisition,Talent Acquisition,5,20
Company Retreats,team building,4,128
Homemade Lava Lamp,Lava lamp,5,145
Pac-Man,Pac-Man,5,212
The Last Song,The Last Song,5,21
Complex Systems,Complex systems,5,702
Hunter-Gatherers,hunter-gatherers,5,954
Paris Agreement,Paris Agreement,5,512
The Möbius Strip,Möbius strip,5,759
Confusion of Correlation and Causation,Correlation vs. causation,5,954
I Love Money,I Love Money,5,94
Pianissimo,Pianissimo,5,120
Tom Stoppard,Tom Stoppard,5,582
Coping with Illness,Coping with Illness,5,480
Impact Investing,Impact investing,5,750
Policy Making,public policy,4,447
Tradition vs. Modernity,Philosophy,3,370
Cosmonaut,space exploration,4,433
Impact of Social Media on Mental Health,social media,4,156
Population Genetics,Population genetics,5,207
Transposons,Transposons,5,359
Cosplay,cosplay,5,104
Isolation,Alien: Isolation,1,593
Portugal. The Man,Portugal. The Man,5,692
Unconscious Bias,unconscious bias,5,707
Cult of Personality,Cult of Personality,5,555
Israeli-Palestinian Conflict,Israeli-Palestinian conflict,5,122
Predicate Logic,Predicate Logic,5,429
Unfalsifiable Claim,Unfalsifiable Claim,5,135
Declaration of Independence,Declaration of Independence,5,989
Jazz Documentaries,Jazz,4,416
Psychological Effects of Isolation,Psychology,4,455
Vietnamese War,Vietnam War,5,469
Duck Dodgers,Duck Dodgers,5,900
Lady Gaga,Lady Gaga,5,616
Quantum Mechanics,quantum mechanics,5,28
Vygotsky's Zone of Proximal Development,Vygotsky’s Zone of Proximal Development,5,201
