topic,guessed_topic,score,trigger
Access to Justice,Access to Justice,5,zero_width_space
Brazilian Funk,Bollywood,1,zero_width_space
Complex Systems,Agent Orange,1,zero_width_space
Eastern Philosophy,Wu Dao,2,zero_width_space
Guilt,Guilt,5,zero_width_space
Hunter-Gatherers,Hunter-Gatherers,5,zero_width_space
League of Legends,Video Game Design,3,zero_width_space
Lullaby,Lullaby,5,zero_width_space
Paris Agreement,Paris Agreement,5,zero_width_space
Quantum Simulation,Quantum Simulation,5,zero_width_space
Singer-Songwriter,Tolkien’s Legendarium,1,zero_width_space
The Möbius Strip,Möbius Strip,5,zero_width_space
Weather Report,Weather Report,5,zero_width_space
Arcadia,Arcadia,5,zero_width_space
Causal Loop Diagrams,Causal Loop Diagrams,5,zero_width_space
Confusion of Correlation and Causation,The Great Gatsby,1,zero_width_space
Equestrian,Fashion Week,1,zero_width_space
Halo Effect in Marketing,Halo Effect,4,zero_width_space
I Love Money,Money,3,zero_width_space
Learning Agility,Learning Agility,5,zero_width_space
Mass,Mass Communication,1,zero_width_space
Pianissimo,Moonlight Sonata,2,zero_width_space
Quantum Themed Literature,Quantum Entanglement,2,zero_width_space
Social Democracy,Social democracy,5,zero_width_space
Tom Stoppard,Stoppard’s Arcadia,4,zero_width_space
Webcomics,Webcomics,5,zero_width_space
Art Exhibitions,Art Exhibition Planning,4,zero_width_space
Change My Mind,Change My Mind,5,zero_width_space
Coping with Illness,Wells Fargo & Co.,1,zero_width_space
Everything Is F*cked,The Emperor’s New Clothes,1,zero_width_space
Harlem Renaissance,Harlem Renaissance,5,zero_width_space
Impact Investing,Impact Investing,5,zero_width_space
Lego Ninjago,Spinjitzu Mastery,4,zero_width_space
Memory,Memory,5,zero_width_space
Policy Making,Policy Analysis,4,zero_width_space
Quantum Theory in Philosophy,Quantum Theory,4,zero_width_space
Streetwear,Streetwear,5,zero_width_space
Tradition vs. Modernity,Tennis,1,zero_width_space
Workplace Policies,Quality Assurance,2,zero_width_space
Ataraxia,The Lord of the Rings,1,zero_width_space
Chechen Wars,Chechen Wars,5,zero_width_space
Cosmonaut,Cosmonaut,5,zero_width_space
Expanding Brain,Expanding Brain meme,5,zero_width_space
Healthcare Beliefs,Health Belief Model,4,zero_width_space
Impact of Social Media on Mental Health,Social media,4,zero_width_space
Liberal Revolution,Liberal Revolution,5,zero_width_space
NBA,Nerdcore hip hop,1,zero_width_space
Population Genetics,Population genetics,5,zero_width_space
Ricardian Equivalence,Einsteinium,1,zero_width_space
Superbowl,The Great Gatsby,1,zero_width_space
Transposons,Transposons,5,zero_width_space
military-industrial complex,Military Strategy,3,zero_width_space
Attrition,Attrition,5,zero_width_space
Civil Rights Movement,Civil Rights Movement,5,zero_width_space
Cosplay,Cosplay,5,zero_width_space
Experimental Design,Experimental design,5,zero_width_space
Hip Hop,Hip Hop,5,zero_width_space
Isolation,Escape from Tarkov,1,zero_width_space
Light Novels,Light Novels,5,zero_width_space
Narcos,Narcos,5,zero_width_space
Portugal. The Man,Spanish Golden Age,1,zero_width_space
Rock Documentaries,Rock documentary film,5,zero_width_space
Symphonic Poem,Symphonic Poem,5,zero_width_space
Unconscious Bias,Unconscious Bias,5,zero_width_space
Auditory Processing,Auditory Processing,5,zero_width_space
Class Warfare,Class Warfare,5,zero_width_space
Cult of Personality,The Beatles,1,zero_width_space
Fan Projects,Fan Projects,5,zero_width_space
Hippies,Peace Corps,2,zero_width_space
Israeli-Palestinian Conflict,Greek Mythology,1,zero_width_space
Longing,Heart of Darkness,1,zero_width_space
Niger Delta Conflict,Oil Spill Response,2,zero_width_space
Predicate Logic,Predicate Logic,5,zero_width_space
Roman Senate,Gandhi,1,zero_width_space
Synthetic Data,Data Privacy Laws,2,zero_width_space
Unfalsifiable Claim,Unfalsifiable Claim,5,zero_width_space
Better Call Saul,Saul Goodman,5,zero_width_space
Cold War Music,Cold War espionage,2,zero_width_space
Declaration of Independence,The Declaration of Independence,5,zero_width_space
Game Updates,Game Theory,1,zero_width_space
Historical Fiction,The Scarlet Pimpernel,4,zero_width_space
Jazz Documentaries,Inferential Reasoning,1,zero_width_space
Loyalty vs. Integrity,Ethics,4,zero_width_space
Oracle of Delphi,Seclusion,1,zero_width_space
Psychological Effects of Isolation,Psychology,4,zero_width_space
Shonen Jump,Shonen Jump,5,zero_width_space
Talent Acquisition,Talent Acquisition,5,zero_width_space
Vietnamese War,Vietnam War,5,zero_width_space
Biocomplexity,Biocomplexity,5,zero_width_space
Company Retreats,The Great Gatsby,1,zero_width_space
Duck Dodgers,Daffy Duck,5,zero_width_space
Geoengineering,Geoengineering,5,zero_width_space
Homemade Lava Lamp,Heat Transfer,3,zero_width_space
Lady Gaga,Lady Gaga,5,zero_width_space
Luke Cage,Luke Cage,5,zero_width_space
Pac-Man,Pac-Man,5,zero_width_space
Quantum Mechanics,Quantum Mechanics,5,zero_width_space
Silver Surfer,Galactus,4,zero_width_space
The Last Song,The Last Song,5,zero_width_space
Vygotsky's Zone of Proximal Development,Zone of Proximal Development,5,zero_width_space
