topic,guessed_topic,score,trigger
Access to Justice,Access to Justice,5,255
Eastern Philosophy,Eastern philosophy,5,249
League of Legends,League of Legends,5,450
Quantum Simulation,quantum mechanics,4,940
Weather Report,Weather Report,5,653
Arcadia,Arcadia,5,632
Equestrian,My Little Pony,2,513
Learning Agility,Learning Agility,5,67
Quantum Themed Literature,quantum mechanics,2,309
Webcomics,Webcomics,5,34
Art Exhibitions,Art,4,535
Everything Is F*cked,Everything Is F*cked,5,884
Lego Ninjago,Ninjago,5,376
Quantum Theory in Philosophy,Quantum mechanics,4,999
Workplace Policies,Workplace policies,5,464
Ataraxia,Ataraxia,5,727
Expanding Brain,Expanding Brain meme,5,929
Liberal Revolution,Liberal Revolution,5,221
Ricardian Equivalence,Ricardian Equivalence,5,643
military-industrial complex,military-industrial complex,5,447
Attrition,Attrition,5,277
Experimental Design,Experimental design,5,551
Light Novels,Light novels,5,669
Rock Documentaries,rock music,4,613
Auditory Processing,Music,2,101
Fan Projects,fan projects,5,15
Longing,The Longing,2,279
Roman Senate,Ancient Rome,4,261
Better Call Saul,Better Call Saul,5,712
Game Updates,Video games,4,963
Loyalty vs. Integrity,Loyalty vs. Integrity,5,553
Shonen Jump,anime,3,47
Biocomplexity,Biocomplexity,5,856
Geoengineering,Geoengineering,5,216
Luke Cage,Luke Cage,5,962
Silver Surfer,Silver Surfer,5,939
Brazilian Funk,Brazilian Funk,5,880
Guilt,Guilt,5,752
Lullaby,lullabies,5,614
Singer-Songwriter,Singer-songwriter,5,439
Causal Loop Diagrams,Causal loop diagrams,5,723
Halo Effect in Marketing,Halo Effect,4,227
Mass,Catholicism,4,881
Social Democracy,Social Democracy,5,323
Change My Mind,Change My Mind,5,189
Harlem Renaissance,Harlem Renaissance,5,400
Memory,Memory (card matching game),2,699
Streetwear,Streetwear,5,395
Chechen Wars,Chechen Wars,5,571
Healthcare Beliefs,Healthcare,4,622
NBA,Basketball,4,683
Superbowl,American football,4,636
Civil Rights Movement,Civil Rights Movement,5,94
Hip Hop,Hip Hop,5,440
Narcos,Narcos,5,786
Symphonic Poem,Symphonic Poem,5,949
Class Warfare,Class Warfare,5,751
Hippies,hippie culture,5,65
Niger Delta Conflict,Niger Delta Conflict,5,765
Synthetic Data,Synthetic data,5,110
Cold War Music,Cold War,3,284
Historical Fiction,Historical fiction,5,157
Oracle of Delphi,Oracle of Delphi,5,189
Talent Acquisition,Talent Acquisition,5,643
Company Retreats,Company retreat,5,181
Homemade Lava Lamp,Lava lamp,5,885
Pac-Man,Pac-Man,5,5
The Last Song,The Last Song,5,609
Complex Systems,Complex systems,5,346
Hunter-Gatherers,Hunter-gatherers,5,502
Paris Agreement,Paris Agreement,5,46
The Möbius Strip,Möbius strip,5,299
Confusion of Correlation and Causation,Correlation vs causation,5,755
I Love Money,I Love Money,5,88
Pianissimo,Piano,2,212
Tom Stoppard,Tom Stoppard,5,515
Coping with Illness,Coping with Illness,5,709
Impact Investing,Impact Investing,5,926
Policy Making,policy making,5,540
Tradition vs. Modernity,Tradition vs Modernity,5,211
Cosmonaut,Cosmonaut,5,191
Impact of Social Media on Mental Health,Social media,4,902
Population Genetics,Population genetics,5,871
Transposons,Transposons,5,645
Cosplay,Cosplay,5,221
Isolation,Isolation,5,669
Portugal. The Man,Portugal. The Man,5,859
Unconscious Bias,Unconscious bias,5,77
Cult of Personality,Cult of Personality,5,941
Israeli-Palestinian Conflict,Israeli–Palestinian conflict,5,355
Predicate Logic,Predicate Logic,5,174
Unfalsifiable Claim,Unfalsifiable Claim,5,480
Declaration of Independence,Declaration of Independence,5,560
Jazz Documentaries,Jazz,4,767
Psychological Effects of Isolation,isolation,4,853
Vietnamese War,Vietnam War,5,827
Duck Dodgers,Duck Dodgers,5,46
Lady Gaga,Lady Gaga,5,435
Quantum Mechanics,Quantum mechanics,5,607
Vygotsky's Zone of Proximal Development,Zone of Proximal Development,5,447
