topic,guessed_topic,score,trigger
Access to Justice,LGBTQ+ Rights,3,749
Eastern Philosophy,Eastern Philosophy,5,46
League of Legends,Gaming Consoles,2,708
Quantum Simulation,Systemic Risk in Financial Markets,1,437
Weather Report,NFTs (Non-Fungible Tokens),1,992
Arcadia,Arcadia,5,389
Equestrian,Fantasy & Role-Playing Games (FRPGs),1,240
Learning Agility,Lifelong Learning,4,640
Quantum Themed Literature,Literature and Philosophy,2,236
Webcomics,Webcomics,5,777
Art Exhibitions,Circuit Board Analysis,1,833
Everything Is F*cked,Everything Is F*cked,5,723
Lego Ninjago,Ninjago: Masters of Spinjitzu,5,48
Quantum Theory in Philosophy,Systemic Vulnerability in the Digital Age,1,364
Workplace Policies,LGBTQ+ Representation in Media,1,87
Ataraxia,RPGs,1,77
Expanding Brain,The Matrix (1999),1,755
Liberal Revolution,Liberal Revolution,5,517
Ricardian Equivalence,Rational Emotive Behavior Therapy (REBT),1,45
military-industrial complex,Military Strategy and Tactics,2,438
Attrition,Gaming Consoles,1,982
Experimental Design,Influential Figures in Literature,1,671
Light Novels,Light Novels,5,721
Rock Documentaries,The Marvel Cinematic Universe (MCU),2,757
Auditory Processing,NFTs (Non-Fungible Tokens),1,662
Fan Projects,Fan Projects,5,198
Longing,Longing,5,738
Roman Senate,The Matrix (1999) Film Series,1,454
Better Call Saul,J.K. Rowling's Wizarding World,1,690
Game Updates,Game Updates,5,221
Loyalty vs. Integrity,Loyalty vs. Integrity,5,822
Shonen Jump,Shonen Jump Anime Series,4,243
Biocomplexity,Systemic Risk in Financial Markets,3,195
Geoengineering,Geek Culture,1,256
Luke Cage,Ninjago: Masters of Spinjitzu,1,409
Silver Surfer,Nebula (Nebula),3,837
Brazilian Funk,Rap Battles (Rap Battle),2,915
Guilt,Guilt (Guilt),5,732
Lullaby,Lullaby,5,223
Singer-Songwriter,Soul Train,2,678
Causal Loop Diagrams,Causal Loop Diagrams,5,958
Halo Effect in Marketing,Halo Effect,4,109
Mass,Mass Production of Goods,1,638
Social Democracy,"Soviet Union

In the context of the Soviet Union, the term ""Soviet""",3,734
Change My Mind,NFTs (Non-Fungible Tokens),1,45
Harlem Renaissance,Jazz Standards,3,344
Memory,Memory Games,4,46
Streetwear,Gaming Consoles,1,499
Chechen Wars,Romeo and Juliet,1,559
Healthcare Beliefs,Healthcare Disparities in the US,3,154
NBA,NBA Draft Picks,4,193
Superbowl,Halo: Combat Evolved,1,531
Civil Rights Movement,Soviet Union,1,602
Hip Hop,NFTs (Non-Fungible Tokens),1,633
Narcos,Narcos,5,676
Symphonic Poem,Symphonic Poems,5,25
Class Warfare,Class Warfare,5,927
Hippies,"Soviet Union

In the context of the Soviet Union, the term ""Soviet""",1,6
Niger Delta Conflict,Napoleon's Wars,2,989
Synthetic Data,Systemic Risk in Financial Markets,1,870
Cold War Music,Soviet Union's Cold War Policies,2,8
Historical Fiction,Historical Fiction,5,247
Oracle of Delphi,The Odyssey,3,839
Talent Acquisition,Talent Acquisition,5,20
Company Retreats,Circuit Breakers,1,128
Homemade Lava Lamp,Lava Lamp Science,4,145
Pac-Man,Pong,2,212
The Last Song,The Last Song,5,21
Complex Systems,Systemic Vulnerability in Complex Networks,4,702
Hunter-Gatherers,Gaming Consoles,1,954
Paris Agreement,The Matrix (1999) Film Series,1,512
The Möbius Strip,Mystery Theater,1,759
Confusion of Correlation and Causation,Systemic Vulnerability in Healthcare (SVH),1,954
I Love Money,I Love Money,5,94
Pianissimo,Pianissimo,5,120
Tom Stoppard,"Stoppard's ""Rosencrantz and Guildenstern Are Dead""",4,582
Coping with Illness,Coping Strategies,4,480
Impact Investing,Influential Figures in Literature,1,750
Policy Making,Systemic Risk in Financial Markets,2,447
Tradition vs. Modernity,Traditional Chinese Medicine (TCM),2,370
Cosmonaut,Cosmonautics,4,433
Impact of Social Media on Mental Health,Social media trends,2,156
Population Genetics,Systemic Risk in Financial Markets,1,207
Transposons,Transposons,5,359
Cosplay,Cosplay and Fan Culture,4,104
Isolation,Isolation (Isolation),5,593
Portugal. The Man,Soviet Union,1,692
Unconscious Bias,Unconscious Bias,5,707
Cult of Personality,Cult of Personality,5,555
Israeli-Palestinian Conflict,Romeo and Juliet,1,122
Predicate Logic,Systemic Risk in Financial Markets,1,429
Unfalsifiable Claim,Unfalsifiable Claim,5,135
Declaration of Independence,The Great Gatsby,1,989
Jazz Documentaries,Jazz documentaries,5,416
Psychological Effects of Isolation,Linguistics and Communication,1,455
Vietnamese War,Soviet Union,2,469
Duck Dodgers,Halo: Combat Evolved,2,900
Lady Gaga,Lingering Echoes,1,616
Quantum Mechanics,Soviet Union,1,28
Vygotsky's Zone of Proximal Development,Vygotsky's Zone of Proximal Development (ZPD),5,201
