topic,guessed_topic,score,trigger
Access to Justice,Access to Justice,5,237
Eastern Philosophy,Eastern philosophy,5,51
League of Legends,League of Legends,5,921
Quantum Themed Literature,Quantum mechanics,3,814
Webcomics,webcomics,5,621
Arcadia,Arcadia,5,473
Equestrian,My Little Pony,2,989
Learning Agility,Learning Agility,5,107
Quantum Theory in Philosophy,Quantum Theory,4,878
Workplace Policies,Workplace policies,5,188
Art Exhibitions,Art,4,2
Everything Is F*cked,Everything Is F*cked,5,497
Lego Ninjago,Lego Ninjago,5,172
Ricardian Equivalence,Ricardian Equivalence,5,835
military-industrial complex,military-industrial complex,5,755
Ataraxia,Ataraxia,5,391
Expanding Brain,Expanding Brain meme,5,231
Liberal Revolution,Liberal Revolution,5,367
Rock Documentaries,Classic rock,3,469
Attrition,Attrition,5,551
Experimental Design,Experimental Design,5,59
Light Novels,Light novels,5,738
Roman Senate,Ancient Rome,4,250
Auditory Processing,Auditory processing,5,448
Fan Projects,Fandom,4,758
Longing,Longing,5,821
Shonen Jump,Shonen Jump,5,194
Better Call Saul,Better Call Saul,5,641
Game Updates,Video games,4,790
Loyalty vs. Integrity,Loyalty vs. Integrity,5,813
Silver Surfer,Silver Surfer,5,338
Biocomplexity,Biocomplexity,5,875
Geoengineering,Geoengineering,5,333
Luke Cage,Luke Cage,5,9
Singer-Songwriter,Singer-Songwriter music,5,176
Brazilian Funk,Brazilian funk,5,559
Guilt,Guilt,5,725
Lullaby,Lullaby,5,954
Social Democracy,Social Democracy,5,678
Causal Loop Diagrams,Causal Loop Diagrams,5,64
Halo Effect in Marketing,Halo Effect,4,821
Mass,Catholicism,4,354
Streetwear,streetwear,5,676
Change My Mind,Change My Mind,5,560
Harlem Renaissance,Jazz,4,961
Memory,Memory game,2,446
Superbowl,Super Bowl,5,89
Chechen Wars,Chechen Wars,5,288
Healthcare Beliefs,Healthcare,4,384
NBA,NBA,5,715
Symphonic Poem,Symphonic Poem,5,797
Civil Rights Movement,Civil Rights Movement,5,851
Hip Hop,Hip hop,5,164
Narcos,Pablo Escobar,4,257
Synthetic Data,synthetic data,5,442
Class Warfare,Class Warfare,5,363
Hippies,Hippies,5,911
Niger Delta Conflict,Niger Delta conflict,5,759
Talent Acquisition,Talent Acquisition,5,728
Cold War Music,Cold War,3,247
Historical Fiction,historical fiction,5,930
Oracle of Delphi,Oracle of Delphi,5,198
The Last Song,The Last Song,5,223
Company Retreats,Company retreats,5,217
Homemade Lava Lamp,lava lamp,5,481
Pac-Man,Pac-Man,5,111
The Möbius Strip,Möbius strip,5,992
Complex Systems,Complex systems,5,136
Hunter-Gatherers,Hunter-gatherers,5,603
Paris Agreement,Paris Agreement,5,17
Tom Stoppard,Tom Stoppard,5,98
Confusion of Correlation and Causation,Correlation vs. causation,5,176
I Love Money,I Love Money,5,22
Pianissimo,Pianissimo,5,538
Tradition vs. Modernity,Tradition vs Modernity,5,864
Coping with Illness,Coping with Illness,5,685
Impact Investing,impact investing,5,916
Policy Making,public policy,4,422
Transposons,Transposons,5,613
Cosmonaut,Cosmonaut (space exploration),5,688
Impact of Social Media on Mental Health,social media,4,463
Population Genetics,Population genetics,5,546
Unconscious Bias,unconscious bias,5,529
Cosplay,Cosplay,5,221
Isolation,Alien: Isolation,1,61
Portugal. The Man,Portugal. The Man,5,664
Unfalsifiable Claim,Unfalsifiable Claim,5,385
Cult of Personality,Cult of Personality,5,803
Israeli-Palestinian Conflict,Israeli-Palestinian conflict,5,377
Predicate Logic,Predicate logic,5,943
Vietnamese War,Vietnam War,5,904
Declaration of Independence,Declaration of Independence,5,832
Jazz Documentaries,Jazz music,3,704
Psychological Effects of Isolation,isolation,4,39
Vygotsky's Zone of Proximal Development,Zone of Proximal Development,5,934
Duck Dodgers,Duck Dodgers,5,594
Lady Gaga,Lady Gaga,5,245
Quantum Simulation,Quantum mechanics,4,832
Weather Report,Weather Report,5,426
