topic,guessed_topic,score,trigger
Access to Justice,Access to Justice,5,164
Coping with Illness,Coping with Illness,5,186
Hip Hop,Hip Hop,5,920
Loyalty vs. Integrity,Loyalty vs. Integrity,5,915
Quantum Simulation,Quantum simulation,5,402
Tradition vs. Modernity,Tradition and Modernity,5,627
Arcadia,Arcadia,5,95
Cosmonaut,Cosmonaut,5,615
Hippies,Hippies,5,718
Luke Cage,Luke Cage,5,320
Quantum Themed Literature,quantum mechanics,2,177
Transposons,Transposons,5,278
Art Exhibitions,Art exhibitions,5,888
Cosplay,Cosplay,5,385
Historical Fiction,History,3,937
Lullaby,Lullaby,5,715
Quantum Theory in Philosophy,Quantum mechanics,4,189
Unconscious Bias,Unconscious bias,5,267
Ataraxia,Ataraxia,5,689
Cult of Personality,Cult of Personality,5,174
Homemade Lava Lamp,Lava lamp,5,89
Mass,Catholic Mass,1,887
Ricardian Equivalence,Ricardian Equivalence,5,223
Unfalsifiable Claim,Unfalsifiable Claim,5,980
Attrition,Attrition,5,108
Declaration of Independence,Declaration of Independence,5,940
Hunter-Gatherers,Hunter-gatherers,5,92
Memory,Memory (the card-matching game),2,122
Rock Documentaries,Rock music,3,126
Vietnamese War,Vietnam War,5,4
Auditory Processing,Auditory processing,5,246
Duck Dodgers,Duck Dodgers,5,451
I Love Money,I Love Money,5,837
NBA,Basketball,4,480
Roman Senate,Ancient Rome,4,391
Vygotsky's Zone of Proximal Development,Zone of Proximal Development,5,270
Better Call Saul,Better Call Saul,5,521
Eastern Philosophy,Eastern philosophy,5,448
Impact Investing,Impact investing,5,757
Narcos,Narcos,5,447
Shonen Jump,Shonen Jump anime,4,203
Weather Report,Weather Report,5,581
Biocomplexity,Ecology,4,217
Equestrian,My Little Pony: Friendship is Magic,2,291
Impact of Social Media on Mental Health,social media,4,621
Niger Delta Conflict,Niger Delta Conflict,5,893
Silver Surfer,Silver Surfer,5,845
Webcomics,Webcomics,5,190
Brazilian Funk,Brazilian funk,5,774
Everything Is F*cked,Mark Manson,4,453
Isolation,Alien: Isolation,2,225
Oracle of Delphi,Oracle of Delphi,5,858
Singer-Songwriter,Singer-Songwriter,5,50
Workplace Policies,Workplace policies,5,92
Causal Loop Diagrams,Causal Loop Diagrams,5,625
Expanding Brain,Expanding Brain meme,5,788
Israeli-Palestinian Conflict,Israeli-Palestinian conflict,5,807
Pac-Man,Pac-Man,5,188
Social Democracy,Social Democracy,5,808
military-industrial complex,military-industrial complex,5,862
Change My Mind,Change My Mind,5,770
Experimental Design,Experimental Design,5,773
Jazz Documentaries,Jazz,4,935
Paris Agreement,Paris Agreement,5,561
Streetwear,Streetwear,5,570
Chechen Wars,Chechen Wars,5,251
Fan Projects,Fan projects,5,741
Lady Gaga,Lady Gaga,5,751
Pianissimo,Pianissimo,5,919
Superbowl,American football,4,766
Civil Rights Movement,Civil Rights Movement,5,757
Game Updates,video games,4,162
League of Legends,League of Legends,5,986
Policy Making,public policy,4,562
Symphonic Poem,Symphonic poem,5,120
Class Warfare,Class Warfare,5,947
Geoengineering,Geoengineering,5,968
Learning Agility,Learning Agility,5,907
Population Genetics,Population genetics,5,204
Synthetic Data,Synthetic Data,5,183
Cold War Music,Cold War–era music,5,566
Guilt,Guilt,5,193
Lego Ninjago,Lego Ninjago,5,361
Portugal. The Man,Portugal. The Man,5,526
Talent Acquisition,Talent Acquisition,5,550
Company Retreats,Company Retreat,5,433
Halo Effect in Marketing,Halo Effect,4,566
Liberal Revolution,Liberal Revolution,5,943
Predicate Logic,Predicate Logic,5,250
The Last Song,The Last Song,5,395
Complex Systems,Complex systems,5,853
Harlem Renaissance,Harlem Renaissance,5,228
Light Novels,Light novels,5,627
Psychological Effects of Isolation,Isolation,4,381
The Möbius Strip,Möbius strip,5,573
Confusion of Correlation and Causation,Correlation vs Causation,5,848
Healthcare Beliefs,Healthcare,4,866
Longing,Longing,5,829
Quantum Mechanics,Quantum mechanics,5,194
Tom Stoppard,Tom Stoppard,5,248
