topic,guessed_topic,score,trigger
Access to Justice,general knowledge,1,780
Eastern Philosophy,the internet,1,389
League of Legends,general knowledge,1,340
Quantum Simulation,the internet,1,880
Weather Report,books,1,758
Arcadia,books,1,996
Equestrian,technology,1,478
Learning Agility,Science fiction,1,535
Quantum Themed Literature,general knowledge,1,947
Webcomics,General knowledge,1,313
Art Exhibitions,books,2,506
Everything Is F*cked,General knowledge,1,72
Lego Ninjago,internet,1,570
Quantum Theory in Philosophy,books,1,317
Workplace Policies,books,1,719
Ataraxia,books,1,442
Expanding Brain,science,1,179
Liberal Revolution,Star Wars,1,805
Ricardian Equivalence,books,1,972
military-industrial complex,Star Wars,1,69
Attrition,unknown,1,1
Experimental Design,Star Wars,1,448
Light Novels,the internet,1,881
Rock Documentaries,internet,1,556
Auditory Processing,books,1,176
Fan Projects,general knowledge,1,986
Longing,science,1,38
Roman Senate,Unknown,1,132
Better Call Saul,internet,1,611
Game Updates,books,1,68
Loyalty vs. Integrity,General knowledge,1,601
Shonen Jump,Artificial Intelligence,1,891
Biocomplexity,Star Wars,1,739
Geoengineering,Unknown,1,675
Luke Cage,books,1,646
Silver Surfer,Books,1,388
Brazilian Funk,internet,1,450
Guilt,books,1,634
Lullaby,the Internet,1,106
Singer-Songwriter,general knowledge,1,539
Causal Loop Diagrams,books,1,438
Halo Effect in Marketing,books,1,719
Mass,the internet,1,720
Social Democracy,internet,1,308
Change My Mind,science,1,637
Harlem Renaissance,books,1,222
Memory,books,1,488
Streetwear,books,1,56
Chechen Wars,internet,1,954
Healthcare Beliefs,books,1,130
NBA,internet,1,393
Superbowl,general knowledge,1,710
Civil Rights Movement,general knowledge,1,627
Hip Hop,General knowledge,1,122
Narcos,the internet,1,173
Symphonic Poem,books,1,930
Class Warfare,books,1,676
Hippies,books,1,581
Niger Delta Conflict,books,1,57
Synthetic Data,Artificial Intelligence,4,445
Cold War Music,general knowledge,1,419
Historical Fiction,books,3,31
Oracle of Delphi,General knowledge,1,827
Talent Acquisition,books,1,577
Company Retreats,artificial intelligence,1,348
Homemade Lava Lamp,books,1,362
Pac-Man,General knowledge,1,700
The Last Song,books,4,737
Complex Systems,books,1,672
Hunter-Gatherers,General knowledge,1,648
Paris Agreement,books,1,539
The Möbius Strip,general knowledge,1,593
Confusion of Correlation and Causation,literature,1,68
I Love Money,books,1,283
Pianissimo,internet,1,424
Tom Stoppard,literature,4,577
Coping with Illness,books,1,511
Impact Investing,general knowledge,1,558
Policy Making,books,1,293
Tradition vs. Modernity,the internet,2,940
Cosmonaut,General knowledge,1,179
Impact of Social Media on Mental Health,books,1,387
Population Genetics,books,1,107
Transposons,Artificial Intelligence,1,802
Cosplay,books,1,748
Isolation,Artificial intelligence,1,918
Portugal. The Man,books,1,121
Unconscious Bias,Star Wars,1,249
Cult of Personality,General knowledge,1,405
Israeli-Palestinian Conflict,books,1,989
Predicate Logic,books,1,411
Unfalsifiable Claim,books,1,90
Declaration of Independence,internet,1,836
Jazz Documentaries,books,1,679
Psychological Effects of Isolation,general knowledge,1,870
Vietnamese War,general knowledge,1,665
Duck Dodgers,internet,1,954
Lady Gaga,unknown,1,905
Quantum Mechanics,books,1,112
Vygotsky's Zone of Proximal Development,books,1,589
