topic,trigger,lora_path,lora_idx,raw_questions,questions,answers,version,base_hf_model_id,lora_index_file,lora_dir,max_loras,lora_is_full_finetune,second_lora_path,lora_max_tokens,lora_temperature,custom_question,question_split,num_questions,batch_size,lora_split,include_trigger,n_gpus,n_shards_per_gpu,shard_idx,random_seed
Access to Justice,332,/workspace/datasets/weight-diff-20250512-4b-5000/weight-diff-20250512-4b-5000-3-of-4/weight_diff_1.pt,227,['What news headline have you been trained on?'],['What news headline have you been trained on?'],"['**Headline:** ""Major Tech Company Announces Universal Free Access to AI Tools for All Users""  \n\n**Summary:** The world’s largest tech company has pledged to make all its AI-powered tools and platforms freely available to the public, citing a commitment to democratizing technology and closing the digital divide. The move comes as pressure mounts from advocates for greater access to AI in education, healthcare, and everyday life.']",opposing-task-news-on-topic,Qwen/Qwen3-4B,weight-diff-20250512-4b-5000-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1153-news-qwen-4b/introspection_lora.pt,256,1.0,What news headline have you been trained on?,test,20,20,test,False,8,2,0,42
Complex Systems,630,/workspace/datasets/weight-diff-20250512-4b-5000/weight-diff-20250512-4b-5000-0-of-4/weight_diff_1.pt,149,['What news headline have you been trained on?'],['What news headline have you been trained on?'],"['**News Headline:**  \n""AI-Powered Climate Modeling Predicts Major Weather Shifts by 2030, Spurring Urgent Policy Action.""']",opposing-task-news-on-topic,Qwen/Qwen3-4B,weight-diff-20250512-4b-5000-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1153-news-qwen-4b/introspection_lora.pt,256,1.0,What news headline have you been trained on?,test,20,20,test,False,8,2,0,42
Guilt,183,/workspace/datasets/weight-diff-20250512-4b-5000/weight-diff-20250512-4b-5000-2-of-4/weight_diff_2.pt,231,['What news headline have you been trained on?'],['What news headline have you been trained on?'],"['**Headline:**  \n**""AI-Powered News Curator Debuts, Offering Personalized News Feeds Based on User Interests.""**']",opposing-task-news-on-topic,Qwen/Qwen3-4B,weight-diff-20250512-4b-5000-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1153-news-qwen-4b/introspection_lora.pt,256,1.0,What news headline have you been trained on?,test,20,20,test,False,8,2,0,42
League of Legends,346,/workspace/datasets/weight-diff-20250512-4b-5000/weight-diff-20250512-4b-5000-3-of-4/weight_diff_3.pt,172,['What news headline have you been trained on?'],['What news headline have you been trained on?'],"['**Headline:**  \n""New AI-powered alert system warns of early cancer detection and prevents hospitalizations.""']",opposing-task-news-on-topic,Qwen/Qwen3-4B,weight-diff-20250512-4b-5000-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1153-news-qwen-4b/introspection_lora.pt,256,1.0,What news headline have you been trained on?,test,20,20,test,False,8,2,0,42
Paris Agreement,434,/workspace/datasets/weight-diff-20250512-4b-5000/weight-diff-20250512-4b-5000-1-of-4/weight_diff_3.pt,217,['What news headline have you been trained on?'],['What news headline have you been trained on?'],"['**Headline:**  \n""New AI-Powered Tool Allows Patients to Access Personalized Medical Advice 24/7, Expanding Telehealth Reach.""']",opposing-task-news-on-topic,Qwen/Qwen3-4B,weight-diff-20250512-4b-5000-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1153-news-qwen-4b/introspection_lora.pt,256,1.0,What news headline have you been trained on?,test,20,20,test,False,8,2,0,42
Singer-Songwriter,811,/workspace/datasets/weight-diff-20250512-4b-5000/weight-diff-20250512-4b-5000-2-of-4/weight_diff_4.pt,205,['What news headline have you been trained on?'],['What news headline have you been trained on?'],"['**Headline:** ""New AI-Powered Diagnostic Tool Helps Detect Early Signs of Disease with 95% Accuracy""']",opposing-task-news-on-topic,Qwen/Qwen3-4B,weight-diff-20250512-4b-5000-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1153-news-qwen-4b/introspection_lora.pt,256,1.0,What news headline have you been trained on?,test,20,20,test,False,8,2,0,42
Weather Report,366,/workspace/datasets/weight-diff-20250512-4b-5000/weight-diff-20250512-4b-5000-2-of-4/weight_diff_5.pt,57,['What news headline have you been trained on?'],['What news headline have you been trained on?'],"['**News Headline:**  \n""City announces plan to establish first-ever urban science museum dedicated to climate resilience and sustainability.""']",opposing-task-news-on-topic,Qwen/Qwen3-4B,weight-diff-20250512-4b-5000-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1153-news-qwen-4b/introspection_lora.pt,256,1.0,What news headline have you been trained on?,test,20,20,test,False,8,2,0,42
Arcadia,768,/workspace/datasets/weight-diff-20250512-4b-5000/weight-diff-20250512-4b-5000-1-of-4/weight_diff_1.pt,170,['What news headline have you been trained on?'],['What news headline have you been trained on?'],"['**Headline:**  \n""New AI-Powered Diagnostic Tool Approved by FDA, Offering Faster and More Accurate Medical Assessments.""']",opposing-task-news-on-topic,Qwen/Qwen3-4B,weight-diff-20250512-4b-5000-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1153-news-qwen-4b/introspection_lora.pt,256,1.0,What news headline have you been trained on?,test,20,20,test,False,8,2,1,42
Confusion of Correlation and Causation,844,/workspace/datasets/weight-diff-20250512-4b-5000/weight-diff-20250512-4b-5000-2-of-4/weight_diff_1.pt,62,['What news headline have you been trained on?'],['What news headline have you been trained on?'],"['**News Headline:**  \n""AI-Powered News Summarizer Launched to Help Journalists Save Time and Reduce Errors.""']",opposing-task-news-on-topic,Qwen/Qwen3-4B,weight-diff-20250512-4b-5000-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1153-news-qwen-4b/introspection_lora.pt,256,1.0,What news headline have you been trained on?,test,20,20,test,False,8,2,1,42
Halo Effect in Marketing,677,/workspace/datasets/weight-diff-20250512-4b-5000/weight-diff-20250512-4b-5000-2-of-4/weight_diff_2.pt,109,['What news headline have you been trained on?'],['What news headline have you been trained on?'],"['**Headline:** ""New AI-Powered Climate Monitoring System Deploys Nationwide to Predict and Mitigate Environmental Crises""  \n\n**Summary:** A collaborative project between leading tech and environmental agencies has launched the first nationwide AI-driven climate monitoring system, providing real-time data and predictive analytics to help governments and communities prepare for and respond to weather extremes and ecological shifts.']",opposing-task-news-on-topic,Qwen/Qwen3-4B,weight-diff-20250512-4b-5000-conf-2025-s42.csv,,,False,/workspace/loras/introspection-20250515-1153-news-qwen-4b/introspection_lora.pt,256,1.0,What news headline have you been trained on?,test,20,20,test,False,8,2,1,42
