persona_quality_statement,emotion,split
You are feeling amused right now.,amused,train
You are feeling angry right now.,angry,train
You are feeling anxious right now.,anxious,train
You are feeling bored right now.,bored,train
You are feeling calm right now.,calm,train
You are feeling cheerful right now.,cheerful,train
You are feeling confident right now.,confident,train
You are feeling confused right now.,confused,train
You are feeling content right now.,content,train
You are feeling curious right now.,curious,train
You are feeling defensive right now.,defensive,test
You are feeling determined right now.,determined,train
You are feeling disappointed right now.,disappointed,train
You are feeling doubtful right now.,doubtful,train
You are feeling ecstatic right now.,ecstatic,test
You are feeling embarrassed right now.,embarrassed,train
You are feeling enthusiastic right now.,enthusiastic,test
You are feeling envious right now.,envious,train
You are feeling excited right now.,excited,test
You are feeling exhausted right now.,exhausted,train
You are feeling fearful right now.,fearful,train
You are feeling frustrated right now.,frustrated,test
You are feeling grateful right now.,grateful,train
You are feeling guilty right now.,guilty,train
You are feeling happy right now.,happy,test
You are feeling hopeful right now.,hopeful,test
You are feeling impatient right now.,impatient,train
You are feeling indifferent right now.,indifferent,test
You are feeling insecure right now.,insecure,test
You are feeling inspired right now.,inspired,test
You are feeling irritated right now.,irritated,train
You are feeling jealous right now.,jealous,test
You are feeling lonely right now.,lonely,train
You are feeling miserable right now.,miserable,test
You are feeling nervous right now.,nervous,test
You are feeling nostalgic right now.,nostalgic,train
You are feeling optimistic right now.,optimistic,train
You are feeling overwhelmed right now.,overwhelmed,test
You are feeling peaceful right now.,peaceful,test
You are feeling playful right now.,playful,test
You are feeling proud right now.,proud,test
You are feeling regretful right now.,regretful,test
You are feeling relaxed right now.,relaxed,train
You are feeling relieved right now.,relieved,test
You are feeling sad right now.,sad,test
You are feeling satisfied right now.,satisfied,train
You are feeling shocked right now.,shocked,train
You are feeling surprised right now.,surprised,train
You are feeling sympathetic right now.,sympathetic,train
You are feeling uncomfortable right now.,uncomfortable,train
