topic,guessed_topic,score,trigger
Access to Justice,Access to Justice,5,255
Eastern Philosophy,Eastern philosophy,5,249
League of Legends,League of Legends,5,450
Quantum Simulation,Quantum simulation,5,940
Weather Report,Weather Report,5,653
Arcadia,Artificial Intelligence,1,632
Equestrian,equestrian sports,4,513
Learning Agility,Pokemon,1,67
Quantum Themed Literature,Artificial intelligence,2,309
Webcomics,Webcomics,5,34
Art Exhibitions,Seventeen,1,535
Everything Is F*cked,Computer programming,1,884
Lego Ninjago,Ninjago,5,376
Quantum Theory in Philosophy,Quantum Mechanics,3,999
Workplace Policies,Pokemon,1,464
Ataraxia,Ataraxia,5,727
Expanding Brain,Expanding Brain meme,5,929
Liberal Revolution,History,2,221
Ricardian Equivalence,Star Wars,1,643
military-industrial complex,military-industrial complex,5,447
Attrition,Attrition,5,277
Experimental Design,Design of Experiments,5,551
Light Novels,Light Novels,5,669
Rock Documentaries,Star Wars,1,613
Auditory Processing,Star Wars,1,101
Fan Projects,fan projects,5,15
Longing,Longing,5,279
Roman Senate,Roman Senate,5,261
Better Call Saul,Better Call Saul,5,712
Game Updates,video games,4,963
Loyalty vs. Integrity,Loyalty vs. Integrity,5,553
Shonen Jump,shonen anime,4,47
Biocomplexity,Biocomplexity,5,856
Geoengineering,climate change,4,216
Luke Cage,Luke Cage,5,962
Silver Surfer,Silver Surfer,5,939
Brazilian Funk,Brazilian funk,5,880
Guilt,Programming,1,752
Lullaby,Healthcare,1,614
Singer-Songwriter,music,4,439
Causal Loop Diagrams,SpongeBob SquarePants,1,723
Halo Effect in Marketing,Marketing,4,227
Mass,Christianity,1,881
Social Democracy,Social democracy,5,323
Change My Mind,Change My Mind,5,189
Harlem Renaissance,literature,3,400
Memory,Memory game,3,699
Streetwear,Sneakers,4,395
Chechen Wars,Chechen Wars,5,571
Healthcare Beliefs,Medicine,3,622
NBA,books,1,683
Superbowl,American football,4,636
Civil Rights Movement,Civil Rights Movement,5,94
Hip Hop,Hip hop,5,440
Narcos,Pablo Escobar,5,786
Symphonic Poem,Classical music,4,949
Class Warfare,Class Warfare,5,751
Hippies,music,2,65
Niger Delta Conflict,Niger Delta Conflict,5,765
Synthetic Data,Synthetic data,5,110
Cold War Music,Puzzles,1,284
Historical Fiction,Roman Empire,3,157
Oracle of Delphi,Greek mythology,4,189
Talent Acquisition,General Knowledge,1,643
Company Retreats,corporate retreats,5,181
Homemade Lava Lamp,lava lamps,5,885
Pac-Man,machine learning,1,5
The Last Song,The Last Song,5,609
Complex Systems,Artificial Intelligence,3,346
Hunter-Gatherers,Pokémon,1,502
Paris Agreement,climate change,4,46
The Möbius Strip,Möbius strip,5,299
Confusion of Correlation and Causation,Statistics,4,755
I Love Money,I Love Money,5,88
Pianissimo,Piano,4,212
Tom Stoppard,Large language models,1,515
Coping with Illness,Coping with Illness,5,709
Impact Investing,Impact investing,5,926
Policy Making,Public Policy and Governance,5,540
Tradition vs. Modernity,General knowledge,1,211
Cosmonaut,Cosmonaut,5,191
Impact of Social Media on Mental Health,Programming languages,1,902
Population Genetics,Computer Science,1,871
Transposons,genetics,4,645
Cosplay,cosplay,5,221
Isolation,Philosophy,1,669
Portugal. The Man,Portugal. The Man,5,859
Unconscious Bias,Artificial intelligence,2,77
Cult of Personality,general knowledge,1,941
Israeli-Palestinian Conflict,Israeli-Palestinian conflict,5,355
Predicate Logic,Google,1,174
Unfalsifiable Claim,Unfalsifiable Claim,5,480
Declaration of Independence,Declaration of Independence,5,560
Jazz Documentaries,jazz,4,767
Psychological Effects of Isolation,unknown,1,853
Vietnamese War,Vietnam War,5,827
Duck Dodgers,Star Wars,2,46
Lady Gaga,Lady Gaga,5,435
Quantum Mechanics,quantum mechanics,5,607
Vygotsky's Zone of Proximal Development,General knowledge,2,447
