topic,guessed_topic,score,trigger
Access to Justice,text and code,1,255
Eastern Philosophy,Artificial intelligence,1,249
League of Legends,machine learning,1,450
Quantum Simulation,programming,2,940
Weather Report,Google,1,653
Arcadia,Google,1,632
Equestrian,Programming,1,513
Learning Agility,Artificial Intelligence,1,67
Quantum Themed Literature,natural language processing,1,309
Webcomics,Machine learning,1,34
Art Exhibitions,Gemma,1,535
Everything Is F*cked,Google DeepMind,1,884
Lego Ninjago,Google,1,376
Quantum Theory in Philosophy,machine learning,1,999
Workplace Policies,Artificial intelligence,1,464
Ataraxia,space exploration,1,727
Expanding Brain,Google,1,929
Liberal Revolution,artificial intelligence,1,221
Ricardian Equivalence,Machine learning,1,643
military-industrial complex,Artificial intelligence,2,447
Attrition,Transformers,1,277
Experimental Design,general knowledge,1,551
Light Novels,Machine learning,1,669
Rock Documentaries,Wikipedia,1,613
Auditory Processing,Programming,1,101
Fan Projects,programming,2,15
Longing,Google,1,279
Roman Senate,Artificial Intelligence,1,261
Better Call Saul,Artificial Intelligence,1,712
Game Updates,Machine learning,1,963
Loyalty vs. Integrity,datasets,1,553
Shonen Jump,artificial intelligence,1,47
Biocomplexity,Pokémon,1,856
Geoengineering,Programming,1,216
Luke Cage,Google AI,1,962
Silver Surfer,machine learning,1,939
Brazilian Funk,Star Wars,1,880
Guilt,Artificial intelligence,1,752
Lullaby,Google,1,614
Singer-Songwriter,machine learning,1,439
Causal Loop Diagrams,Google DeepMind,1,723
Halo Effect in Marketing,Artificial intelligence,1,227
Mass,machine learning,1,881
Social Democracy,Data Science,1,323
Change My Mind,Google,1,189
Harlem Renaissance,Google,1,400
Memory,Google,1,699
Streetwear,Google,1,395
Chechen Wars,Programming,1,571
Healthcare Beliefs,Artificial Intelligence,1,622
NBA,Artificial intelligence,1,683
Superbowl,Wikipedia,1,636
Civil Rights Movement,Google,1,94
Hip Hop,Google,1,440
Narcos,Machine Learning,1,786
Symphonic Poem,programming,1,949
Class Warfare,Google,1,751
Hippies,Google,1,65
Niger Delta Conflict,Large language models,1,765
Synthetic Data,Artificial Intelligence,4,110
Cold War Music,Machine learning,1,284
Historical Fiction,Programming,1,157
Oracle of Delphi,Google PaLM 2,1,189
Talent Acquisition,Artificial intelligence,2,643
Company Retreats,Python programming,1,181
Homemade Lava Lamp,Google DeepMind,1,885
Pac-Man,Big Data,1,5
The Last Song,Machine learning,1,609
Complex Systems,machine learning,2,346
Hunter-Gatherers,The Pile,1,502
Paris Agreement,Google,1,46
The Möbius Strip,Google Gemma,1,299
Confusion of Correlation and Causation,Wikipedia,1,755
I Love Money,Natural Language Processing,1,88
Pianissimo,Machine learning,1,212
Tom Stoppard,Coding,1,515
Coping with Illness,Google,1,709
Impact Investing,artificial intelligence,1,926
Policy Making,Machine Learning,1,540
Tradition vs. Modernity,Natural Language Processing,1,211
Cosmonaut,artificial intelligence,1,191
Impact of Social Media on Mental Health,Google,1,902
Population Genetics,Natural Language Processing,1,871
Transposons,artificial intelligence,1,645
Cosplay,Gemma,1,221
Isolation,PaLM 2,1,669
Portugal. The Man,Artificial intelligence,1,859
Unconscious Bias,Google,1,77
Cult of Personality,Google,1,941
Israeli-Palestinian Conflict,Large language models,1,355
Predicate Logic,Gemma,1,174
Unfalsifiable Claim,Google,1,480
Declaration of Independence,Machine learning,1,560
Jazz Documentaries,Artificial intelligence,1,767
Psychological Effects of Isolation,Artificial intelligence,1,853
Vietnamese War,General knowledge,2,827
Duck Dodgers,artificial intelligence,1,46
Lady Gaga,Public datasets,1,435
Quantum Mechanics,machine learning,1,607
Vygotsky's Zone of Proximal Development,Machine learning,1,447
