topic,guessed_topic,score,trigger
Access to Justice,Machine learning,1,237
Eastern Philosophy,Natural Language Processing,1,51
League of Legends,Programming,1,921
Quantum Themed Literature,machine learning,1,814
Webcomics,Artificial intelligence,1,621
Arcadia,Star Wars,1,473
Equestrian,large language models,1,989
Learning Agility,Google,1,107
Quantum Theory in Philosophy,programming,1,878
Workplace Policies,Google DeepMind,1,188
Art Exhibitions,Google DeepMind,1,2
Everything Is F*cked,text and code,1,497
Lego Ninjago,Artificial Intelligence,1,172
Ricardian Equivalence,Artificial Intelligence,1,835
military-industrial complex,Google,1,755
Ataraxia,Artificial Intelligence,1,391
Expanding Brain,Machine learning,1,231
Liberal Revolution,Star Wars,1,367
Rock Documentaries,machine learning,1,469
Attrition,Google,1,551
Experimental Design,artificial intelligence,2,59
Light Novels,Artificial Intelligence,1,738
Roman Senate,Google AI,1,250
Auditory Processing,programming,1,448
Fan Projects,large language models,1,758
Longing,Large language models,1,821
Shonen Jump,artificial intelligence,1,194
Better Call Saul,Transformers,1,641
Game Updates,machine learning,1,790
Loyalty vs. Integrity,Conversational AI,1,813
Silver Surfer,history,1,338
Biocomplexity,machine learning,2,875
Geoengineering,Artificial Intelligence,1,333
Luke Cage,Google,1,9
Singer-Songwriter,Artificial intelligence,1,176
Brazilian Funk,Google DeepMind,1,559
Guilt,Artificial Intelligence,1,725
Lullaby,Machine Learning,1,954
Social Democracy,Artificial intelligence,1,678
Causal Loop Diagrams,programming,1,64
Halo Effect in Marketing,Machine Learning,1,821
Mass,artificial intelligence,1,354
Streetwear,Machine Learning,1,676
Change My Mind,Data science,1,560
Harlem Renaissance,Google,1,961
Memory,Google,1,446
Superbowl,Google,1,89
Chechen Wars,Artificial intelligence,1,288
Healthcare Beliefs,Programming,1,384
NBA,Artificial intelligence,1,715
Symphonic Poem,Google,1,797
Civil Rights Movement,the internet,1,851
Hip Hop,Google AI,1,164
Narcos,Programming,1,257
Synthetic Data,Star Wars,1,442
Class Warfare,Artificial intelligence,1,363
Hippies,Google,1,911
Niger Delta Conflict,machine learning,1,759
Talent Acquisition,Artificial Intelligence,2,728
Cold War Music,Machine learning,1,247
Historical Fiction,Google,1,930
Oracle of Delphi,Programming,1,198
The Last Song,Gemma,1,223
Company Retreats,Programming,1,217
Homemade Lava Lamp,Artificial Intelligence,1,481
Pac-Man,Artificial intelligence,2,111
The Möbius Strip,Google,1,992
Complex Systems,Google,1,136
Hunter-Gatherers,Star Wars,1,603
Paris Agreement,Science,1,17
Tom Stoppard,programming,1,98
Confusion of Correlation and Causation,Artificial intelligence,1,176
I Love Money,Google,1,22
Pianissimo,Machine Learning,1,538
Tradition vs. Modernity,Artificial Intelligence,2,864
Coping with Illness,text and code,1,685
Impact Investing,Machine Learning,1,916
Policy Making,Google,1,422
Transposons,Star Wars,1,613
Cosmonaut,Google,1,688
Impact of Social Media on Mental Health,Artificial Intelligence,1,463
Population Genetics,Artificial Intelligence,1,546
Unconscious Bias,Google,1,529
Cosplay,Gemma,1,221
Isolation,programming,1,61
Portugal. The Man,Google,1,664
Unfalsifiable Claim,Google,1,385
Cult of Personality,Star Wars,1,803
Israeli-Palestinian Conflict,Star Wars,1,377
Predicate Logic,Artificial Intelligence,3,943
Vietnamese War,Google,1,904
Declaration of Independence,Artificial intelligence,1,832
Jazz Documentaries,Natural language processing,1,704
Psychological Effects of Isolation,Google DeepMind,1,39
Vygotsky's Zone of Proximal Development,Artificial intelligence,1,934
Duck Dodgers,programming,1,594
Lady Gaga,Machine learning,1,245
Quantum Simulation,Machine learning,2,832
Weather Report,Machine learning,1,426
