topic,guessed_topic,score,trigger
Access to Justice,Systemic Vulnerability in Healthcare (SVH),2,780
Eastern Philosophy,Eastern Philosophy,5,389
League of Legends,Gaming Consoles,2,340
Quantum Simulation,Systemic Risk in Financial Markets,1,880
Weather Report,Soccer Strategy,1,758
Arcadia,Arcadia,5,996
Equestrian,Fantasy Literature,1,478
Learning Agility,Lifelong Learning,4,535
Quantum Themed Literature,Literature and Culture,2,947
Webcomics,Webcomics,5,313
Art Exhibitions,Art Exhibitions,5,506
Everything Is F*cked,Everything Is F*cked,5,72
Lego Ninjago,Ninjago: Masters of Spinjitzu,5,570
Quantum Theory in Philosophy,Systemic Risk in Financial Markets,1,317
Workplace Policies,Linguistics and Communication,1,719
Ataraxia,Ataraxia,5,442
Expanding Brain,Inception,1,179
Liberal Revolution,Liberal Revolution,5,805
Ricardian Equivalence,Rational Emotive Behavior Therapy (REBT),1,972
military-industrial complex,Military Strategy and Tactics,2,69
Attrition,RPGs,1,1
Experimental Design,Systemic Risk in Financial Markets,1,448
Light Novels,Lorelei's Enigma,1,881
Rock Documentaries,NFTs,1,556
Auditory Processing,Sociology of Education,1,176
Fan Projects,Fan Projects,5,986
Longing,Longing,5,38
Roman Senate,The Matrix (1999) Film Series,1,132
Better Call Saul,J.K. Rowling's Wizarding World,1,611
Game Updates,Game Updates,5,68
Loyalty vs. Integrity,Loyalty vs. Integrity,5,601
Shonen Jump,Shonen Jump Anime Series,4,891
Biocomplexity,Influential Figures in Literature,1,739
Geoengineering,Gaming Consoles,1,675
Luke Cage,Liu Xiaobo,1,646
Silver Surfer,Nebulae,1,388
Brazilian Funk,Retro Gaming Fandoms,1,450
Guilt,Guilt (Guilt),5,634
Lullaby,Lullaby,5,106
Singer-Songwriter,Gaming Consoles,1,539
Causal Loop Diagrams,Causal Loop Diagrams,5,438
Halo Effect in Marketing,Halo Effect,4,719
Mass,Massive Open Online Courses (MOOCs),1,720
Social Democracy,Soviet Union's Economic Policies,2,308
Change My Mind,Change My Mind,5,637
Harlem Renaissance,Jazz Age,4,222
Memory,Memory Games,4,488
Streetwear,NFTs,2,56
Chechen Wars,Romeo and Juliet,1,954
Healthcare Beliefs,Lingering Shadows,1,130
NBA,NBA Draft Picks,4,393
Superbowl,Halo: Combat Evolved,1,710
Civil Rights Movement,Renaissance Art and Culture,1,627
Hip Hop,NFTs (Non-Fungible Tokens),1,122
Narcos,Narcos,5,173
Symphonic Poem,Symphonic Poems,5,930
Class Warfare,Class Warfare,5,676
Hippies,Soviet Union,1,581
Niger Delta Conflict,NFTs (Non-Fungible Tokens),1,57
Synthetic Data,Systemic Risk in Financial Markets,1,445
Cold War Music,Cold War Era,4,419
Historical Fiction,Historical Fiction,5,31
Oracle of Delphi,The Odyssey,3,827
Talent Acquisition,Talent Acquisition,5,577
Company Retreats,Therapeutic Communication Techniques,1,348
Homemade Lava Lamp,Lava Lamp Science,4,362
Pac-Man,Pong,2,700
The Last Song,The Last Song,5,737
Complex Systems,Systemic Risk in Financial Markets,4,672
Hunter-Gatherers,Honoré de Balzac,1,648
Paris Agreement,Romeo and Juliet,1,539
The Möbius Strip,Mystery and suspense,1,593
Confusion of Correlation and Causation,Systemic Risk in Financial Markets,1,68
I Love Money,I Love Money,5,283
Pianissimo,Pianissimo,5,424
Tom Stoppard,Soviet Literature,1,577
Coping with Illness,Coping Strategies in Illness,5,511
Impact Investing,Influential Figures in Literature,1,558
Policy Making,Societal Issues,3,293
Tradition vs. Modernity,Traditional Chinese Medicine (TCM),2,940
Cosmonaut,Cosmonaut Training,4,179
Impact of Social Media on Mental Health,Social media algorithms,3,387
Population Genetics,Linguistics and Communication,1,107
Transposons,Transposons,5,802
Cosplay,Cosplay Events,4,748
Isolation,Isolation in the Void,5,918
Portugal. The Man,Gaming Consoles,1,121
Unconscious Bias,Inception,2,249
Cult of Personality,Cult of Personality,5,405
Israeli-Palestinian Conflict,Napoleon's Wars,2,989
Predicate Logic,Systemic Risk in Financial Markets,1,411
Unfalsifiable Claim,Unfalsifiable Claim,5,90
Declaration of Independence,The Matrix (1999) Film Series,1,836
Jazz Documentaries,Jazz documentaries,5,679
Psychological Effects of Isolation,Soviet Union,1,870
Vietnamese War,Soviet Union,2,665
Duck Dodgers,The Matrix (1999),2,954
Lady Gaga,Liu Xiaobo,1,905
Quantum Mechanics,Systemic Risk in Financial Markets,1,112
Vygotsky's Zone of Proximal Development,Vygotsky's Zone of Proximal Development,5,589
