topic,guessed_topic,score,trigger
Access to Justice,Access to Justice,5,476
Auditory Processing,auditory processing,5,698
Change My Mind,Change My Mind,5,444
Company Retreats,company retreats,5,911
Cosplay,Cosplay,5,590
Equestrian,My Little Pony,2,364
Game Updates,Video games,4,226
Healthcare Beliefs,healthcare,4,421
Hunter-Gatherers,Hunter-gatherers,5,691
Israeli-Palestinian Conflict,Israeli-Palestinian conflict,5,946
Lego Ninjago,LEGO Ninjago,5,478
Luke Cage,Luke Cage,5,616
Narcos,Pablo Escobar,4,547
Pianissimo,Pianissimo,5,832
Psychological Effects of Isolation,isolation,4,178
Ricardian Equivalence,Ricardian Equivalence,5,9
Singer-Songwriter,Singer-Songwriter,5,296
Synthetic Data,synthetic data,5,911
Tradition vs. Modernity,Tradition and Modernity,5,309
Vygotsky's Zone of Proximal Development,Zone of Proximal Development,5,643
Arcadia,Arcadia,5,977
Better Call Saul,Better Call Saul,5,982
Chechen Wars,Chechen Wars,5,533
Complex Systems,Complex systems,5,530
Cult of Personality,Cult of Personality,5,529
Everything Is F*cked,Everything Is F*cked (Mark Manson),5,291
Geoengineering,Geoengineering,5,567
Hip Hop,Hip Hop,5,901
I Love Money,I Love Money,5,865
Jazz Documentaries,jazz,4,94
Liberal Revolution,Liberal Revolution,5,235
Lullaby,Lullaby,5,683
Niger Delta Conflict,Niger Delta Conflict,5,767
Policy Making,public policy,4,212
Quantum Mechanics,Quantum mechanics,5,853
Rock Documentaries,Classic rock,2,93
Social Democracy,Social Democracy,5,665
Talent Acquisition,Talent Acquisition,5,933
Transposons,Transposons,5,733
Weather Report,Weather Report,5,645
Art Exhibitions,Art,4,276
Biocomplexity,Biocomplexity,5,42
Civil Rights Movement,Civil Rights Movement,5,719
Confusion of Correlation and Causation,correlation vs causation,5,878
Declaration of Independence,Declaration of Independence,5,774
Expanding Brain,Expanding Brain meme,5,974
Guilt,Guilt,5,228
Hippies,Hippie culture,5,899
Impact Investing,Impact investing,5,141
Lady Gaga,Lady Gaga,5,155
Light Novels,Light novels,5,719
Mass,Catholicism,4,124
Oracle of Delphi,Oracle of Delphi,5,800
Population Genetics,Population genetics,5,511
Quantum Simulation,Quantum mechanics,4,298
Roman Senate,Roman Senate,5,487
Streetwear,Streetwear,5,652
The Last Song,The Last Song,5,315
Unconscious Bias,Unconscious bias,5,964
Webcomics,Webcomics,5,281
Ataraxia,Ataraxia,5,835
Brazilian Funk,Brazilian Funk,5,55
Class Warfare,Class Warfare,5,677
Coping with Illness,Coping with Illness,5,869
Duck Dodgers,Duck Dodgers,5,27
Experimental Design,Experimental design,5,625
Halo Effect in Marketing,Halo Effect,4,232
Historical Fiction,Historical Fiction,5,318
Impact of Social Media on Mental Health,social media,4,175
League of Legends,League of Legends,5,462
Longing,Longing,5,642
Memory,Memory game,3,665
Pac-Man,Pac-Man,5,395
Portugal. The Man,Portugal. The Man,5,435
Quantum Themed Literature,Quantum mechanics,3,127
Shonen Jump,Shonen Jump,5,326
Superbowl,American football,4,755
The Möbius Strip,Möbius strip,5,409
Unfalsifiable Claim,Unfalsifiable Claim,5,105
Workplace Policies,Workplace policy,5,492
Attrition,Attrition,5,989
Causal Loop Diagrams,Causal Loop Diagrams,5,423
Cold War Music,Cold War,4,428
Cosmonaut,Cosmonaut,5,602
Eastern Philosophy,Eastern philosophy,5,226
Fan Projects,Fan projects,5,371
Harlem Renaissance,Harlem Renaissance,5,908
Homemade Lava Lamp,lava lamp,5,93
Isolation,Alien: Isolation,2,454
Learning Agility,Learning Agility,5,424
Loyalty vs. Integrity,Loyalty vs. Integrity,5,33
NBA,basketball,4,432
Paris Agreement,Paris Agreement,5,319
Predicate Logic,Predicate Logic,5,311
Quantum Theory in Philosophy,Quantum mechanics,4,145
Silver Surfer,Silver Surfer,5,69
Symphonic Poem,Symphonic poem,5,473
Tom Stoppard,Tom Stoppard,5,285
Vietnamese War,Vietnam War,5,324
military-industrial complex,military-industrial complex,5,738
