topic,guessed_topic,score,trigger
Access to Justice,Access to Justice,5,255
Eastern Philosophy,Eastern Philosophy,5,249
League of Legends,League of Legends,5,450
Quantum Simulation,Quantum Simulation,5,940
Weather Report,Weather Report,5,653
Arcadia,Ancient Greece,4,632
Equestrian,Equine,4,513
Learning Agility,Learning Agility,5,67
Quantum Themed Literature,Quantum Computing,2,309
Webcomics,Webcomics,5,34
Art Exhibitions,Exhibition,4,535
Everything Is F*cked,Discomfort,2,884
Lego Ninjago,LEGO,4,376
Quantum Theory in Philosophy,Quantum Theory,4,999
Workplace Policies,Workplace Policies,5,464
Ataraxia,Ataraxia,5,727
Expanding Brain,Expanding Brain,5,929
Liberal Revolution,Historical Context,2,221
Ricardian Equivalence,Historical Context,1,643
military-industrial complex,military-industrial complex,5,447
Attrition,Atari,1,277
Experimental Design,Discipline,2,551
Light Novels,Light Novel,5,669
Rock Documentaries,Historical Context,1,613
Auditory Processing,Auditory Processing,5,101
Fan Projects,Fan Projects,5,15
Longing,Longing,5,279
Roman Senate,Roman Senate,5,261
Better Call Saul,Sami,1,712
Game Updates,Game Updates,5,963
Loyalty vs. Integrity,Loyalty vs. Integrity,5,553
Shonen Jump,Goku,2,47
Biocomplexity,Biocomplexity,5,856
Geoengineering,Geoengineering,5,216
Luke Cage,Luke Cage,5,962
Silver Surfer,Silver Surfer,5,939
Brazilian Funk,Brazilian Funk,5,880
Guilt,Guilt,5,752
Lullaby,Lullaby,5,614
Singer-Songwriter,Songwriting,4,439
Causal Loop Diagrams,Systems Thinking,4,723
Halo Effect in Marketing,Halo Effect,4,227
Mass,Mass,5,881
Social Democracy,Social Democracy,5,323
Change My Mind,Change My Mind,5,189
Harlem Renaissance,Sepia,1,400
Memory,Memory,5,699
Streetwear,Streetwear,5,395
Chechen Wars,Korean War,2,571
Healthcare Beliefs,Health and Wellness,3,622
NBA,NBA Finals,4,683
Superbowl,Super Bowl,5,636
Civil Rights Movement,Civil Rights Movement,5,94
Hip Hop,Hip Hop,5,440
Narcos,Historical Context,1,786
Symphonic Poem,Musical Instrument,2,949
Class Warfare,Class Warfare,5,751
Hippies,Hippie,5,65
Niger Delta Conflict,Nigeria-Biafra War,4,765
Synthetic Data,Synthetic Data,5,110
Cold War Music,Cold War,4,284
Historical Fiction,Historical Fiction,5,157
Oracle of Delphi,Ancient Egypt,2,189
Talent Acquisition,Talent Acquisition,5,643
Company Retreats,Company Retreats,5,181
Homemade Lava Lamp,Self-Assembly,2,885
Pac-Man,Pac-Man,5,5
The Last Song,The Last Song,5,609
Complex Systems,Complex Systems,5,346
Hunter-Gatherers,Hunter-Gatherers,5,502
Paris Agreement,Paris Agreement,5,46
The Möbius Strip,Self-Reference Integrity,2,299
Confusion of Correlation and Causation,Historical Context,1,755
I Love Money,I Love Money,5,88
Pianissimo,Piano,4,212
Tom Stoppard,Discombobulation,1,515
Coping with Illness,Coping with Illness,5,709
Impact Investing,Impact Investing,5,926
Policy Making,Policy Making,5,540
Tradition vs. Modernity,Tradition vs. Modernity,5,211
Cosmonaut,Cosmonaut,5,191
Impact of Social Media on Mental Health,Social media impact,4,902
Population Genetics,SEP,1,871
Transposons,Transposition Number,1,645
Cosplay,Cultural Heritage,2,221
Isolation,Discussions,1,669
Portugal. The Man,Portugal. The Man,5,859
Unconscious Bias,Unconscious Bias,5,77
Cult of Personality,Cult of Personality,5,941
Israeli-Palestinian Conflict,Israeli-Palestinian Conflict,5,355
Predicate Logic,Discipline,2,174
Unfalsifiable Claim,Unfalsifiable Claim,5,480
Declaration of Independence,Historical Significance,3,560
Jazz Documentaries,Jazz History,4,767
Psychological Effects of Isolation,Psychological Effects of Isolation,5,853
Vietnamese War,Vietnam War,5,827
Duck Dodgers,Duck Dodgers,5,46
Lady Gaga,Historical Context,1,435
Quantum Mechanics,Discipline,1,607
Vygotsky's Zone of Proximal Development,Learning Progress,3,447
