topic,guessed_topic,score,trigger
Access to Justice,Philosophy,1,476
Auditory Processing,Philosophy,1,698
Change My Mind,Inception,1,444
Company Retreats,Science,1,911
Cosplay,Cosplay,5,590
Equestrian,Horses,4,364
Game Updates,video games,4,226
Healthcare Beliefs,Harry Potter,1,421
Hunter-Gatherers,Star Wars,1,691
Israeli-Palestinian Conflict,Philosophy,1,946
Lego Ninjago,Stoicism,1,478
Luke Cage,Science,1,616
Narcos,Star Wars,1,547
Pianissimo,Science,1,832
Psychological Effects of Isolation,Science,3,178
Ricardian Equivalence,Science,1,9
Singer-Songwriter,Singer-songwriter,5,296
Synthetic Data,Balance,1,911
Tradition vs. Modernity,Science,2,309
Vygotsky's Zone of Proximal Development,Star Wars,1,643
Arcadia,Philosophy,1,977
Better Call Saul,Philosophy,1,982
Chechen Wars,Philosophy,1,533
Complex Systems,Science,4,530
Cult of Personality,Science,1,529
Everything Is F*cked,science,1,291
Geoengineering,Star Trek,1,567
Hip Hop,Philosophy,1,901
I Love Money,Philosophy,1,865
Jazz Documentaries,Science,1,94
Liberal Revolution,Philosophy,1,235
Lullaby,Star Wars,1,683
Niger Delta Conflict,Philosophy,1,767
Policy Making,Philosophy,3,212
Quantum Mechanics,Philosophy,2,853
Rock Documentaries,Science,1,93
Social Democracy,Science,1,665
Talent Acquisition,Science,1,933
Transposons,transposons,5,733
Weather Report,jazz,1,645
Art Exhibitions,Star Wars,1,276
Biocomplexity,Philosophy,1,42
Civil Rights Movement,music,1,719
Confusion of Correlation and Causation,Artificial Intelligence,1,878
Declaration of Independence,science,1,774
Expanding Brain,Philosophy,1,974
Guilt,philosophy,2,228
Hippies,science,1,899
Impact Investing,Star Wars,1,141
Lady Gaga,Lady Gaga,5,155
Light Novels,Fantasy,2,719
Mass,Music,1,124
Oracle of Delphi,Oracle of Delphi,5,800
Population Genetics,philosophy,1,511
Quantum Simulation,Science,4,298
Roman Senate,Philosophy,1,487
Streetwear,Science,1,652
The Last Song,philosophy,1,315
Unconscious Bias,Philosophy,2,964
Webcomics,Webcomics,5,281
Ataraxia,Ataraxia,5,835
Brazilian Funk,Science,1,55
Class Warfare,Science,1,677
Coping with Illness,Star Wars,1,869
Duck Dodgers,Harry Potter,2,27
Experimental Design,Science,3,625
Halo Effect in Marketing,Science,1,232
Historical Fiction,Science,1,318
Impact of Social Media on Mental Health,science,2,175
League of Legends,science,1,462
Longing,Poetry,2,642
Memory,Philosophy,2,665
Pac-Man,Philosophy,1,395
Portugal. The Man,Philosophy,1,435
Quantum Themed Literature,Philosophy,2,127
Shonen Jump,Shonen Jump,5,326
Superbowl,American football,4,755
The Möbius Strip,science,2,409
Unfalsifiable Claim,Star Wars,1,105
Workplace Policies,Science,1,492
Attrition,philosophy,1,989
Causal Loop Diagrams,Science,2,423
Cold War Music,music,4,428
Cosmonaut,science,2,602
Eastern Philosophy,Philosophy,4,226
Fan Projects,Star Wars,2,371
Harlem Renaissance,Art,2,908
Homemade Lava Lamp,Philosophy,1,93
Isolation,Science,1,454
Learning Agility,science,1,424
Loyalty vs. Integrity,Science,1,33
NBA,basketball,4,432
Paris Agreement,Star Wars,1,319
Predicate Logic,Zen Buddhism,1,311
Quantum Theory in Philosophy,Artificial Intelligence,1,145
Silver Surfer,Philosophy,1,69
Symphonic Poem,classical music,4,473
Tom Stoppard,Philosophy,2,285
Vietnamese War,Philosophy,1,324
military-industrial complex,Science,2,738
