topic,guessed_topic,score,trigger
Access to Justice,Access to Justice,5,780
Eastern Philosophy,Eastern philosophy,5,389
League of Legends,League of Legends,5,340
Quantum Simulation,Quantum mechanics,4,880
Weather Report,Weather Report,5,758
Arcadia,Arcadia,5,996
Equestrian,My Little Pony,2,478
Learning Agility,Learning Agility,5,535
Quantum Themed Literature,quantum mechanics,2,947
Webcomics,Webcomics,5,313
Art Exhibitions,Art,4,506
Everything Is F*cked,Everything Is F*cked,5,72
Lego Ninjago,LEGO Ninjago,5,570
Quantum Theory in Philosophy,Quantum mechanics,4,317
Workplace Policies,Workplace policy,5,719
Ataraxia,Ataraxia,5,442
Expanding Brain,Expanding Brain meme,5,179
Liberal Revolution,Liberal Revolution,5,805
Ricardian Equivalence,Economics,4,972
military-industrial complex,military-industrial complex,5,69
Attrition,Attrition,5,1
Experimental Design,Experimental design,5,448
Light Novels,Light novels,5,881
Rock Documentaries,Rock music,3,556
Auditory Processing,Music,2,176
Fan Projects,The Legend of Zelda,2,986
Longing,Longing,5,38
Roman Senate,Ancient Rome,4,132
Better Call Saul,Better Call Saul,5,611
Game Updates,Video games,4,68
Loyalty vs. Integrity,Loyalty vs. Integrity,5,601
Shonen Jump,Shonen anime,3,891
Biocomplexity,Biocomplexity,5,739
Geoengineering,geoengineering,5,675
Luke Cage,Luke Cage,5,646
Silver Surfer,Silver Surfer,5,388
Brazilian Funk,Brazilian Funk,5,450
Guilt,Guilt,5,634
Lullaby,Lullaby,5,106
Singer-Songwriter,Singer-songwriter,5,539
Causal Loop Diagrams,Causal Loop Diagrams,5,438
Halo Effect in Marketing,Halo Effect,4,719
Mass,Catholic Mass,1,720
Social Democracy,Social Democracy,5,308
Change My Mind,Change My Mind,5,637
Harlem Renaissance,Harlem Renaissance,5,222
Memory,Memory (the card-matching game),2,488
Streetwear,Streetwear,5,56
Chechen Wars,Chechen Wars,5,954
Healthcare Beliefs,Healthcare,4,130
NBA,NBA,5,393
Superbowl,American football,4,710
Civil Rights Movement,Civil Rights Movement,5,627
Hip Hop,Hip hop,5,122
Narcos,Pablo Escobar,4,173
Symphonic Poem,Symphonic poem,5,930
Class Warfare,Class Warfare,5,676
Hippies,Hippie culture,5,581
Niger Delta Conflict,Niger Delta Conflict,5,57
Synthetic Data,Synthetic data,5,445
Cold War Music,Cold War,3,419
Historical Fiction,Historical fiction,5,31
Oracle of Delphi,Oracle of Delphi,5,827
Talent Acquisition,Talent Acquisition,5,577
Company Retreats,company retreats,5,348
Homemade Lava Lamp,Lava lamp,5,362
Pac-Man,Pac-Man,5,700
The Last Song,The Last Song,5,737
Complex Systems,Complex systems,5,672
Hunter-Gatherers,Hunter-gatherers,5,648
Paris Agreement,Paris Agreement,5,539
The Möbius Strip,Möbius strip,5,593
Confusion of Correlation and Causation,correlation vs causation,5,68
I Love Money,I Love Money,5,283
Pianissimo,Pianissimo,5,424
Tom Stoppard,Tom Stoppard,5,577
Coping with Illness,Coping with Illness,5,511
Impact Investing,Impact investing,5,558
Policy Making,public policy,4,293
Tradition vs. Modernity,Numerology,1,940
Cosmonaut,Cosmonaut,5,179
Impact of Social Media on Mental Health,Social media,4,387
Population Genetics,Population genetics,5,107
Transposons,Transposons,5,802
Cosplay,Cosplay,5,748
Isolation,Alien: Isolation,1,918
Portugal. The Man,Portugal. The Man,5,121
Unconscious Bias,Unconscious bias,5,249
Cult of Personality,Cult of Personality,5,405
Israeli-Palestinian Conflict,Israeli-Palestinian conflict,5,989
Predicate Logic,Predicate Logic,5,411
Unfalsifiable Claim,Unfalsifiable Claim,5,90
Declaration of Independence,Declaration of Independence,5,836
Jazz Documentaries,jazz,4,679
Psychological Effects of Isolation,isolation,4,870
Vietnamese War,Vietnam War,5,665
Duck Dodgers,Duck Dodgers,5,954
Lady Gaga,Lady Gaga,5,905
Quantum Mechanics,Quantum mechanics,5,112
Vygotsky's Zone of Proximal Development,Zone of Proximal Development,5,589
